,weight
ASG,0.97210348270157
EGL,0.0060296302101062
MMH,0.0033874360587204
MAC,0.0033495666520926
GOIL,0.0033365643120578
AGA,0.0020884473149814
HORDS,0.0013964583713322
SAMBA,0.0013754810468051
ACCESS,0.0011418872068053
DASPHARMA,0.0009127370862232
SWL,0.0007145867414706
ALLGH,0.0005273735096303
SIC,0.0004877928560603
GCB,0.0003548517414643
CMLT,0.0003067129460495
CPC,0.0002866310771985
DIGICUT,0.000285941350031
TOTAL,0.0002832242944923
UNIL,0.0002798106451297
RBGH,0.0002639193143057
ALW,0.0002401311578762
TBL,0.0002333036088658
SCB PREF,0.0002281798063087
