Date,Open,High,Low,Close,Volume,Value
28/12/2016,4.1,4.1,4.0,4.1,,
29/12/2016,4.1,4.1,4.0,4.1,,
30/12/2016,4.1,4.1,4.0,4.1,,
03/01/2017,4.1,4.1,4.1,4.1,,
04/01/2017,4.1,4.1,4.1,4.1,,
05/01/2017,4.1,4.1,4.1,4.1,,
06/01/2017,4.1,4.1,4.1,4.1,,
09/01/2017,4.1,4.1,4.1,4.1,,
10/01/2017,4.1,4.1,4.1,4.1,,
11/01/2017,4.1,4.1,4.1,4.1,,
12/01/2017,4.1,4.1,4.1,4.1,,
13/01/2017,4.1,4.1,4.1,4.1,,
16/01/2017,4.1,4.1,4.1,4.1,,
17/01/2017,4.1,4.1,4.1,4.1,,
18/01/2017,4.1,4.1,4.1,4.1,,
19/01/2017,4.1,4.1,4.1,4.1,,
20/01/2017,4.1,4.1,4.1,4.1,,
23/01/2017,4.1,4.1,4.1,4.1,,
24/01/2017,4.1,4.1,4.1,4.1,,
25/01/2017,4.1,4.1,4.1,4.1,,
26/01/2017,4.1,4.1,4.1,4.1,,
27/01/2017,4.1,4.1,4.1,4.1,,
30/01/2017,4.1,4.1,4.1,4.1,,
31/01/2017,4.1,4.1,4.1,4.1,,
01/02/2017,4.1,4.1,4.1,4.1,,
02/02/2017,4.1,4.1,4.1,4.1,,
03/02/2017,4.1,4.1,4.1,4.1,,
06/02/2017,4.1,4.1,4.1,4.1,,
07/02/2017,4.1,4.1,4.1,4.1,,
08/02/2017,4.1,4.1,4.1,4.1,,
09/02/2017,4.1,4.1,4.1,4.1,,
10/02/2017,4.1,4.1,4.1,4.1,,
13/02/2017,4.1,4.1,4.1,4.1,,
14/02/2017,4.1,4.1,4.1,4.1,,
15/02/2017,4.1,4.1,4.1,4.1,,
16/02/2017,4.1,4.1,4.1,4.1,,
17/02/2017,4.1,4.1,4.1,4.1,,
20/02/2017,4.1,4.1,4.1,4.1,,
21/02/2017,4.1,4.1,4.1,4.1,,
