Date,Open,High,Low,Close,Volume,Value
12/12/2016,2.65,2.65,2.65,2.65,,
13/12/2016,2.65,3.0,2.65,2.93,6700.0,
14/12/2016,2.93,3.0,2.65,2.93,,
15/12/2016,2.93,3.0,2.65,2.93,,
16/12/2016,2.93,3.0,2.65,2.93,,
19/12/2016,2.93,3.35,2.65,3.33,10000.0,
20/12/2016,3.33,3.35,2.65,3.33,,
21/12/2016,3.33,3.35,2.65,3.33,,
22/12/2016,3.33,3.35,2.65,3.33,,
23/12/2016,3.33,3.35,2.65,3.33,,
28/12/2016,3.33,3.35,2.65,3.33,,
29/12/2016,3.33,3.35,2.65,3.33,,
30/12/2016,3.33,3.83,2.65,3.83,6000.0,
03/01/2017,3.83,3.83,3.83,3.83,,
04/01/2017,3.83,3.83,3.83,3.83,,
05/01/2017,3.83,3.83,3.83,3.83,,
06/01/2017,3.83,3.83,3.83,3.83,,
09/01/2017,3.83,3.83,3.83,3.83,,
10/01/2017,3.83,3.83,3.83,3.83,,
11/01/2017,3.83,3.83,3.83,3.83,,
12/01/2017,3.83,3.83,3.83,3.83,,
13/01/2017,3.83,3.83,3.83,3.83,,
16/01/2017,3.83,3.83,3.83,3.83,,
17/01/2017,3.83,3.83,3.83,3.83,,
18/01/2017,3.83,3.83,3.83,3.83,,
19/01/2017,3.83,3.83,3.83,3.83,,
20/01/2017,3.83,3.83,3.83,3.83,,
23/01/2017,3.83,3.83,3.83,3.83,,
24/01/2017,3.83,3.83,3.83,3.83,,
25/01/2017,3.83,3.83,3.83,3.83,,
26/01/2017,3.83,3.83,3.83,3.83,,
27/01/2017,3.83,3.83,3.83,3.83,,
30/01/2017,3.83,3.83,3.83,3.83,,
31/01/2017,3.83,3.83,3.83,3.83,,
01/02/2017,3.83,3.83,3.83,3.83,,
02/02/2017,3.83,3.83,3.83,3.83,,
03/02/2017,3.83,3.83,3.83,3.83,,
06/02/2017,3.83,3.83,3.83,3.83,,
07/02/2017,3.83,3.83,3.83,3.83,,
08/02/2017,3.83,3.83,3.83,3.83,,
09/02/2017,3.83,3.83,3.83,3.83,,
10/02/2017,3.83,3.83,3.83,3.83,,
13/02/2017,3.83,3.83,3.83,3.83,,
14/02/2017,3.83,3.83,3.83,3.83,,
15/02/2017,3.83,3.83,3.83,3.83,,
16/02/2017,3.83,3.83,3.83,3.83,,
17/02/2017,3.83,3.83,3.83,3.83,,
20/02/2017,3.83,3.83,3.83,3.83,,
21/02/2017,3.83,3.83,3.83,3.83,,
22/02/2017,3.83,3.83,3.83,3.83,,
23/02/2017,3.83,3.83,3.83,3.83,,
24/02/2017,3.83,3.83,3.83,3.83,,
27/02/2017,3.83,3.83,3.83,3.83,,
28/02/2017,3.83,3.83,3.83,3.83,,
01/03/2017,3.83,3.83,3.83,3.83,,
02/03/2017,3.83,3.83,3.83,3.83,,
03/03/2017,3.83,3.83,3.83,3.83,,
07/03/2017,3.83,3.83,3.83,3.83,,
08/03/2017,3.83,3.83,3.83,3.83,,
09/03/2017,3.83,3.83,3.83,3.83,,
10/03/2017,3.83,3.83,3.83,3.83,,
13/03/2017,3.83,3.83,3.83,3.83,,
14/03/2017,3.83,3.83,3.83,3.83,,
15/03/2017,3.83,3.83,3.83,3.83,,
16/03/2017,3.83,3.83,3.83,3.83,,
17/03/2017,3.83,3.83,3.83,3.83,,
20/03/2017,3.83,3.83,3.83,3.83,,
21/03/2017,3.83,3.83,3.83,3.83,,
22/03/2017,3.83,3.83,3.83,3.83,,
23/03/2017,3.83,3.83,3.83,3.83,,
24/03/2017,3.83,3.83,3.83,3.83,,
27/03/2017,3.83,3.83,3.83,3.83,,
28/03/2017,3.83,3.83,3.83,3.83,,
29/03/2017,3.83,3.83,3.83,3.83,,
30/03/2017,3.83,3.83,3.83,3.83,,
31/03/2017,3.83,3.83,3.83,3.83,,
03/04/2017,3.83,3.83,3.83,3.83,,
04/04/2017,3.83,3.83,3.83,3.83,,
05/04/2017,3.83,3.83,3.83,3.83,,
06/04/2017,3.83,3.83,3.83,3.83,,
07/04/2017,3.83,3.83,3.83,3.83,,
10/04/2017,3.83,3.83,3.83,3.83,,
11/04/2017,3.83,3.83,3.83,3.83,,
12/04/2017,3.83,3.83,3.83,3.83,,
13/04/2017,3.83,3.83,3.83,3.83,,
18/04/2017,3.83,3.83,3.83,3.83,,
19/04/2017,3.83,3.83,3.83,3.83,,
20/04/2017,3.83,3.83,3.83,3.83,,
21/04/2017,3.83,3.83,3.83,3.83,,
24/04/2017,3.83,3.83,3.83,3.83,,
25/04/2017,3.83,3.83,3.83,3.83,,
26/04/2017,3.83,3.83,3.83,3.83,,
27/04/2017,3.83,3.83,3.83,3.83,,
28/04/2017,3.83,3.83,3.83,3.83,,
02/05/2017,3.83,3.83,3.83,3.83,,
03/05/2017,3.83,3.83,3.83,3.83,,
04/05/2017,3.83,3.83,3.83,3.83,,
05/05/2017,3.83,3.83,3.83,3.83,,
08/05/2017,3.83,3.83,3.83,3.83,,
09/05/2017,3.83,3.83,3.83,3.83,,
10/05/2017,3.83,3.83,3.83,3.83,,
11/05/2017,3.83,3.83,3.83,3.83,,
