Date,Open,High,Low,Close,Volume,Value
12/02/2024,6.12,6.12,6.12,6.12,798.0,4883.76
13/05/2024,4.4,4.4,4.4,4.4,2000.0,8800.0
14/05/2024,4.4,4.4,4.4,4.4,,
15/05/2024,4.4,4.4,4.4,4.4,,
16/05/2024,4.4,4.4,4.4,4.4,,
17/05/2024,4.4,4.4,4.4,4.4,,
20/05/2024,4.4,4.4,4.4,4.4,,
21/05/2024,4.4,4.4,4.4,4.4,,
22/05/2024,4.4,4.4,4.4,4.4,,
23/05/2024,4.4,4.4,4.4,4.4,,
24/05/2024,4.4,4.4,4.4,4.4,,
27/05/2024,4.4,4.4,4.4,4.4,,
28/05/2024,4.4,4.4,4.4,4.4,,
29/05/2024,4.4,4.4,4.4,4.4,,
30/05/2024,4.4,4.4,4.4,4.4,,
31/05/2024,4.4,4.4,4.4,4.4,,
03/06/2024,4.4,4.4,4.4,4.4,,
04/06/2024,4.4,4.4,4.4,4.4,,
05/06/2024,4.4,4.4,4.4,4.4,,
06/06/2024,4.4,4.4,4.4,4.4,,
07/06/2024,4.4,4.4,4.4,4.4,,
10/06/2024,4.4,4.4,4.4,4.4,,
11/06/2024,4.4,4.4,4.4,4.4,,
12/06/2024,4.4,4.61,4.4,4.61,15534.0,71562.21
13/06/2024,4.61,4.61,4.4,4.61,2116.0,9754.76
14/06/2024,4.61,4.61,4.4,4.61,,
18/06/2024,4.61,4.61,4.4,4.61,,
19/06/2024,4.61,4.61,4.4,4.61,,
20/06/2024,4.61,4.62,4.4,4.62,3416.0,15781.92
21/06/2024,4.62,4.62,4.4,4.62,,
24/06/2024,4.62,4.62,4.4,4.62,,
25/06/2024,4.62,4.62,4.4,4.62,,
26/06/2024,4.62,4.8,4.4,4.8,10000.0,48000.0
27/06/2024,4.8,4.8,4.4,4.8,,
28/06/2024,4.8,4.8,4.4,4.8,25659.0,123163.2
01/07/2024,4.8,4.8,4.4,4.8,407.0,1953.6
02/07/2024,4.8,5.01,4.4,5.01,4700.0,23537.0
03/07/2024,5.01,5.01,4.4,5.01,,
04/07/2024,5.01,5.39,4.4,5.39,13503.0,72915.6
05/07/2024,5.39,5.51,4.4,5.51,3200.0,17642.0
08/07/2024,5.51,5.8,4.4,5.8,5000.0,29000.0
09/07/2024,5.8,6.0,4.4,6.0,13880.0,83280.0
10/07/2024,6.0,6.0,4.4,6.0,7991.0,47946.0
11/07/2024,6.0,6.0,4.4,6.0,,
12/07/2024,6.0,6.0,4.4,6.0,,
15/07/2024,6.0,6.0,4.4,6.0,,
16/07/2024,6.0,6.0,4.4,6.0,,
17/07/2024,6.0,6.0,4.4,6.0,,
18/07/2024,6.0,6.0,4.4,6.0,,
19/07/2024,6.0,6.0,4.4,6.0,,
22/07/2024,6.0,6.0,4.4,6.0,,
23/07/2024,6.0,6.0,4.4,6.0,,
24/07/2024,6.0,6.0,4.4,6.0,,
25/07/2024,6.0,6.0,4.4,6.0,,
26/07/2024,6.0,6.0,4.4,6.0,,
29/07/2024,6.0,6.0,4.4,6.0,46.0,276.0
30/07/2024,6.0,6.0,4.4,6.0,,
31/07/2024,6.0,6.0,4.4,6.0,,
01/08/2024,6.0,6.0,4.4,6.0,,
02/08/2024,6.0,6.0,4.4,6.0,,
06/08/2024,6.0,6.0,4.4,6.0,,
07/08/2024,6.0,6.0,4.4,6.0,,
08/08/2024,6.0,6.0,4.4,6.0,,
09/08/2024,6.0,6.0,4.4,6.0,,
12/08/2024,6.0,6.0,4.4,6.0,,
13/08/2024,6.0,6.0,4.4,6.0,,
14/08/2024,6.0,6.0,4.4,6.0,,
15/08/2024,6.0,6.0,4.4,6.0,,
16/08/2024,6.0,6.0,4.4,6.0,,
19/08/2024,6.0,6.0,4.4,6.0,1606.0,9636.0
20/08/2024,6.0,6.0,4.4,6.0,23694.0,142164.0
21/08/2024,6.0,6.0,4.4,6.0,,
22/08/2024,6.0,6.0,4.4,6.0,,
23/08/2024,6.0,6.0,4.4,6.0,,
26/08/2024,6.0,6.0,4.4,6.0,,
27/08/2024,6.0,6.15,4.4,6.15,29860.0,183637.5
28/08/2024,6.15,6.15,4.4,6.15,932.0,5731.8
29/08/2024,6.15,6.15,4.4,6.15,4662.0,28671.3
30/08/2024,6.15,6.15,4.4,6.15,5246.0,32262.9
02/09/2024,6.15,6.15,4.4,6.15,5658.0,34796.7
03/09/2024,6.15,6.15,4.4,6.15,3340.0,20541.0
04/09/2024,6.15,6.15,4.4,6.15,904.0,5559.6
05/09/2024,6.15,6.15,4.4,6.15,487.0,2995.05
06/09/2024,6.15,6.15,4.4,6.15,1285.0,7902.75
09/09/2024,6.15,6.15,4.4,6.15,,
10/09/2024,6.15,6.15,4.4,6.15,525.0,3228.75
11/09/2024,6.15,6.15,4.4,6.15,,
12/09/2024,6.15,6.15,4.4,6.15,,
13/09/2024,6.15,6.15,4.4,6.15,,
16/09/2024,6.15,6.15,4.4,6.15,,
17/09/2024,6.15,6.15,4.4,6.15,,
18/09/2024,6.15,6.15,4.4,6.15,,
19/09/2024,6.15,6.15,4.4,6.15,,
20/09/2024,6.15,6.15,4.4,6.15,,
24/09/2024,6.15,6.15,4.4,6.15,1.0,6.15
24/09/2024,6.12,6.12,6.12,6.12,20.0,122.4
25/09/2024,6.15,6.15,4.4,6.15,,
26/09/2024,6.15,6.15,4.4,6.15,4198.0,25817.7
27/09/2024,6.15,6.15,4.4,6.15,312.0,1918.8
30/09/2024,6.15,6.15,4.4,6.15,676.0,4157.4
01/10/2024,6.15,6.15,4.4,6.15,755.0,4643.25
02/10/2024,6.15,6.15,4.4,6.15,2522.0,15510.3
03/10/2024,6.15,6.15,4.4,6.15,4454.0,27392.1
04/10/2024,6.15,6.15,4.4,6.15,,
07/10/2024,6.15,6.15,4.4,6.15,2971.0,18271.65
08/10/2024,6.15,6.15,4.4,6.15,637.0,3917.55
09/10/2024,6.15,6.15,4.4,6.15,1121.0,6894.15
10/10/2024,6.15,6.15,4.4,6.15,557.0,3420.08
11/10/2024,6.15,6.15,4.4,6.15,323.0,1983.22
14/10/2024,6.15,6.15,4.4,6.15,1067.0,6551.38
15/10/2024,6.15,6.15,4.4,6.15,250.0,1535.0
16/10/2024,6.15,6.15,4.4,6.15,88.0,540.32
17/10/2024,6.15,6.15,4.4,6.15,900.0,5526.0
18/10/2024,6.15,6.15,4.4,6.15,350.0,2149.0
21/10/2024,6.15,6.15,4.4,6.15,32.0,196.8
22/10/2024,6.15,6.15,4.4,6.15,521.0,3198.94
23/10/2024,6.15,6.15,4.4,6.14,1799.0,11045.86
24/10/2024,6.14,6.15,4.4,6.14,55.0,337.7
25/10/2024,6.14,6.15,4.4,6.14,349.0,2142.86
28/10/2024,6.14,6.15,4.4,6.14,89.0,546.46
29/10/2024,6.14,6.15,4.4,6.14,1587.0,9744.18
30/10/2024,6.14,6.15,4.4,6.14,336.0,2063.04
31/10/2024,6.14,6.15,4.4,6.14,32.0,196.48
01/11/2024,6.14,6.15,4.4,6.14,1333.0,8184.62
04/11/2024,6.14,6.15,4.4,6.14,435.0,2670.9
05/11/2024,6.14,6.15,4.4,6.14,101.0,620.14
06/11/2024,6.14,6.15,4.4,6.14,31.0,190.34
07/11/2024,6.14,6.15,4.4,6.14,115.0,706.1
08/11/2024,6.14,6.15,4.4,6.14,114.0,699.96
11/11/2024,6.14,6.15,4.4,6.14,659.0,4046.26
12/11/2024,6.14,6.15,4.4,6.14,85.0,521.05
13/11/2024,6.14,6.15,4.4,6.14,797.0,4885.61
14/11/2024,6.14,6.15,4.4,6.14,337.0,2065.81
18/11/2024,6.14,6.15,4.4,6.14,191.0,1170.83
19/11/2024,6.14,6.15,4.4,6.14,77.0,472.01
20/11/2024,6.14,6.15,4.4,6.14,939.0,5756.07
21/11/2024,6.14,6.15,4.4,6.14,459.0,2813.67
22/11/2024,6.14,6.15,4.4,6.14,2.0,12.26
25/11/2024,6.14,6.15,4.4,6.14,68.0,416.84
26/11/2024,6.14,6.15,4.4,6.14,435.0,2666.55
27/11/2024,6.14,6.15,4.4,6.14,184.0,1127.92
28/11/2024,6.14,6.15,4.4,6.14,271.0,1661.23
29/11/2024,6.14,6.15,4.4,6.14,112.0,686.56
02/12/2024,6.14,6.15,4.4,6.13,1324.0,8116.12
03/12/2024,6.13,6.15,4.4,6.13,680.0,4168.4
04/12/2024,6.13,6.15,4.4,6.13,111.0,679.5
05/12/2024,6.13,6.15,4.4,6.13,154.0,944.02
09/12/2024,6.13,6.15,4.4,6.13,378.0,2313.36
10/12/2024,6.13,6.15,4.4,6.13,34.0,208.08
11/12/2024,6.13,6.15,4.4,6.13,20.0,122.4
12/12/2024,6.13,6.15,4.4,6.13,10.0,61.2
13/12/2024,6.13,6.15,4.4,6.13,768.0,4700.16
16/12/2024,6.13,6.15,4.4,6.13,200.0,1224.0
17/12/2024,6.13,6.15,4.4,6.13,134.0,
18/12/2024,6.13,6.15,4.4,6.13,381.0,2331.72
19/12/2024,6.13,6.15,4.4,6.13,342.0,2093.04
20/12/2024,6.13,6.15,4.4,6.13,240.0,1468.8
23/12/2024,6.13,6.15,4.4,6.13,81.0,495.72
24/12/2024,6.13,6.15,4.4,6.13,73.0,446.76
27/12/2024,6.13,6.15,4.4,6.13,137.0,838.44
30/12/2024,6.13,6.15,4.4,6.12,1804.0,11040.48
31/12/2024,6.12,6.15,4.4,6.12,70.0,428.4
02/01/2025,6.12,6.12,6.12,6.12,751.0,4596.12
03/01/2025,6.12,6.12,6.12,6.12,61.0,373.32
06/01/2025,6.12,6.12,6.12,6.12,125.0,765.0
08/01/2025,6.12,6.12,6.12,6.12,223.0,1364.76
09/01/2025,6.12,6.12,6.12,6.12,51.0,312.12
10/01/2025,6.12,6.12,6.12,6.12,42.0,257.04
13/01/2025,6.12,6.12,6.12,6.12,118.0,722.16
14/01/2025,6.12,6.12,6.12,6.12,373.0,2282.76
15/01/2025,6.12,6.12,6.12,6.12,209.0,1279.08
16/01/2025,6.12,6.12,6.12,6.12,86.0,526.32
17/01/2025,6.12,6.12,6.12,6.12,2.0,12.24
20/01/2025,6.12,6.12,6.12,6.12,187.0,1144.44
21/01/2025,6.12,6.12,6.12,6.12,953.0,5832.36
22/01/2025,6.12,6.12,6.12,6.12,48.0,293.76
23/01/2025,6.12,6.12,6.12,6.12,25.0,153.0
24/01/2025,6.12,6.12,6.12,6.12,80.0,489.6
27/01/2025,6.12,6.12,6.12,6.12,230.0,1407.6
28/01/2025,6.12,6.12,6.12,6.12,186.0,1138.32
29/01/2025,6.12,6.12,6.12,6.12,962.0,5887.44
30/01/2025,6.12,6.12,6.12,6.12,456.0,2790.72
31/01/2025,6.12,6.12,6.12,6.12,377.0,2307.24
03/02/2025,6.12,6.12,6.12,6.12,239.0,1462.68
04/02/2025,6.12,6.12,6.12,6.12,152.0,930.24
05/02/2025,6.12,6.12,6.12,6.12,65.0,397.8
06/02/2025,6.12,6.12,6.12,6.12,774.0,4736.88
07/02/2025,6.12,6.12,6.12,6.12,9.0,55.08
10/02/2025,6.12,6.12,6.12,6.12,121.0,740.52
11/02/2025,6.12,6.12,6.12,6.12,674.0,4124.88
12/02/2025,6.12,6.12,6.12,6.12,798.0,4883.76
13/02/2025,6.12,6.12,6.12,6.12,80.0,489.6
14/02/2025,6.12,6.12,6.12,6.12,843.0,5159.16
17/02/2025,6.12,6.12,6.12,6.12,524.0,3206.88
18/02/2025,6.12,6.12,6.12,6.12,192.0,1175.04
19/02/2025,6.12,6.12,6.12,6.12,185.0,1132.2
20/02/2025,6.12,6.12,6.12,6.12,129.0,789.48
21/02/2025,6.12,6.12,6.12,6.12,63.0,385.56
24/02/2025,6.12,6.12,6.12,6.12,396.0,2423.52
25/02/2025,6.12,6.12,6.12,6.12,214.0,1309.68
26/02/2025,6.12,6.12,6.12,6.12,213.0,1303.56
27/02/2025,6.12,6.12,6.12,6.12,451.0,2760.12
28/02/2025,6.12,6.12,6.12,6.12,48.0,293.76
03/03/2025,6.12,6.12,6.12,6.12,1478.0,9045.36
04/03/2025,6.12,6.12,6.12,6.12,175.0,1071.0
05/03/2025,6.12,6.12,6.12,6.12,13.0,79.56
07/03/2025,6.12,6.12,6.12,6.12,277.0,1695.24
10/03/2025,6.12,6.12,6.12,6.12,263.0,1609.56
11/03/2025,6.12,6.12,6.12,6.12,45.0,275.4
12/03/2025,6.12,6.12,6.12,6.12,536.0,3280.32
13/03/2025,6.12,6.12,6.12,6.12,395.0,2417.4
14/03/2025,6.12,6.12,6.12,6.12,685.0,4192.2
17/03/2025,6.12,6.12,6.12,6.12,311.0,1903.32
18/03/2025,6.12,6.12,6.12,6.12,1286.0,7870.32
19/03/2025,6.12,6.12,6.12,6.12,245.0,1499.4
20/03/2025,6.12,6.12,6.12,6.12,150.0,918.0
21/03/2025,6.12,6.12,6.12,6.12,988.0,6046.56
24/03/2025,6.12,6.12,6.12,6.12,1084.0,6629.45
25/03/2025,6.12,6.12,6.12,6.12,1123.0,6861.53
26/03/2025,6.12,6.12,6.12,6.12,1679.0,10275.48
27/03/2025,6.12,6.12,6.12,6.12,150.0,918.0
28/03/2025,6.12,6.12,6.12,6.12,1746.0,10685.52
02/04/2025,6.12,6.12,6.12,6.12,527.0,3225.24
03/04/2025,6.12,6.12,6.12,6.12,466.0,2851.92
04/04/2025,6.12,6.12,6.12,6.12,699.0,4277.88
07/04/2025,6.12,6.12,6.12,6.12,1953.0,11952.36
08/04/2025,6.12,6.12,6.12,6.12,1233.0,7545.96
09/04/2025,6.12,6.12,6.12,6.12,272.0,1664.64
10/04/2025,6.12,6.12,6.12,6.12,266.0,1627.92
11/04/2025,6.12,6.12,6.12,6.12,374.0,2288.88
14/04/2025,6.12,6.12,6.12,6.12,139.0,850.68
15/04/2025,6.12,6.12,6.12,6.12,160.0,979.2
16/04/2025,6.12,6.12,6.12,6.12,88.0,538.56
17/04/2025,6.12,6.12,6.12,6.12,499.0,3053.88
22/04/2025,6.12,6.12,6.12,6.12,90.0,550.8
23/04/2025,6.12,6.12,6.12,6.12,764.0,4675.68
24/04/2025,6.12,6.12,6.12,6.12,390.0,2386.8
25/04/2025,6.12,6.12,6.12,6.12,145.0,887.4
28/04/2025,6.12,6.12,6.12,6.12,,
29/04/2025,6.12,6.12,6.12,6.12,,
30/04/2025,6.12,6.12,6.12,6.12,328.0,2007.36
02/05/2025,6.12,6.12,6.12,6.12,3361.0,20569.32
05/05/2025,6.12,6.12,6.12,6.12,500.0,3060.0
06/05/2025,6.12,6.12,6.12,6.12,570.0,3488.4
07/05/2025,6.12,6.12,6.12,6.12,436.0,2668.32
08/05/2025,6.12,6.12,6.12,6.12,482.0,2949.84
09/05/2025,6.12,6.12,6.12,6.12,1436.0,8788.32
12/05/2025,6.12,6.12,6.12,6.12,1159.0,7093.08
13/05/2025,6.12,6.12,6.12,6.12,1162.0,7111.44
14/05/2025,6.12,6.12,6.12,6.12,310.0,1897.2
15/05/2025,6.12,6.12,6.12,6.12,775.0,4743.0
16/05/2025,6.12,6.12,6.12,6.12,326.0,1995.12
19/05/2025,6.12,6.12,6.12,6.12,203.0,1242.36
20/05/2025,6.12,6.12,6.12,6.12,1084.0,6634.08
21/05/2025,6.12,6.12,6.12,6.12,1181.0,7227.72
22/05/2025,6.12,6.12,6.12,6.12,38.0,232.56
23/05/2025,6.12,6.12,6.12,6.12,512.0,3133.44
26/05/2025,6.12,6.12,6.12,6.12,1266.0,7747.92
27/05/2025,6.12,6.12,6.12,6.12,1266.0,7747.92
28/05/2025,6.12,6.12,6.12,6.12,315.0,1927.8
29/05/2025,6.12,6.12,6.12,6.12,239.0,1462.68
30/05/2025,6.12,6.12,6.12,6.12,,
02/06/2025,6.12,6.12,6.12,6.12,47.0,287.64
03/06/2025,6.12,6.12,6.12,6.12,239.0,1462.68
04/06/2025,6.12,6.12,6.12,6.12,699.0,4277.88
05/06/2025,6.12,6.12,6.12,6.12,311.0,1903.32
09/06/2025,6.12,6.12,6.12,6.12,,
10/06/2025,6.12,6.12,6.12,6.12,296.0,1811.52
