Date,Open,High,Low,Close,Volume,Value
03/07/2007,0.74,0.75,0.73,0.74,,
04/07/2007,0.74,0.75,0.73,0.74,100.0,
05/07/2007,0.74,0.75,0.73,0.74,,
06/07/2007,0.74,0.75,0.73,0.74,,
09/07/2007,0.74,0.75,0.73,0.74,200100.0,
10/07/2007,0.74,0.75,0.73,0.74,300.0,
11/07/2007,0.74,0.75,0.73,0.74,433000.0,
12/07/2007,0.74,0.75,0.73,0.74,,
13/07/2007,0.74,0.75,0.73,0.74,500.0,
16/07/2007,0.74,0.75,0.73,0.74,,
17/07/2007,0.74,0.75,0.73,0.74,,
18/07/2007,0.74,0.75,0.73,0.74,3200.0,
19/07/2007,0.74,0.75,0.73,0.74,1000.0,
20/07/2007,0.74,0.75,0.73,0.74,,
23/07/2007,0.74,0.75,0.73,0.74,,
24/07/2007,0.74,0.75,0.73,0.74,,
25/07/2007,0.74,0.75,0.73,0.74,,
26/07/2007,0.74,0.75,0.73,0.74,,
27/07/2007,0.74,0.75,0.73,0.74,,
30/07/2007,0.74,0.75,0.73,0.74,,
31/07/2007,0.74,0.75,0.73,0.74,145100.0,
01/08/2007,0.74,0.75,0.73,0.74,,
02/08/2007,0.74,0.75,0.73,0.74,,
03/08/2007,0.74,0.75,0.73,0.74,,
06/08/2007,0.74,0.75,0.73,0.74,,
07/08/2007,0.74,0.75,0.73,0.74,600.0,
08/08/2007,0.74,0.75,0.73,0.74,,
09/08/2007,0.74,0.75,0.73,0.74,,
10/08/2007,0.74,0.75,0.73,0.74,,
13/08/2007,0.74,0.75,0.73,0.74,,
14/08/2007,0.74,0.75,0.73,0.74,,
15/08/2007,0.74,0.75,0.73,0.74,,
16/08/2007,0.74,0.75,0.73,0.74,1400.0,
17/08/2007,0.74,0.75,0.73,0.74,,
20/08/2007,0.74,0.75,0.73,0.74,,
21/08/2007,0.74,0.75,0.73,0.74,4800.0,
22/08/2007,0.74,0.75,0.73,0.74,100.0,
24/08/2007,0.74,0.75,0.73,0.74,,
27/08/2007,0.74,0.75,0.73,0.74,,
28/08/2007,0.74,0.75,0.73,0.74,,
29/08/2007,0.74,0.75,0.73,0.74,,
30/08/2007,0.74,0.75,0.73,0.74,700.0,
31/08/2007,0.74,0.75,0.73,0.74,,
03/09/2007,0.74,0.75,0.73,0.74,,
04/09/2007,0.74,0.75,0.73,0.74,,
05/09/2007,0.74,0.75,0.73,0.74,1400.0,
06/09/2007,0.74,0.75,0.73,0.74,,
07/09/2007,0.74,0.75,0.73,0.74,,
10/09/2007,0.74,0.75,0.73,0.74,100.0,
11/09/2007,0.74,0.75,0.73,0.74,,
12/09/2007,0.74,0.75,0.73,0.74,,
13/09/2007,0.74,0.75,0.73,0.74,300.0,
14/09/2007,0.74,0.75,0.73,0.74,700.0,
17/09/2007,0.74,0.75,0.73,0.74,,
18/09/2007,0.74,0.75,0.73,0.74,,
19/09/2007,0.74,0.75,0.73,0.74,,
20/09/2007,0.74,0.75,0.73,0.74,,
21/09/2007,0.74,0.75,0.73,0.74,100.0,
24/09/2007,0.74,0.75,0.73,0.74,,
25/09/2007,0.74,0.75,0.73,0.74,,
26/09/2007,0.74,0.75,0.73,0.74,200.0,
27/09/2007,0.74,0.75,0.73,0.74,500.0,
28/09/2007,0.74,0.75,0.73,0.74,,
01/10/2007,0.74,0.75,0.73,0.74,,
02/10/2007,0.74,0.75,0.73,0.74,,
03/10/2007,0.74,0.75,0.73,0.74,7000.0,
04/10/2007,0.74,0.75,0.73,0.74,,
05/10/2007,0.74,0.75,0.73,0.74,,
08/10/2007,0.74,0.75,0.73,0.74,,
09/10/2007,0.74,0.75,0.73,0.74,,
10/10/2007,0.74,0.75,0.73,0.74,,
11/10/2007,0.74,0.75,0.73,0.74,600.0,
12/10/2007,0.74,0.75,0.73,0.74,1700.0,
16/10/2007,0.74,0.75,0.73,0.74,,
17/10/2007,0.74,0.75,0.73,0.74,,
18/10/2007,0.74,0.75,0.73,0.74,,
19/10/2007,0.74,0.75,0.73,0.74,,
22/10/2007,0.74,0.75,0.73,0.74,1400.0,
23/10/2007,0.74,0.75,0.73,0.74,,
24/10/2007,0.74,0.75,0.73,0.74,,
25/10/2007,0.74,0.75,0.73,0.74,,
26/10/2007,0.74,0.75,0.73,0.74,,
