Date,Open,High,Low,Close,Volume,Value
29/06/2022,8.87,8.87,8.87,8.87,100.0,887.0
30/06/2022,8.87,8.87,8.87,8.87,,
01/07/2022,8.87,8.87,8.87,8.87,,
04/07/2022,8.87,8.87,8.87,8.87,,
05/07/2022,8.87,8.87,8.87,8.87,,
06/07/2022,8.87,8.87,8.87,8.87,,
07/07/2022,8.87,8.87,8.87,8.87,100.0,887.0
08/07/2022,8.87,8.87,8.87,8.87,,
12/07/2022,8.87,8.87,8.87,8.87,,
13/07/2022,8.87,8.87,8.87,8.87,,
14/07/2022,8.87,8.87,8.87,8.87,,
18/07/2022,8.87,8.87,8.87,8.87,,
19/07/2022,8.87,8.87,8.87,8.87,,
20/07/2022,8.87,8.87,8.87,8.87,,
21/07/2022,8.87,8.87,8.87,8.87,,
22/07/2022,8.87,8.87,8.87,8.87,,
25/07/2022,8.87,8.87,8.87,8.87,,
26/07/2022,8.87,8.87,8.87,8.87,,
27/07/2022,8.87,8.87,8.87,8.87,,
28/07/2022,8.87,8.87,8.87,8.87,,
29/07/2022,8.87,8.87,8.87,8.87,,
01/08/2022,8.87,8.87,8.87,8.87,,
02/08/2022,8.87,8.87,8.87,8.87,,
03/08/2022,8.87,8.87,8.87,8.87,,
05/08/2022,8.87,8.87,8.87,8.87,9718.0,86198.66
08/08/2022,8.87,8.87,8.87,8.87,240282.0,2131301.34
09/08/2022,8.87,8.87,8.87,8.87,,
10/08/2022,8.87,8.87,8.87,8.87,,
11/08/2022,8.87,8.87,8.87,8.87,,
12/08/2022,8.87,8.87,8.87,8.87,,
15/08/2022,8.87,8.87,8.87,8.87,,
16/08/2022,8.87,8.87,8.87,8.87,,
17/08/2022,8.87,8.87,8.87,8.87,,
18/08/2022,8.87,8.87,8.87,8.87,,
19/08/2022,8.87,8.87,8.87,8.87,,
22/08/2022,8.87,8.87,8.87,8.87,,
23/08/2022,8.87,8.87,8.87,8.87,,
24/08/2022,8.87,8.87,8.87,8.87,,
25/08/2022,8.87,8.87,8.87,8.87,,
26/08/2022,8.87,8.87,8.87,8.87,,
29/08/2022,8.87,8.87,8.87,8.87,,
30/08/2022,8.87,8.87,8.87,8.87,,
31/08/2022,8.87,8.87,8.87,8.87,,
01/09/2022,8.87,8.87,8.87,8.87,,
02/09/2022,8.87,8.87,8.87,8.87,,
05/09/2022,8.87,8.87,8.87,8.87,,
06/09/2022,8.87,8.87,8.87,8.87,,
07/09/2022,8.87,8.87,8.87,8.87,,
08/09/2022,8.87,8.87,8.87,8.87,,
09/09/2022,8.87,8.87,8.87,8.87,,
12/09/2022,8.87,8.87,8.87,8.87,,
13/09/2022,8.87,8.87,8.87,8.87,,
14/09/2022,8.87,8.87,8.87,8.87,,
15/09/2022,8.87,8.87,8.87,8.87,,
16/09/2022,8.87,8.87,8.87,8.87,,
19/09/2022,8.87,8.87,8.87,8.87,,
20/09/2022,8.87,8.87,8.87,8.87,,
22/09/2022,8.87,8.87,8.87,8.87,,
23/09/2022,8.87,8.87,8.87,8.87,,
27/09/2022,8.87,8.87,8.87,8.87,,
28/09/2022,8.87,8.87,8.87,8.87,,
29/09/2022,8.87,8.87,8.87,8.87,,
30/09/2022,8.87,8.87,8.87,8.87,,
03/10/2022,8.87,8.87,8.87,8.87,,
04/10/2022,8.87,8.87,8.87,8.87,,
05/10/2022,8.87,8.87,8.87,8.87,,
06/10/2022,8.87,8.87,8.87,8.87,,
07/10/2022,8.87,8.87,8.87,8.87,,
10/10/2022,8.87,8.87,8.87,8.87,,
11/10/2022,8.87,8.87,8.87,8.87,,
12/10/2022,8.87,8.87,8.87,8.87,,
13/10/2022,8.87,8.87,8.87,8.87,,
14/10/2022,8.87,8.87,8.87,8.87,,
17/10/2022,8.87,8.87,8.87,8.87,,
18/10/2022,8.87,8.87,8.87,8.87,,
19/10/2022,8.87,8.87,8.87,8.87,,
20/10/2022,8.87,8.87,8.87,8.87,,
21/10/2022,8.87,8.87,8.87,8.87,,
24/10/2022,8.87,8.87,8.87,8.87,,
25/10/2022,8.87,8.87,8.87,8.87,,
26/10/2022,8.87,8.87,8.87,8.87,,
27/10/2022,8.87,8.87,8.87,8.87,,
28/10/2022,8.87,8.87,8.87,8.87,,
28/10/2022,8.87,8.87,8.87,8.87,,
31/10/2022,8.87,8.87,8.87,8.87,,
01/11/2022,8.87,8.87,8.87,8.87,,
02/11/2022,8.87,8.87,8.87,8.87,,
03/11/2022,8.87,8.87,8.87,8.87,,
04/11/2022,8.87,8.87,8.87,8.87,,
07/11/2022,8.87,8.87,8.87,8.87,,
08/11/2022,8.87,8.87,8.87,8.87,,
09/11/2022,8.87,8.87,8.87,8.87,,
10/11/2022,8.87,8.87,8.87,8.87,,
11/11/2022,8.87,8.87,8.87,8.87,,
14/11/2022,8.87,8.87,8.87,8.87,,
15/11/2022,8.87,8.87,8.87,8.87,,
16/11/2022,8.87,8.87,8.87,8.87,,
17/11/2022,8.87,8.87,8.87,8.87,,
18/11/2022,8.87,8.87,8.87,8.87,,
21/11/2022,8.87,8.87,8.87,8.87,,
22/11/2022,8.87,8.87,8.87,8.87,,
23/11/2022,8.87,8.87,8.87,8.87,,
24/11/2022,8.87,8.87,8.87,8.87,,
25/11/2022,8.87,8.87,8.87,8.87,,
28/11/2022,8.87,8.87,8.87,8.87,,
29/11/2022,8.87,8.87,8.87,8.87,,
30/11/2022,8.87,8.87,8.87,8.87,,
01/12/2022,8.87,8.87,8.87,8.87,,
05/12/2022,8.87,8.87,8.87,8.87,,
06/12/2022,8.87,8.87,8.87,8.87,,
07/12/2022,8.87,8.87,8.87,8.87,,
08/12/2022,8.87,8.87,8.87,8.87,,
09/12/2022,8.87,8.87,8.87,8.87,,
12/12/2022,8.87,8.87,8.87,8.87,,
13/12/2022,8.87,8.87,8.87,8.87,,
14/12/2022,8.87,8.87,8.87,8.87,,
15/12/2022,8.87,8.87,8.87,8.87,,
16/12/2022,8.87,8.87,8.87,8.87,,
19/12/2022,8.87,8.87,8.87,8.87,,
20/12/2022,8.87,8.87,8.87,8.87,,
21/12/2022,8.87,8.87,8.87,8.87,,
22/12/2022,8.87,8.87,8.87,8.87,,
23/12/2022,8.87,8.87,8.87,8.87,,
28/12/2022,8.87,8.87,8.87,8.87,,
29/12/2022,8.87,8.87,8.87,8.87,,
30/12/2022,8.87,8.87,8.87,8.87,,
03/01/2023,8.87,8.87,8.87,8.87,,
04/01/2023,8.87,8.87,8.87,8.87,,
05/01/2023,8.87,8.87,8.87,8.87,,
06/01/2023,8.87,8.87,8.87,8.87,,
09/01/2023,8.89,8.89,8.89,8.89,,
10/01/2023,8.87,8.87,8.87,8.87,,
11/01/2023,8.87,8.87,8.87,8.87,,
12/01/2023,8.87,8.87,8.87,8.87,,
13/01/2023,8.87,8.87,8.87,8.87,,
16/01/2023,8.87,8.87,8.87,8.87,,
17/01/2023,8.87,8.87,8.87,8.87,,
18/01/2023,8.87,8.87,8.87,8.87,,
19/01/2023,8.87,8.87,8.87,8.87,,
20/01/2023,8.87,8.87,8.87,8.87,,
23/01/2023,8.87,8.87,8.87,8.87,,
24/01/2023,8.87,8.87,8.87,8.87,,
26/01/2023,8.87,8.87,8.87,8.87,,
27/01/2023,8.87,8.87,8.87,8.87,,
30/01/2023,8.87,8.87,8.87,8.87,,
31/01/2023,8.87,8.87,8.87,8.87,,
01/02/2023,8.87,8.87,8.87,8.87,,
03/02/2023,8.87,8.87,8.87,8.87,,
06/02/2023,8.87,8.87,8.87,8.87,16000.0,141920.0
07/02/2023,8.87,8.87,8.87,8.87,2230.0,19780.1
08/02/2023,8.87,8.87,8.87,8.87,,
09/02/2023,8.87,8.87,8.87,8.87,,
10/02/2023,8.87,8.87,8.87,8.87,,
13/02/2023,8.87,8.87,8.87,8.87,,
14/02/2023,8.87,8.87,8.87,8.87,,
15/02/2023,8.87,8.87,8.87,8.87,,
16/02/2023,8.87,8.87,8.87,8.87,,
17/02/2023,8.87,8.87,8.87,8.87,,
20/02/2023,8.87,8.87,8.87,8.87,,
21/02/2023,8.87,8.87,8.87,8.87,,
22/02/2023,8.87,8.87,8.87,8.87,,
23/02/2023,8.87,8.87,8.87,8.87,,
24/02/2023,8.87,8.87,8.87,8.87,,
27/02/2023,8.87,8.87,8.87,8.87,,
28/02/2023,8.87,8.87,8.87,8.87,,
01/03/2023,8.87,8.87,8.87,8.87,,
