Date,Open,High,Low,Close,Volume,Value
03/07/2007,0.27,0.27,0.2,0.27,180500.0,
04/07/2007,0.27,0.27,0.2,0.27,29900.0,
05/07/2007,0.27,0.27,0.2,0.27,,
06/07/2007,0.27,0.27,0.2,0.27,5700.0,
09/07/2007,0.27,0.28,0.2,0.28,32000.0,
10/07/2007,0.28,0.28,0.2,0.28,17800.0,
11/07/2007,0.28,0.31,0.2,0.31,10600.0,
12/07/2007,0.31,0.31,0.2,0.31,25800.0,
13/07/2007,0.31,0.31,0.2,0.31,4600.0,
16/07/2007,0.31,0.31,0.2,0.31,1700.0,
17/07/2007,0.31,0.32,0.2,0.32,129500.0,
18/07/2007,0.32,0.32,0.2,0.32,223300.0,
19/07/2007,0.32,0.32,0.2,0.32,46200.0,
20/07/2007,0.32,0.32,0.2,0.32,3876500.0,
23/07/2007,0.32,0.32,0.2,0.32,446300.0,
24/07/2007,0.32,0.32,0.2,0.32,2200.0,
25/07/2007,0.32,0.32,0.2,0.32,900.0,
26/07/2007,0.32,0.32,0.2,0.32,106400.0,
27/07/2007,0.32,0.32,0.2,0.32,158200.0,
30/07/2007,0.32,0.32,0.2,0.32,276900.0,
31/07/2007,0.32,0.32,0.2,0.32,5600.0,
01/08/2007,0.32,0.32,0.2,0.32,39500.0,
02/08/2007,0.32,0.33,0.2,0.33,303800.0,
03/08/2007,0.33,0.33,0.2,0.33,12100.0,
06/08/2007,0.33,0.33,0.2,0.33,20300.0,
07/08/2007,0.33,0.33,0.2,0.33,57100.0,
08/08/2007,0.33,0.34,0.2,0.34,818000.0,
09/08/2007,0.34,0.34,0.2,0.34,15900.0,
10/08/2007,0.34,0.34,0.2,0.34,38900.0,
13/08/2007,0.34,0.34,0.2,0.34,29100.0,
14/08/2007,0.34,0.34,0.2,0.34,43700.0,
15/08/2007,0.34,0.34,0.2,0.34,8100.0,
16/08/2007,0.34,0.34,0.2,0.34,111600.0,
17/08/2007,0.34,0.34,0.2,0.34,51400.0,
20/08/2007,0.34,0.34,0.2,0.34,3900.0,
21/08/2007,0.34,0.34,0.2,0.34,283400.0,
22/08/2007,0.34,0.34,0.2,0.34,8300.0,
24/08/2007,0.34,0.34,0.2,0.34,171700.0,
27/08/2007,0.34,0.34,0.2,0.34,,
28/08/2007,0.34,0.34,0.2,0.34,4500.0,
29/08/2007,0.34,0.34,0.2,0.34,34200.0,
30/08/2007,0.34,0.34,0.2,0.34,7669900.0,
31/08/2007,0.34,0.34,0.2,0.34,123900.0,
03/09/2007,0.34,0.34,0.2,0.34,410300.0,
04/09/2007,0.34,0.34,0.2,0.34,180500.0,
05/09/2007,0.34,0.34,0.2,0.34,38200.0,
06/09/2007,0.34,0.34,0.2,0.34,,
07/09/2007,0.34,0.34,0.2,0.34,253400.0,
10/09/2007,0.34,0.34,0.2,0.34,9900.0,
11/09/2007,0.34,0.34,0.2,0.34,3800.0,
12/09/2007,0.34,0.34,0.2,0.34,111400.0,
13/09/2007,0.34,0.34,0.2,0.34,7600.0,
14/09/2007,0.34,0.34,0.2,0.34,22900.0,
17/09/2007,0.34,0.34,0.2,0.34,121900.0,
18/09/2007,0.34,0.34,0.2,0.34,21200.0,
19/09/2007,0.34,0.34,0.2,0.34,36700.0,
20/09/2007,0.34,0.34,0.2,0.34,6700.0,
21/09/2007,0.34,0.34,0.2,0.34,9600.0,
24/09/2007,0.34,0.34,0.2,0.34,8500.0,
25/09/2007,0.34,0.34,0.2,0.34,2200.0,
26/09/2007,0.34,0.34,0.2,0.34,15800.0,
27/09/2007,0.34,0.34,0.2,0.34,33500.0,
28/09/2007,0.34,0.34,0.2,0.34,193200.0,
01/10/2007,0.34,0.34,0.2,0.34,49100.0,
02/10/2007,0.34,0.34,0.2,0.34,22100.0,
03/10/2007,0.34,0.34,0.2,0.34,25800.0,
04/10/2007,0.34,0.35,0.2,0.35,3300.0,
05/10/2007,0.35,0.35,0.2,0.35,,
08/10/2007,0.35,0.35,0.2,0.35,500.0,
09/10/2007,0.35,0.35,0.2,0.35,53300.0,
10/10/2007,0.35,0.35,0.2,0.35,,
11/10/2007,0.35,0.35,0.2,0.35,5300.0,
12/10/2007,0.35,0.35,0.2,0.35,12800.0,
16/10/2007,0.35,0.35,0.2,0.35,20200.0,
17/10/2007,0.35,0.35,0.2,0.35,128600.0,
18/10/2007,0.35,0.35,0.2,0.35,7600.0,
19/10/2007,0.35,0.35,0.2,0.35,317400.0,
22/10/2007,0.35,0.35,0.2,0.35,173300.0,
23/10/2007,0.35,0.35,0.2,0.35,3800.0,
24/10/2007,0.35,0.35,0.2,0.35,6800.0,
25/10/2007,0.35,0.35,0.2,0.35,21800.0,
26/10/2007,0.35,0.35,0.2,0.35,7500.0,
29/10/2007,0.35,0.35,0.2,0.35,21900.0,
30/10/2007,0.35,0.35,0.2,0.35,3300.0,
31/10/2007,0.35,0.35,0.2,0.35,3700.0,
01/11/2007,0.35,0.37,0.2,0.37,125300.0,
02/11/2007,0.37,0.38,0.2,0.38,142400.0,
05/11/2007,0.38,0.38,0.2,0.38,15200.0,
06/11/2007,0.38,0.38,0.2,0.38,6300.0,
07/11/2007,0.38,0.38,0.2,0.38,18400.0,
08/11/2007,0.38,0.38,0.2,0.38,10000.0,
12/11/2007,0.38,0.38,0.2,0.38,3900.0,
13/11/2007,0.38,0.38,0.2,0.38,24100.0,
14/11/2007,0.38,0.38,0.2,0.38,,
15/11/2007,0.38,0.38,0.2,0.38,102600.0,
16/11/2007,0.38,0.38,0.2,0.38,19600.0,
19/11/2007,0.38,0.38,0.2,0.38,3100.0,
20/11/2007,0.38,0.41,0.2,0.41,904900.0,
21/11/2007,0.41,0.42,0.2,0.42,778000.0,
22/11/2007,0.42,0.42,0.2,0.42,8700.0,
23/11/2007,0.42,0.42,0.2,0.42,,
26/11/2007,0.42,0.42,0.2,0.42,114000.0,
27/11/2007,0.42,0.42,0.2,0.42,152300.0,
28/11/2007,0.42,0.42,0.2,0.42,39500.0,
29/11/2007,0.42,0.42,0.2,0.42,129100.0,
30/11/2007,0.42,0.42,0.2,0.42,500.0,
03/12/2007,0.42,0.42,0.2,0.42,123800.0,
04/12/2007,0.42,0.42,0.2,0.42,22200.0,
05/12/2007,0.42,0.42,0.2,0.42,48900.0,
06/12/2007,0.42,0.42,0.2,0.42,43900.0,
10/12/2007,0.42,0.42,0.2,0.42,28000.0,
11/12/2007,0.42,0.42,0.2,0.42,128000.0,
12/12/2007,0.42,0.43,0.2,0.43,150000.0,
13/12/2007,0.43,0.43,0.2,0.43,618800.0,
14/12/2007,0.43,0.44,0.2,0.44,163300.0,
17/12/2007,0.44,0.44,0.2,0.44,59100.0,
18/12/2007,0.44,0.44,0.2,0.44,5600.0,
20/12/2007,0.44,0.44,0.2,0.44,58600.0,
21/12/2007,0.44,0.44,0.2,0.44,37000.0,
24/12/2007,0.44,0.44,0.2,0.44,354900.0,
24/12/2007,0.44,0.44,0.2,0.44,354900.0,
27/12/2007,0.44,0.44,0.2,0.44,8900.0,
28/12/2007,0.44,0.44,0.2,0.44,312600.0,
31/12/2007,0.44,0.44,0.2,0.44,442700.0,
02/01/2008,0.44,0.44,0.2,0.44,2100.0,
03/01/2008,0.44,0.44,0.44,0.44,21600.0,
04/01/2008,0.44,0.44,0.44,0.44,,
07/01/2008,0.44,0.46,0.44,0.46,137000.0,
08/01/2008,0.46,0.46,0.44,0.46,12400.0,
09/01/2008,0.46,0.46,0.44,0.46,5400.0,
10/01/2008,0.46,0.46,0.44,0.46,5800.0,
11/01/2008,0.46,0.46,0.44,0.46,67600.0,
14/01/2008,0.46,0.46,0.44,0.46,2300.0,
15/01/2008,0.46,0.46,0.44,0.46,4100.0,
16/01/2008,0.46,0.46,0.44,0.46,500.0,
17/01/2008,0.46,0.46,0.44,0.46,,
18/01/2008,0.46,0.47,0.44,0.47,79500.0,
21/01/2008,0.47,0.47,0.44,0.47,15900.0,
22/01/2008,0.47,0.47,0.44,0.47,12900.0,
23/01/2008,0.47,0.5,0.44,0.5,272500.0,
24/01/2008,0.5,0.5,0.44,0.5,34000.0,
25/01/2008,0.5,0.51,0.44,0.51,762500.0,
28/01/2008,0.51,0.51,0.44,0.51,10100.0,
29/01/2008,0.51,0.51,0.44,0.51,67100.0,
30/01/2008,0.51,0.51,0.44,0.51,52900.0,
31/01/2008,0.51,0.51,0.44,0.51,280400.0,
01/02/2008,0.51,0.51,0.44,0.51,5600.0,
04/02/2008,0.51,0.51,0.44,0.51,22000.0,
05/02/2008,0.51,0.51,0.44,0.51,10800.0,
06/02/2008,0.51,0.53,0.44,0.53,132500.0,
07/02/2008,0.53,0.53,0.44,0.53,38300.0,
08/02/2008,0.53,0.53,0.44,0.53,5300.0,
11/02/2008,0.53,0.58,0.44,0.58,223100.0,
12/02/2008,0.58,0.58,0.44,0.58,68300.0,
13/02/2008,0.58,0.59,0.44,0.59,188100.0,
14/02/2008,0.59,0.6,0.44,0.6,98800.0,
15/02/2008,0.6,0.62,0.44,0.62,11700.0,
18/02/2008,0.62,0.67,0.44,0.67,117300.0,
19/02/2008,0.67,0.67,0.44,0.67,150200.0,
20/02/2008,0.67,0.7,0.44,0.7,623600.0,
21/02/2008,0.7,0.7,0.44,0.7,1213000.0,
22/02/2008,0.7,0.7,0.44,0.7,10900.0,
25/02/2008,0.7,0.7,0.44,0.7,23400.0,
26/02/2008,0.7,0.7,0.44,0.7,7400.0,
27/02/2008,0.7,0.7,0.44,0.7,2700.0,
28/02/2008,0.7,0.7,0.44,0.7,3500.0,
29/02/2008,0.7,0.7,0.44,0.7,174300.0,
03/03/2008,0.7,0.7,0.44,0.7,297800.0,
04/03/2008,0.7,0.7,0.44,0.7,12400.0,
05/03/2008,0.7,0.7,0.44,0.7,900.0,
07/03/2008,0.7,0.7,0.44,0.7,2200.0,
10/03/2008,0.7,0.51,0.44,0.7,701300.0,
11/03/2008,0.7,0.51,0.44,0.7,900.0,
12/03/2008,0.7,0.51,0.44,0.7,5400.0,
13/03/2008,0.7,0.51,0.44,0.7,100.0,
14/03/2008,0.7,0.51,0.44,0.7,800.0,
17/03/2008,0.7,0.7,0.44,0.7,1000.0,
18/03/2008,0.7,0.7,0.44,0.7,1200100.0,
19/03/2008,0.7,0.7,0.44,0.7,700.0,
20/03/2008,0.7,0.7,0.44,0.7,700.0,
25/03/2008,0.7,0.7,0.44,0.7,1900.0,
26/03/2008,0.7,0.7,0.44,0.7,158200.0,
27/03/2008,0.7,0.7,0.44,0.7,21900.0,
28/03/2008,0.7,0.7,0.44,0.7,100.0,
31/03/2008,0.7,0.7,0.44,0.7,1200.0,
01/04/2008,0.7,0.7,0.44,0.65,559500.0,
02/04/2008,0.65,0.7,0.44,0.65,44800.0,
03/04/2008,0.65,0.7,0.44,0.65,,
04/04/2008,0.65,0.7,0.44,0.65,2000.0,
07/04/2008,0.65,0.7,0.44,0.6,723500.0,
08/04/2008,0.6,0.7,0.44,0.55,101200.0,
09/04/2008,0.55,0.7,0.44,0.53,261700.0,
10/04/2008,0.53,0.7,0.44,0.5,338300.0,
11/04/2008,0.5,0.7,0.44,0.51,297000.0,
14/04/2008,0.51,0.7,0.44,0.53,134800.0,
16/04/2008,0.56,0.7,0.44,0.57,258700.0,
17/04/2008,0.57,0.7,0.44,0.59,98000.0,
