Date,Open,High,Low,Close,Volume,Value
03/07/2007,0.08,0.08,0.08,0.08,,
04/07/2007,0.08,0.08,0.08,0.08,,
05/07/2007,0.08,0.08,0.08,0.08,900.0,
06/07/2007,0.08,0.08,0.08,0.08,,
09/07/2007,0.08,0.08,0.08,0.08,100.0,
10/07/2007,0.08,0.08,0.08,0.08,,
11/07/2007,0.08,0.08,0.08,0.08,,
12/07/2007,0.08,0.08,0.08,0.08,,
13/07/2007,0.08,0.08,0.08,0.08,,
16/07/2007,0.08,0.08,0.08,0.08,,
17/07/2007,0.08,0.08,0.08,0.08,,
18/07/2007,0.08,0.08,0.08,0.08,,
19/07/2007,0.08,0.08,0.08,0.08,,
20/07/2007,0.08,0.08,0.08,0.08,2200.0,
23/07/2007,0.08,0.08,0.08,0.08,,
24/07/2007,0.08,0.08,0.08,0.08,,
25/07/2007,0.08,0.08,0.08,0.08,,
26/07/2007,0.08,0.08,0.08,0.08,,
27/07/2007,0.08,0.08,0.08,0.08,,
30/07/2007,0.08,0.08,0.08,0.08,,
31/07/2007,0.08,0.08,0.08,0.08,,
01/08/2007,0.08,0.08,0.08,0.08,,
02/08/2007,0.08,0.08,0.08,0.08,,
03/08/2007,0.08,0.08,0.08,0.08,,
06/08/2007,0.08,0.08,0.08,0.08,,
07/08/2007,0.08,0.08,0.08,0.08,,
08/08/2007,0.08,0.08,0.08,0.08,,
09/08/2007,0.08,0.08,0.08,0.08,,
10/08/2007,0.08,0.08,0.08,0.08,,
13/08/2007,0.08,0.08,0.08,0.08,,
14/08/2007,0.08,0.08,0.08,0.08,,
15/08/2007,0.08,0.08,0.08,0.08,,
16/08/2007,0.08,0.08,0.08,0.08,,
17/08/2007,0.08,0.08,0.08,0.08,,
20/08/2007,0.08,0.08,0.08,0.08,,
21/08/2007,0.08,0.08,0.08,0.08,,
22/08/2007,0.08,0.08,0.08,0.08,,
24/08/2007,0.08,0.08,0.08,0.08,,
27/08/2007,0.08,0.08,0.08,0.08,,
28/08/2007,0.08,0.08,0.08,0.08,,
29/08/2007,0.08,0.08,0.08,0.08,300.0,
30/08/2007,0.08,0.08,0.08,0.08,,
31/08/2007,0.08,0.08,0.08,0.08,,
03/09/2007,0.08,0.08,0.08,0.08,,
04/09/2007,0.08,0.08,0.08,0.08,,
05/09/2007,0.08,0.08,0.08,0.08,,
06/09/2007,0.08,0.08,0.08,0.08,,
07/09/2007,0.08,0.08,0.08,0.08,,
10/09/2007,0.08,0.08,0.08,0.08,,
11/09/2007,0.08,0.08,0.08,0.08,,
12/09/2007,0.08,0.08,0.08,0.08,,
13/09/2007,0.08,0.08,0.08,0.08,,
14/09/2007,0.08,0.08,0.08,0.08,,
17/09/2007,0.08,0.08,0.08,0.08,,
18/09/2007,0.08,0.08,0.08,0.08,,
19/09/2007,0.08,0.08,0.08,0.08,,
20/09/2007,0.08,0.08,0.08,0.08,,
21/09/2007,0.08,0.08,0.08,0.08,4100.0,
24/09/2007,0.08,0.08,0.08,0.08,,
25/09/2007,0.08,0.08,0.08,0.08,,
26/09/2007,0.08,0.08,0.08,0.08,,
27/09/2007,0.08,0.08,0.08,0.08,,
28/09/2007,0.08,0.08,0.08,0.08,,
01/10/2007,0.08,0.08,0.08,0.08,,
02/10/2007,0.08,0.08,0.08,0.08,,
03/10/2007,0.08,0.08,0.08,0.08,,
04/10/2007,0.08,0.08,0.08,0.08,,
05/10/2007,0.08,0.08,0.08,0.08,,
08/10/2007,0.08,0.08,0.08,0.08,,
09/10/2007,0.08,0.08,0.08,0.08,,
10/10/2007,0.08,0.08,0.08,0.08,,
11/10/2007,0.08,0.08,0.08,0.08,,
12/10/2007,0.08,0.08,0.08,0.08,,
16/10/2007,0.08,0.08,0.08,0.08,,
17/10/2007,0.08,0.08,0.08,0.08,,
18/10/2007,0.08,0.08,0.08,0.08,,
19/10/2007,0.08,0.08,0.08,0.08,,
22/10/2007,0.08,0.08,0.08,0.08,,
23/10/2007,0.08,0.08,0.08,0.08,,
24/10/2007,0.08,0.08,0.08,0.08,,
25/10/2007,0.08,0.08,0.08,0.08,,
26/10/2007,0.08,0.08,0.08,0.08,,
29/10/2007,0.08,0.08,0.08,0.08,,
30/10/2007,0.08,0.08,0.08,0.08,,
31/10/2007,0.08,0.08,0.08,0.08,,
01/11/2007,0.08,0.08,0.08,0.08,,
02/11/2007,0.08,0.08,0.08,0.08,,
05/11/2007,0.08,0.08,0.08,0.08,,
06/11/2007,0.08,0.08,0.08,0.08,,
07/11/2007,0.08,0.08,0.08,0.08,,
08/11/2007,0.08,0.08,0.08,0.08,,
12/11/2007,0.08,0.08,0.08,0.08,,
13/11/2007,0.08,0.08,0.08,0.08,,
14/11/2007,0.08,0.08,0.08,0.08,,
15/11/2007,0.08,0.08,0.08,0.08,,
16/11/2007,0.08,0.08,0.08,0.08,,
19/11/2007,0.08,0.08,0.08,0.08,,
20/11/2007,0.08,0.08,0.08,0.08,,
21/11/2007,0.08,0.08,0.08,0.08,,
22/11/2007,0.08,0.08,0.08,0.08,,
23/11/2007,0.08,0.08,0.08,0.08,,
26/11/2007,0.08,0.08,0.08,0.08,,
27/11/2007,0.08,0.08,0.08,0.08,,
28/11/2007,0.08,0.08,0.08,0.08,,
29/11/2007,0.08,0.08,0.08,0.08,,
30/11/2007,0.08,0.08,0.08,0.08,,
03/12/2007,0.08,0.08,0.08,0.08,,
04/12/2007,0.08,0.08,0.08,0.08,,
05/12/2007,0.08,0.08,0.08,0.08,,
06/12/2007,0.08,0.08,0.08,0.08,,
10/12/2007,0.08,0.08,0.08,0.08,,
11/12/2007,0.08,0.08,0.08,0.08,,
12/12/2007,0.08,0.08,0.08,0.08,,
13/12/2007,0.08,0.08,0.08,0.08,,
14/12/2007,0.08,0.08,0.08,0.08,,
17/12/2007,0.08,0.08,0.08,0.08,,
18/12/2007,0.08,0.08,0.08,0.08,,
20/12/2007,0.08,0.08,0.08,0.08,,
21/12/2007,0.08,0.08,0.08,0.08,,
24/12/2007,0.08,0.08,0.08,0.08,,
24/12/2007,0.08,0.08,0.08,0.08,,
27/12/2007,0.08,0.08,0.08,0.08,,
28/12/2007,0.08,0.08,0.08,0.08,,
31/12/2007,0.08,0.08,0.08,0.08,,
02/01/2008,0.08,0.08,0.08,0.08,,
03/01/2008,0.08,0.08,0.08,0.08,,
04/01/2008,0.08,0.08,0.08,0.08,,
07/01/2008,0.08,0.08,0.08,0.08,200.0,
08/01/2008,0.08,0.08,0.08,0.08,,
09/01/2008,0.08,0.08,0.08,0.08,,
10/01/2008,0.08,0.08,0.08,0.08,,
11/01/2008,0.08,0.08,0.08,0.08,,
14/01/2008,0.08,0.08,0.08,0.08,,
15/01/2008,0.08,0.08,0.08,0.08,,
16/01/2008,0.08,0.08,0.08,0.08,,
17/01/2008,0.08,0.08,0.08,0.08,,
18/01/2008,0.08,0.08,0.08,0.08,,
21/01/2008,0.08,0.08,0.08,0.08,,
22/01/2008,0.08,0.08,0.08,0.08,,
23/01/2008,0.08,0.08,0.08,0.08,,
24/01/2008,0.08,0.08,0.08,0.08,,
25/01/2008,0.08,0.08,0.08,0.08,,
28/01/2008,0.08,0.08,0.08,0.08,,
29/01/2008,0.08,0.08,0.08,0.08,,
30/01/2008,0.08,0.08,0.08,0.08,,
31/01/2008,0.08,0.08,0.08,0.08,,
01/02/2008,0.08,0.08,0.08,0.08,200.0,
04/02/2008,0.08,0.08,0.08,0.08,,
05/02/2008,0.08,0.08,0.08,0.08,,
06/02/2008,0.08,0.08,0.08,0.08,,
07/02/2008,0.08,0.08,0.08,0.08,,
08/02/2008,0.08,0.08,0.08,0.08,,
11/02/2008,0.08,0.08,0.08,0.08,,
12/02/2008,0.08,0.08,0.08,0.08,,
13/02/2008,0.08,0.08,0.08,0.08,,
14/02/2008,0.08,0.08,0.08,0.08,,
15/02/2008,0.08,0.08,0.08,0.08,,
18/02/2008,0.08,0.08,0.08,0.08,700.0,
19/02/2008,0.08,0.08,0.08,0.08,,
20/02/2008,0.08,0.08,0.08,0.08,200.0,
21/02/2008,0.08,0.08,0.08,0.08,,
22/02/2008,0.08,0.08,0.08,0.08,,
25/02/2008,0.08,0.08,0.08,0.08,,
26/02/2008,0.08,0.08,0.08,0.08,,
27/02/2008,0.08,0.08,0.08,0.08,,
28/02/2008,0.08,0.08,0.08,0.08,,
29/02/2008,0.08,0.08,0.08,0.08,,
03/03/2008,0.08,0.08,0.08,0.08,,
04/03/2008,0.08,0.08,0.08,0.08,,
05/03/2008,0.08,0.08,0.08,0.08,,
07/03/2008,0.08,0.08,0.08,0.08,,
10/03/2008,0.08,0.08,0.08,0.08,,
11/03/2008,0.08,0.08,0.08,0.08,,
12/03/2008,0.08,0.08,0.08,0.08,,
13/03/2008,0.08,0.08,0.08,0.08,,
14/03/2008,0.08,0.08,0.08,0.08,,
17/03/2008,0.08,0.08,0.08,0.08,,
18/03/2008,0.08,0.08,0.08,0.08,,
19/03/2008,0.08,0.08,0.08,0.08,,
20/03/2008,0.08,0.08,0.08,0.08,,
25/03/2008,0.08,0.08,0.08,0.08,,
