Date,Open,High,Low,Close,Volume,Value
03/07/2007,0.17,0.17,0.17,0.17,,
04/07/2007,0.17,0.17,0.17,0.17,,
05/07/2007,0.17,0.17,0.17,0.17,,
06/07/2007,0.17,0.17,0.17,0.17,,
09/07/2007,0.17,0.17,0.17,0.17,,
10/07/2007,0.17,0.17,0.17,0.17,,
11/07/2007,0.17,0.17,0.17,0.17,,
12/07/2007,0.17,0.17,0.17,0.17,,
13/07/2007,0.17,0.17,0.17,0.17,,
16/07/2007,0.17,0.17,0.17,0.17,,
17/07/2007,0.17,0.17,0.17,0.17,2000.0,
18/07/2007,0.17,0.17,0.17,0.17,,
19/07/2007,0.17,0.17,0.17,0.17,,
20/07/2007,0.17,0.17,0.17,0.17,,
23/07/2007,0.17,0.17,0.17,0.17,,
24/07/2007,0.17,0.17,0.17,0.17,,
25/07/2007,0.17,0.17,0.17,0.17,,
26/07/2007,0.17,0.17,0.17,0.17,,
27/07/2007,0.17,0.17,0.17,0.17,,
30/07/2007,0.17,0.17,0.17,0.17,100.0,
31/07/2007,0.17,0.17,0.17,0.17,,
01/08/2007,0.17,0.17,0.17,0.17,,
02/08/2007,0.17,0.17,0.17,0.17,,
03/08/2007,0.17,0.17,0.17,0.17,,
06/08/2007,0.17,0.17,0.17,0.17,,
07/08/2007,0.17,0.17,0.17,0.17,,
08/08/2007,0.17,0.17,0.17,0.17,,
09/08/2007,0.17,0.17,0.17,0.17,,
10/08/2007,0.17,0.17,0.17,0.17,,
13/08/2007,0.17,0.17,0.17,0.17,,
14/08/2007,0.17,0.17,0.17,0.17,,
15/08/2007,0.17,0.17,0.17,0.17,,
16/08/2007,0.17,0.17,0.17,0.17,,
17/08/2007,0.17,0.17,0.17,0.17,,
20/08/2007,0.17,0.17,0.17,0.17,,
21/08/2007,0.17,0.17,0.17,0.17,,
22/08/2007,0.17,0.17,0.17,0.17,,
24/08/2007,0.17,0.17,0.17,0.17,,
27/08/2007,0.17,0.17,0.17,0.17,,
28/08/2007,0.17,0.17,0.17,0.17,,
29/08/2007,0.17,0.17,0.17,0.17,,
30/08/2007,0.17,0.17,0.17,0.17,,
31/08/2007,0.17,0.17,0.17,0.17,,
03/09/2007,0.17,0.17,0.17,0.17,,
04/09/2007,0.17,0.17,0.17,0.17,,
05/09/2007,0.17,0.17,0.17,0.17,,
06/09/2007,0.17,0.17,0.17,0.17,,
07/09/2007,0.17,0.17,0.17,0.17,,
10/09/2007,0.17,0.17,0.17,0.17,,
11/09/2007,0.17,0.17,0.17,0.17,,
12/09/2007,0.17,0.17,0.17,0.17,,
13/09/2007,0.17,0.17,0.17,0.17,,
14/09/2007,0.17,0.17,0.17,0.17,,
17/09/2007,0.17,0.17,0.17,0.17,,
18/09/2007,0.17,0.17,0.17,0.17,,
19/09/2007,0.17,0.17,0.17,0.17,,
20/09/2007,0.17,0.17,0.17,0.17,,
21/09/2007,0.17,0.17,0.17,0.17,,
24/09/2007,0.17,0.17,0.17,0.17,,
25/09/2007,0.17,0.17,0.17,0.17,,
26/09/2007,0.17,0.17,0.17,0.17,,
27/09/2007,0.17,0.17,0.17,0.17,,
28/09/2007,0.17,0.17,0.17,0.17,,
01/10/2007,0.17,0.17,0.17,0.17,,
02/10/2007,0.17,0.17,0.17,0.17,,
03/10/2007,0.17,0.17,0.17,0.17,,
04/10/2007,0.17,0.17,0.17,0.17,,
05/10/2007,0.17,0.17,0.17,0.17,,
08/10/2007,0.17,0.17,0.17,0.17,,
09/10/2007,0.17,0.17,0.17,0.17,,
10/10/2007,0.17,0.17,0.17,0.17,,
11/10/2007,0.17,0.17,0.17,0.17,,
12/10/2007,0.17,0.17,0.17,0.17,,
16/10/2007,0.17,0.17,0.17,0.17,,
17/10/2007,0.17,0.17,0.17,0.17,,
18/10/2007,0.17,0.17,0.17,0.17,,
19/10/2007,0.17,0.17,0.17,0.17,,
