Date,Open,High,Low,Close,Volume,Value
11/04/2018,0.08,0.09,0.08,0.09,1000.0,
12/04/2018,0.09,0.09,0.08,0.09,,
13/04/2018,0.09,0.09,0.08,0.09,,
16/04/2018,0.09,0.09,0.08,0.09,,
17/04/2018,0.09,0.09,0.08,0.09,,
18/04/2018,0.09,0.09,0.08,0.09,,
19/04/2018,0.09,0.09,0.08,0.09,,
20/04/2018,0.09,0.09,0.08,0.09,,
23/04/2018,0.09,0.09,0.08,0.09,1400.0,
24/04/2018,0.09,0.09,0.08,0.09,,
25/04/2018,0.09,0.09,0.08,0.09,,
26/04/2018,0.09,0.09,0.08,0.09,,
27/04/2018,0.09,0.09,0.08,0.09,,
30/04/2018,0.09,0.09,0.08,0.09,,
02/05/2018,0.09,0.09,0.08,0.09,,
03/05/2018,0.09,0.09,0.08,0.09,,
04/05/2018,0.09,0.09,0.08,0.09,,
07/05/2018,0.09,0.09,0.08,0.09,,
08/05/2018,0.09,0.09,0.08,0.09,,
09/05/2018,0.09,0.09,0.08,0.09,,
10/05/2018,0.09,0.09,0.08,0.09,,
11/05/2018,0.09,0.09,0.08,0.09,,
14/05/2018,0.09,0.09,0.08,0.09,,
15/05/2018,0.09,0.09,0.08,0.09,,
16/05/2018,0.09,0.09,0.08,0.09,,
17/05/2018,0.09,0.09,0.08,0.09,,
18/05/2018,0.09,0.09,0.08,0.09,,
21/05/2018,0.09,0.09,0.08,0.09,,
22/05/2018,0.09,0.09,0.08,0.09,,
23/05/2018,0.09,0.09,0.08,0.09,,
24/05/2018,0.09,0.09,0.08,0.09,,
28/05/2018,0.09,0.09,0.08,0.09,,
29/05/2018,0.09,0.09,0.08,0.09,,
30/05/2018,0.09,0.09,0.08,0.09,,
31/05/2018,0.09,0.09,0.08,0.09,,
01/06/2018,0.09,0.09,0.08,0.09,,
04/06/2018,0.09,0.09,0.08,0.09,,
05/06/2018,0.09,0.09,0.08,0.09,,
06/06/2018,0.09,0.09,0.08,0.09,,
07/06/2018,0.09,0.09,0.08,0.09,,
08/06/2018,0.09,0.09,0.08,0.09,,
11/06/2018,0.09,0.09,0.08,0.09,,
12/06/2018,0.09,0.09,0.08,0.09,,
13/06/2018,0.09,0.09,0.08,0.09,,
14/06/2018,0.09,0.09,0.08,0.09,,
18/06/2018,0.09,0.09,0.08,0.09,,
19/06/2018,0.09,0.09,0.08,0.09,,
20/06/2018,0.09,0.09,0.08,0.09,,
21/06/2018,0.09,0.09,0.08,0.09,,
22/06/2018,0.09,0.09,0.08,0.09,10000.0,
25/06/2018,0.09,0.09,0.08,0.09,,
26/06/2018,0.09,0.09,0.08,0.09,,
27/06/2018,0.09,0.09,0.08,0.09,,
28/06/2018,0.09,0.09,0.08,0.09,,
29/06/2018,0.09,0.09,0.08,0.09,,
03/07/2018,0.09,0.09,0.08,0.09,,
04/07/2018,0.09,0.09,0.08,0.09,9200.0,
05/07/2018,0.09,0.09,0.08,0.09,,
06/07/2018,0.09,0.09,0.08,0.09,,
09/07/2018,0.09,0.09,0.08,0.09,,
10/07/2018,0.09,0.09,0.08,0.09,,
11/07/2018,0.09,0.09,0.08,0.09,,
12/07/2018,0.09,0.09,0.08,0.09,,
13/07/2018,0.09,0.09,0.08,0.09,,
16/07/2018,0.09,0.09,0.08,0.09,,
17/07/2018,0.09,0.09,0.08,0.09,,
18/07/2018,0.09,0.09,0.08,0.09,,
19/07/2018,0.09,0.09,0.08,0.09,,
20/07/2018,0.09,0.09,0.08,0.09,,
23/07/2018,0.09,0.09,0.08,0.09,,
24/07/2018,0.09,0.09,0.08,0.09,,
25/07/2018,0.09,0.09,0.08,0.09,,
26/07/2018,0.09,0.09,0.08,0.09,,
27/07/2018,0.09,0.09,0.08,0.09,,
30/07/2018,0.09,0.09,0.08,0.09,,
31/07/2018,0.09,0.09,0.08,0.09,,
01/08/2018,0.09,0.09,0.08,0.09,,
02/08/2018,0.09,0.09,0.08,0.09,,
03/08/2018,0.09,0.09,0.08,0.09,,
06/08/2018,0.09,0.09,0.08,0.09,,
07/08/2018,0.09,0.09,0.08,0.09,,
08/08/2018,0.09,0.09,0.08,0.09,,
09/08/2018,0.09,0.09,0.08,0.09,,
