Date,Open,High,Low,Close,Volume,Value
01/04/2016,7.0,7.07,6.98,6.98,1300.0,
04/04/2016,6.98,7.07,6.98,6.98,,
05/04/2016,6.98,7.07,6.98,6.98,,
06/04/2016,6.98,7.07,6.98,6.98,200.0,
07/04/2016,6.98,7.07,6.98,6.99,100.0,
08/04/2016,6.99,7.07,6.98,6.99,1000.0,
11/04/2016,6.99,7.07,6.98,6.99,,
12/04/2016,6.99,7.07,6.9,6.9,1000.0,
13/04/2016,6.9,7.07,6.9,6.9,,
14/04/2016,6.9,7.07,6.9,6.9,,
15/04/2016,6.9,7.07,6.85,6.85,3000.0,
18/04/2016,6.85,7.07,6.85,6.85,7900.0,
19/04/2016,6.85,7.07,6.85,6.85,33000.0,
20/04/2016,6.85,7.07,6.85,6.85,100.0,
21/04/2016,6.85,7.07,6.84,6.84,300.0,
22/04/2016,6.84,7.07,6.84,6.84,,
25/04/2016,6.84,7.07,6.84,6.84,,
26/04/2016,6.84,7.07,6.84,6.84,,
27/04/2016,6.84,7.07,6.84,6.84,,
28/04/2016,6.84,7.07,6.84,6.84,,
29/04/2016,6.84,7.07,6.84,6.84,,
03/05/2016,6.84,7.07,6.84,6.84,,
04/05/2016,6.84,7.07,6.84,6.84,,
05/05/2016,6.84,7.07,6.84,6.79,500.0,
06/05/2016,6.79,7.07,6.84,6.79,,
09/05/2016,6.79,7.07,6.84,6.79,,
10/05/2016,6.79,7.07,6.84,6.79,,
11/05/2016,6.79,7.07,6.84,6.79,,
12/05/2016,6.79,7.07,6.84,6.79,,
13/05/2016,6.79,7.07,6.84,6.79,,
16/05/2016,6.79,7.07,6.69,6.69,100.0,
17/05/2016,6.79,7.07,6.69,6.69,,
18/05/2016,6.69,7.07,6.69,6.69,,
19/05/2016,6.69,7.07,6.69,6.69,,
20/05/2016,6.69,7.07,6.67,6.67,1600.0,
23/05/2016,6.69,7.07,6.67,6.5,2000.0,
24/05/2016,6.69,7.07,6.3,6.3,1400.0,
26/05/2016,6.69,7.07,6.3,6.3,100.0,
27/05/2016,6.69,7.07,6.3,6.38,97700.0,
30/05/2016,6.69,7.07,6.3,6.31,1800.0,
31/05/2016,6.69,7.07,6.3,6.3,24100.0,
01/06/2016,6.69,7.07,6.3,6.3,,
02/06/2016,6.69,7.07,6.3,6.3,1500.0,
03/06/2016,6.69,7.07,6.3,6.3,100.0,
06/06/2016,6.3,7.07,6.3,6.3,,
07/06/2016,6.3,7.07,6.3,6.33,400.0,
08/06/2016,6.33,7.07,6.3,6.33,,
09/06/2016,6.33,7.07,6.3,6.33,300.0,
10/06/2016,6.33,7.07,6.3,6.34,1000.0,
13/06/2016,6.34,7.07,6.3,6.34,2600.0,
14/06/2016,6.34,7.07,6.3,6.35,800.0,
15/06/2016,6.35,7.07,6.3,6.35,200.0,
16/06/2016,6.35,7.07,6.3,6.35,5900.0,
17/06/2016,6.35,7.07,6.3,6.35,,
20/06/2016,6.35,7.07,6.3,6.34,15900.0,
21/06/2016,6.34,7.07,6.3,6.35,1800.0,
22/06/2016,6.35,7.07,6.3,6.35,,
23/06/2016,6.35,7.07,6.3,6.35,,
24/06/2016,6.35,7.07,6.3,6.36,9000.0,
27/06/2016,6.36,7.07,6.3,6.4,300.0,
28/06/2016,6.4,7.07,6.3,6.6,600.0,
29/06/2016,6.6,7.07,6.3,6.6,,
30/06/2016,6.6,7.07,6.3,6.6,1400.0,
04/07/2016,6.6,7.07,6.3,6.6,5200.0,
05/07/2016,6.6,7.07,6.3,6.6,5600.0,
07/07/2016,6.6,7.07,6.3,6.6,2700.0,
08/07/2016,6.6,7.07,6.3,6.6,,
11/07/2016,6.6,7.07,6.3,6.6,600.0,
12/07/2016,6.6,7.07,6.3,6.6,,
13/07/2016,6.6,7.07,6.3,6.6,,
14/07/2016,6.6,7.07,6.3,6.6,600.0,
15/07/2016,6.6,7.07,6.3,6.6,,
18/07/2016,6.6,7.07,6.3,6.6,300.0,
19/07/2016,6.6,7.07,6.3,6.62,4200.0,
20/07/2016,6.62,7.07,6.3,6.65,800.0,
21/07/2016,6.65,7.07,6.3,6.6,142300.0,
22/07/2016,6.6,7.07,6.3,6.6,1200.0,
25/07/2016,6.6,7.07,6.3,6.6,,
26/07/2016,6.6,7.07,6.3,6.7,2400.0,
27/07/2016,6.7,7.07,6.3,6.7,7700.0,
28/07/2016,6.7,7.07,6.3,6.7,29400.0,
29/07/2016,6.7,7.07,6.3,6.7,100.0,
01/08/2016,6.7,7.07,6.3,6.7,1200.0,
02/08/2016,6.7,7.07,6.3,6.7,100.0,
03/08/2016,6.7,7.07,6.3,6.7,,
04/08/2016,6.7,7.07,6.3,6.7,2200.0,
05/08/2016,6.7,7.07,6.3,6.7,500.0,
08/08/2016,6.7,7.07,6.3,6.7,,
09/08/2016,6.7,7.07,6.3,6.7,200.0,
10/08/2016,6.7,7.07,6.3,6.7,,
11/08/2016,6.7,7.07,6.3,6.7,,
12/08/2016,6.7,7.07,6.3,6.75,1400.0,
15/08/2016,6.75,7.07,6.3,6.75,,
16/08/2016,6.75,7.07,6.3,6.75,800.0,
17/08/2016,6.75,7.07,6.3,6.75,600.0,
18/08/2016,6.75,7.07,6.3,6.87,122000.0,
19/08/2016,6.75,7.07,6.3,6.87,,
22/08/2016,6.87,7.07,6.3,6.87,300.0,
23/08/2016,6.87,7.07,6.3,6.87,200.0,
24/08/2016,6.87,7.07,6.3,6.87,200.0,
25/08/2016,6.87,7.07,6.3,6.87,400.0,
26/08/2016,6.87,7.07,6.3,6.87,,
29/08/2016,6.87,7.07,6.3,6.87,101300.0,
30/08/2016,6.87,7.07,6.3,6.88,2600.0,
31/08/2016,6.88,7.07,6.3,6.88,1200.0,
01/09/2016,6.88,7.07,6.3,6.88,,
02/09/2016,6.88,7.07,6.3,6.88,500.0,
05/09/2016,6.88,7.07,6.3,6.88,1200.0,
06/09/2016,6.88,7.07,6.3,6.88,100.0,
07/09/2016,6.88,7.07,6.3,6.88,,
08/09/2016,6.88,7.07,6.3,6.88,,
09/09/2016,6.88,7.07,6.3,6.88,100.0,
13/09/2016,6.88,7.07,6.3,6.88,,
14/09/2016,6.88,7.07,6.3,6.8,1500.0,
15/09/2016,6.88,7.07,6.3,6.8,1000.0,
16/09/2016,6.8,7.07,6.3,6.8,300.0,
19/09/2016,6.8,7.07,6.3,6.8,1300.0,
20/09/2016,6.8,7.07,6.3,6.8,1700.0,
22/09/2016,6.8,7.07,6.3,6.8,,
23/09/2016,6.8,7.07,6.3,6.8,,
26/09/2016,6.8,7.07,6.3,6.8,,
27/09/2016,6.8,7.07,6.3,6.81,200.0,
28/09/2016,6.81,7.07,6.3,6.81,,
29/09/2016,6.81,7.07,6.3,6.81,400.0,
30/09/2016,6.81,7.07,6.3,6.81,,
03/10/2016,6.81,7.07,6.3,6.81,,
04/10/2016,6.81,7.07,6.3,6.81,,
05/10/2016,6.81,7.07,6.3,6.81,,
06/10/2016,6.81,7.07,6.3,6.81,1000.0,
07/10/2016,6.81,7.07,6.3,6.81,,
10/10/2016,6.81,7.07,6.3,6.81,,
11/10/2016,6.81,7.07,6.3,6.81,,
12/10/2016,6.81,7.07,6.3,6.81,1600.0,
13/10/2016,6.81,7.07,6.3,6.81,,
14/10/2016,6.81,7.07,6.3,6.81,,
17/10/2016,6.81,7.07,6.3,6.81,,
18/10/2016,6.81,7.07,6.3,6.82,100.0,
19/10/2016,6.82,7.07,6.3,6.82,,
20/10/2016,6.82,7.07,6.3,6.82,,
21/10/2016,6.82,7.07,6.3,6.83,700.0,
24/10/2016,6.83,7.07,6.3,6.83,600.0,
25/10/2016,6.83,7.07,6.3,6.83,400.0,
26/10/2016,6.83,7.07,6.3,6.85,2200.0,
27/10/2016,6.85,7.07,6.3,6.85,,
28/10/2016,6.85,7.07,6.3,6.85,2100.0,
31/10/2016,6.85,7.07,6.3,6.85,,
01/11/2016,6.85,7.07,6.3,6.85,200.0,
02/11/2016,6.85,7.07,6.3,6.85,,
03/11/2016,6.85,7.07,6.3,6.84,500.0,
04/11/2016,6.84,7.07,6.3,6.82,500.0,
07/11/2016,6.82,7.07,6.3,6.82,100.0,
08/11/2016,6.82,7.07,6.3,6.81,200.0,
09/11/2016,6.81,7.07,6.3,6.81,,
10/11/2016,6.81,7.07,6.3,6.8,100.0,
11/11/2016,6.8,7.07,6.3,6.8,,
14/11/2016,6.8,7.07,6.3,6.8,100.0,
15/11/2016,6.8,7.07,6.3,6.8,100.0,
16/11/2016,6.8,7.07,6.3,6.79,100.0,
17/11/2016,6.79,7.07,6.3,6.77,100.0,
18/11/2016,6.77,7.07,6.3,6.7,100.0,
21/11/2016,6.7,7.07,6.3,6.67,100.0,
22/11/2016,6.67,7.07,6.3,6.67,,
23/11/2016,6.67,7.07,6.3,6.59,600.0,
24/11/2016,6.59,7.07,6.3,6.59,,
25/11/2016,6.59,7.07,6.3,6.55,400.0,
28/11/2016,6.55,7.07,6.3,6.55,,
29/11/2016,6.55,7.07,6.3,6.55,,
30/11/2016,6.55,7.07,6.3,6.55,,
01/12/2016,6.55,7.07,6.25,6.25,100.0,
05/12/2016,6.25,7.07,6.0,6.0,500.0,
06/12/2016,6.0,7.07,6.0,6.0,,
07/12/2016,6.0,7.07,5.69,5.69,13300.0,
08/12/2016,5.69,7.07,5.69,6.0,300.0,
09/12/2016,6.0,7.07,5.69,6.5,100.0,
12/12/2016,6.5,7.07,5.69,6.5,,
13/12/2016,6.5,7.07,5.69,6.5,5100.0,
14/12/2016,6.5,7.07,5.69,6.41,1500.0,
15/12/2016,6.41,7.07,5.69,6.42,100.0,
16/12/2016,6.42,7.07,5.69,6.42,,
19/12/2016,6.42,7.07,5.69,6.4,3000.0,
20/12/2016,6.4,7.07,5.69,6.4,1200.0,
21/12/2016,6.4,7.07,5.69,6.4,2800.0,
22/12/2016,6.4,7.07,5.69,6.4,5800.0,
23/12/2016,6.4,7.07,5.69,6.4,,
28/12/2016,6.4,7.07,5.69,6.4,,
29/12/2016,6.4,7.07,5.69,6.4,500.0,
30/12/2016,6.4,7.07,5.69,6.4,,
03/01/2017,6.4,6.5,6.5,6.5,1000.0,
04/01/2017,6.5,6.5,6.5,6.5,100.0,
05/01/2017,6.5,6.5,6.5,6.5,1400.0,
