Date,Open,High,Low,Close,Volume,Value
18/11/2010,0.42,0.46,0.42,0.46,125000.0,
19/11/2010,0.46,0.53,0.42,0.53,17600.0,
22/11/2010,0.53,0.6,0.42,0.6,203300.0,
23/11/2010,0.6,0.61,0.42,0.61,358400.0,
24/11/2010,0.6,0.61,0.42,0.6,23000.0,
25/11/2010,0.6,0.61,0.42,0.6,15500.0,
26/11/2010,0.6,0.61,0.42,0.6,66500.0,
29/11/2010,0.59,0.61,0.42,0.58,17000.0,
30/11/2010,0.59,0.61,0.42,0.58,200.0,
01/12/2010,0.58,0.61,0.42,0.57,5000.0,
02/12/2010,0.58,0.61,0.42,0.57,,
06/12/2010,0.58,0.61,0.42,0.57,100.0,
07/12/2010,0.58,0.61,0.42,0.57,1000.0,
08/12/2010,0.57,0.61,0.42,0.57,,
09/12/2010,0.57,0.61,0.42,0.57,1700.0,
10/12/2010,0.57,0.61,0.42,0.57,,
04/01/2011,0.52,0.51,0.5,0.51,2600.0,
05/01/2011,0.52,0.51,0.5,0.51,,
06/01/2011,0.52,0.51,0.5,0.5,3000.0,
07/01/2011,0.5,0.51,0.5,0.5,5800.0,
10/01/2011,0.5,0.51,0.5,0.5,,
11/01/2011,0.5,0.51,0.5,0.5,,
12/01/2011,0.5,0.51,0.5,0.5,95500.0,
13/01/2011,0.5,0.51,0.5,0.5,1000.0,
14/01/2011,0.5,0.51,0.5,0.5,,
17/01/2011,0.5,0.51,0.5,0.5,3000.0,
18/01/2011,0.5,0.51,0.5,0.5,,
19/01/2011,0.5,0.51,0.5,0.5,2200.0,
20/01/2011,0.5,0.51,0.5,0.5,,
21/01/2011,0.5,0.51,0.5,0.5,,
24/01/2011,0.5,0.51,0.5,0.48,1000.0,
25/01/2011,0.48,0.51,0.5,0.5,32900.0,
26/01/2011,0.5,0.51,0.5,0.5,,
27/01/2011,0.5,0.51,0.5,0.5,33900.0,
28/01/2011,0.5,0.51,0.5,0.5,10700.0,
31/01/2011,0.5,0.51,0.5,0.5,,
01/02/2011,0.5,0.51,0.5,0.5,700.0,
02/02/2011,0.5,0.51,0.49,0.49,4600.0,
03/02/2011,0.49,0.51,0.49,0.5,496800.0,
04/02/2011,0.5,0.51,0.49,0.49,2600.0,
07/02/2011,0.49,0.51,0.49,0.48,400.0,
08/02/2011,0.48,0.51,0.49,0.48,,
09/02/2011,0.48,0.51,0.49,0.48,,
10/02/2011,0.48,0.51,0.49,0.5,322200.0,
11/02/2011,0.5,0.51,0.49,0.5,,
14/02/2011,0.5,0.51,0.49,0.5,,
15/02/2011,0.5,0.51,0.49,0.5,6200.0,
16/02/2011,0.5,0.51,0.49,0.5,,
17/02/2011,0.5,0.51,0.49,0.5,,
18/02/2011,0.5,0.51,0.49,0.5,100.0,
21/02/2011,0.5,0.51,0.49,0.5,50000.0,
22/02/2011,0.5,0.51,0.49,0.5,35800.0,
23/02/2011,0.5,0.51,0.49,0.5,,
24/02/2011,0.5,0.51,0.49,0.5,48900.0,
25/02/2011,0.5,0.51,0.49,0.5,,
28/02/2011,0.5,0.51,0.49,0.5,1800.0,
01/03/2011,0.5,0.51,0.49,0.5,,
02/03/2011,0.5,0.51,0.49,0.5,,
03/03/2011,0.5,0.51,0.49,0.5,42900.0,
04/03/2011,0.5,0.51,0.49,0.5,30600.0,
08/03/2011,0.5,0.51,0.49,0.5,,
09/03/2011,0.5,0.51,0.48,0.48,2000.0,
10/03/2011,0.48,0.51,0.48,0.48,2000.0,
11/03/2011,0.48,0.51,0.48,0.48,,
14/03/2011,0.48,0.51,0.48,0.48,2300.0,
15/03/2011,0.48,0.51,0.48,0.48,314400.0,
16/03/2011,0.48,0.51,0.48,0.48,48000.0,
17/03/2011,0.48,0.51,0.48,0.48,10000.0,
18/03/2011,0.48,0.51,0.45,0.45,600900.0,
21/03/2011,0.44,0.51,0.45,0.45,301900.0,
22/03/2011,0.45,0.51,0.45,0.45,2400.0,
23/03/2011,0.45,0.51,0.45,0.45,,
24/03/2011,0.45,0.51,0.45,0.45,33200.0,
25/03/2011,0.45,0.51,0.45,0.45,2100.0,
28/03/2011,0.45,0.51,0.44,0.44,9200.0,
29/03/2011,0.44,0.51,0.44,0.44,,
30/03/2011,0.44,0.51,0.44,0.44,,
31/03/2011,0.44,0.51,0.44,0.44,100.0,
01/04/2011,0.44,0.51,0.44,0.44,,
04/04/2011,0.44,0.51,0.44,0.44,,
05/04/2011,0.44,0.51,0.44,0.44,,
06/04/2011,0.44,0.51,0.44,0.44,,
07/04/2011,0.44,0.51,0.44,0.43,10400.0,
08/04/2011,0.43,0.51,0.44,0.45,1000.0,
11/04/2011,0.45,0.51,0.44,0.45,1500.0,
12/04/2011,0.45,0.51,0.44,0.45,,
13/04/2011,0.45,0.51,0.44,0.45,3200.0,
14/04/2011,0.45,0.51,0.44,0.45,1100.0,
15/04/2011,0.45,0.51,0.44,0.45,11400.0,
18/04/2011,0.44,0.51,0.44,0.44,7100.0,
19/04/2011,0.44,0.51,0.44,0.44,2900.0,
20/04/2011,0.44,0.51,0.44,0.44,3800.0,
21/04/2011,0.44,0.51,0.44,0.44,23100.0,
26/04/2011,0.44,0.51,0.44,0.44,10700.0,
27/04/2011,0.44,0.51,0.44,0.44,100.0,
28/04/2011,0.44,0.51,0.44,0.44,100.0,
29/04/2011,0.44,0.51,0.44,0.43,45300.0,
03/05/2011,0.43,0.51,0.44,0.44,24000.0,
04/05/2011,0.44,0.51,0.44,0.44,100.0,
05/05/2011,0.44,0.51,0.44,0.44,,
06/05/2011,0.44,0.51,0.44,0.44,,
09/05/2011,0.44,0.51,0.44,0.44,2400.0,
10/05/2011,0.44,0.51,0.44,0.44,12800.0,
11/05/2011,0.44,0.51,0.44,0.43,8500.0,
12/05/2011,0.43,0.51,0.44,0.44,12600.0,
13/05/2011,0.44,0.51,0.44,0.44,32900.0,
16/05/2011,0.44,0.51,0.44,0.44,,
17/05/2011,0.44,0.51,0.44,0.44,,
18/05/2011,0.44,0.51,0.44,0.44,15300.0,
19/05/2011,0.44,0.51,0.44,0.44,8000.0,
20/05/2011,0.44,0.51,0.44,0.44,1300.0,
23/05/2011,0.44,0.51,0.44,0.44,1200.0,
24/05/2011,0.44,0.51,0.44,0.44,1800.0,
26/05/2011,0.44,0.51,0.44,0.44,9500.0,
27/05/2011,0.44,0.51,0.44,0.44,2500.0,
30/05/2011,0.44,0.51,0.44,0.44,7300.0,
31/05/2011,0.44,0.51,0.44,0.46,5000.0,
01/06/2011,0.46,0.51,0.44,0.46,3200.0,
02/06/2011,0.46,0.51,0.44,0.46,3600.0,
03/06/2011,0.46,0.51,0.44,0.46,,
06/06/2011,0.46,0.51,0.44,0.46,9700.0,
07/06/2011,0.46,0.51,0.44,0.46,,
08/06/2011,0.46,0.51,0.44,0.46,4500.0,
09/06/2011,0.46,0.51,0.44,0.47,9100.0,
10/06/2011,0.47,0.51,0.44,0.48,10000.0,
13/06/2011,0.47,0.51,0.44,0.48,15300.0,
14/06/2011,0.48,0.51,0.44,0.48,14800.0,
15/06/2011,0.48,0.51,0.44,0.48,900.0,
16/06/2011,0.48,0.51,0.44,0.48,200.0,
17/06/2011,0.48,0.51,0.44,0.48,3600.0,
20/06/2011,0.48,0.51,0.44,0.47,1400.0,
21/06/2011,0.47,0.51,0.44,0.48,2000.0,
22/06/2011,0.48,0.51,0.44,0.48,,
23/06/2011,0.48,0.51,0.44,0.48,5900.0,
24/06/2011,0.48,0.51,0.44,0.48,,
27/06/2011,0.48,0.51,0.44,0.5,1600.0,
28/06/2011,0.5,0.51,0.44,0.5,,
29/06/2011,0.5,0.51,0.44,0.48,7100.0,
30/06/2011,0.48,0.51,0.44,0.47,5300.0,
04/07/2011,0.47,0.51,0.44,0.47,,
05/07/2011,0.47,0.51,0.44,0.48,1000.0,
06/07/2011,0.48,0.51,0.44,0.47,5200.0,
07/07/2011,0.47,0.51,0.44,0.47,4100.0,
08/07/2011,0.47,0.51,0.44,0.47,500.0,
11/07/2011,0.47,0.51,0.44,0.47,500.0,
12/07/2011,0.47,0.51,0.44,0.48,8700.0,
13/07/2011,0.48,0.51,0.44,0.48,10000.0,
14/07/2011,0.48,0.51,0.44,0.48,4500.0,
15/07/2011,0.48,0.51,0.44,0.48,100.0,
18/07/2011,0.48,0.51,0.44,0.47,38000.0,
19/07/2011,0.47,0.51,0.44,0.48,100.0,
20/07/2011,0.48,0.51,0.44,0.48,900.0,
21/07/2011,0.48,0.51,0.44,0.47,3100.0,
22/07/2011,0.47,0.51,0.44,0.5,500.0,
25/07/2011,0.5,0.51,0.44,0.5,3959900.0,
26/07/2011,0.5,0.51,0.44,0.5,1600.0,
27/07/2011,0.5,0.51,0.44,0.5,,
28/07/2011,0.5,0.51,0.44,0.5,,
29/07/2011,0.5,0.51,0.44,0.51,5200.0,
01/08/2011,0.51,0.52,0.44,0.52,4000.0,
02/08/2011,0.52,0.52,0.44,0.52,6400.0,
03/08/2011,0.52,0.52,0.44,0.52,,
04/08/2011,0.52,0.53,0.44,0.53,2200.0,
05/08/2011,0.53,0.54,0.44,0.54,140500.0,
08/08/2011,0.54,0.54,0.44,0.54,3600.0,
09/08/2011,0.54,0.54,0.44,0.54,400.0,
10/08/2011,0.54,0.55,0.44,0.55,6000.0,
11/08/2011,0.55,0.55,0.44,0.55,,
12/08/2011,0.55,0.55,0.44,0.55,16100.0,
15/08/2011,0.55,0.55,0.44,0.55,5400.0,
16/08/2011,0.55,0.55,0.44,0.55,3300.0,
17/08/2011,0.55,0.55,0.44,0.55,12200.0,
18/08/2011,0.55,0.56,0.44,0.56,17500.0,
19/08/2011,0.56,0.56,0.44,0.56,10900.0,
19/08/2011,0.56,0.56,0.44,0.56,10900.0,
22/08/2011,0.56,0.56,0.44,0.56,500.0,
23/08/2011,0.56,0.56,0.44,0.56,700.0,
24/08/2011,0.56,0.56,0.44,0.53,8100.0,
25/08/2011,0.53,0.56,0.44,0.55,800.0,
26/08/2011,0.55,0.56,0.44,0.55,700.0,
29/08/2011,0.55,0.56,0.44,0.55,11100.0,
30/08/2011,0.55,0.56,0.44,0.55,500.0,
01/09/2011,0.55,0.56,0.44,0.55,,
02/09/2011,0.55,0.56,0.44,0.54,500.0,
05/09/2011,0.54,0.56,0.44,0.54,,
06/09/2011,0.54,0.56,0.44,0.54,400.0,
07/09/2011,0.54,0.56,0.44,0.54,,
08/09/2011,0.54,0.56,0.44,0.54,,
09/09/2011,0.54,0.56,0.44,0.54,,
