Date,Open,High,Low,Close,Volume,Value
03/07/2007,1.16,1.16,1.14,1.16,300.0,
04/07/2007,1.16,1.16,1.14,1.16,,
05/07/2007,1.16,1.16,1.14,1.16,,
06/07/2007,1.16,1.17,1.14,1.17,70000.0,
09/07/2007,1.17,1.17,1.14,1.17,,
10/07/2007,1.17,1.17,1.14,1.17,,
11/07/2007,1.17,1.17,1.14,1.17,,
12/07/2007,1.17,1.17,1.14,1.17,1460100.0,
13/07/2007,1.17,1.17,1.14,1.17,,
16/07/2007,1.17,1.17,1.14,1.17,,
17/07/2007,1.17,1.17,1.14,1.17,600.0,
18/07/2007,1.17,1.17,1.14,1.17,,
19/07/2007,1.17,1.17,1.14,1.17,,
20/07/2007,1.17,1.17,1.14,1.17,168000.0,
23/07/2007,1.17,1.17,1.14,1.17,,
24/07/2007,1.17,1.17,1.14,1.17,,
25/07/2007,1.17,1.17,1.14,1.17,,
26/07/2007,1.17,1.17,1.14,1.17,,
27/07/2007,1.17,1.17,1.14,1.17,700.0,
30/07/2007,1.17,1.17,1.14,1.17,54000.0,
31/07/2007,1.17,1.17,1.14,1.17,,
01/08/2007,1.17,1.17,1.14,1.17,808000.0,
02/08/2007,1.17,1.17,1.14,1.17,,
03/08/2007,1.17,1.17,1.14,1.17,,
06/08/2007,1.17,1.17,1.14,1.17,,
07/08/2007,1.17,1.17,1.14,1.17,,
08/08/2007,1.17,1.17,1.14,1.17,,
09/08/2007,1.17,1.17,1.14,1.17,,
10/08/2007,1.17,1.17,1.14,1.17,300.0,
13/08/2007,1.17,1.17,1.14,1.17,8400.0,
14/08/2007,1.17,1.17,1.14,1.17,,
15/08/2007,1.17,1.17,1.14,1.17,,
16/08/2007,1.17,1.17,1.14,1.17,,
17/08/2007,1.17,1.17,1.14,1.17,7391200.0,
20/08/2007,1.17,1.17,1.14,1.17,4500.0,
21/08/2007,1.17,1.17,1.14,1.17,,
22/08/2007,1.17,1.17,1.14,1.17,231100.0,
24/08/2007,1.17,1.17,1.14,1.17,,
27/08/2007,1.17,1.17,1.14,1.17,,
28/08/2007,1.17,1.17,1.14,1.17,,
29/08/2007,1.17,1.17,1.14,1.17,800.0,
30/08/2007,1.17,1.17,1.14,1.17,,
31/08/2007,1.17,1.17,1.14,1.17,,
03/09/2007,1.17,1.17,1.14,1.17,20000.0,
04/09/2007,1.17,1.17,1.14,1.17,,
05/09/2007,1.17,1.17,1.14,1.17,,
06/09/2007,1.17,1.17,1.14,1.17,,
07/09/2007,1.17,1.17,1.14,1.17,,
10/09/2007,1.17,1.17,1.14,1.17,1400.0,
11/09/2007,1.17,1.17,1.14,1.17,,
12/09/2007,1.17,1.17,1.14,1.17,,
13/09/2007,1.17,1.17,1.14,1.17,,
14/09/2007,1.17,1.17,1.14,1.17,,
17/09/2007,1.17,1.17,1.14,1.17,,
18/09/2007,1.17,1.17,1.14,1.17,,
19/09/2007,1.17,1.17,1.14,1.17,,
20/09/2007,1.17,1.17,1.14,1.17,,
21/09/2007,1.17,1.17,1.14,1.17,,
24/09/2007,1.17,1.17,1.14,1.17,,
25/09/2007,1.17,1.17,1.14,1.17,,
26/09/2007,1.17,1.17,1.14,1.17,,
27/09/2007,1.17,1.17,1.14,1.17,40000.0,
28/09/2007,1.17,1.17,1.14,1.17,,
01/10/2007,1.17,1.17,1.14,1.17,,
02/10/2007,1.17,1.17,1.14,1.17,5800.0,
03/10/2007,1.17,1.17,1.14,1.17,,
04/10/2007,1.17,1.17,1.14,1.17,,
05/10/2007,1.17,1.17,1.14,1.17,,
08/10/2007,1.17,1.17,1.14,1.17,,
09/10/2007,1.17,1.17,1.14,1.17,,
10/10/2007,1.17,1.17,1.14,1.17,,
11/10/2007,1.17,1.17,1.14,1.17,1900.0,
12/10/2007,1.17,1.17,1.14,1.17,900.0,
16/10/2007,1.17,1.17,1.14,1.17,,
17/10/2007,1.17,1.17,1.14,1.17,,
18/10/2007,1.17,1.17,1.14,1.17,5000.0,
19/10/2007,1.17,1.17,1.14,1.17,,
22/10/2007,1.17,1.17,1.14,1.17,,
23/10/2007,1.17,1.17,1.14,1.17,,
24/10/2007,1.17,1.17,1.14,1.17,,
25/10/2007,1.17,1.17,1.14,1.17,,
26/10/2007,1.17,1.17,1.14,1.17,,
29/10/2007,1.17,1.17,1.14,1.17,,
30/10/2007,1.17,1.17,1.14,1.17,300.0,
31/10/2007,1.17,1.17,1.14,1.17,500.0,
01/11/2007,1.17,1.17,1.14,1.17,46400.0,
02/11/2007,1.17,1.17,1.14,1.17,,
05/11/2007,1.17,1.17,1.14,1.17,83100.0,
06/11/2007,1.17,1.17,1.14,1.17,3000.0,
07/11/2007,1.17,1.17,1.14,1.17,4300.0,
08/11/2007,1.17,1.17,1.14,1.17,1300.0,
12/11/2007,1.17,1.17,1.14,1.17,,
13/11/2007,1.17,1.17,1.14,1.17,20500.0,
14/11/2007,1.17,1.17,1.14,1.17,1100.0,
15/11/2007,1.17,1.17,1.14,1.17,513300.0,
16/11/2007,1.17,1.17,1.14,1.17,101200.0,
19/11/2007,1.17,1.17,1.14,1.17,300.0,
20/11/2007,1.17,1.17,1.14,1.17,70900.0,
21/11/2007,1.17,1.17,1.14,1.17,101500.0,
22/11/2007,1.17,1.17,1.14,1.17,,
23/11/2007,1.17,1.17,1.14,1.17,,
26/11/2007,1.17,1.28,1.14,1.28,57500.0,
27/11/2007,1.28,1.28,1.14,1.28,,
28/11/2007,1.28,1.28,1.14,1.28,200.0,
29/11/2007,1.28,1.28,1.14,1.28,,
30/11/2007,1.17,1.28,1.03,1.28,13300.0,
03/12/2007,1.28,1.28,1.03,1.28,,
04/12/2007,1.28,1.28,1.03,1.28,,
05/12/2007,1.28,1.28,1.03,1.28,23800.0,
06/12/2007,1.28,1.28,1.03,1.28,,
10/12/2007,1.28,1.28,1.03,1.28,1000.0,
11/12/2007,1.28,1.28,1.03,1.28,,
12/12/2007,1.28,1.28,1.03,1.28,,
13/12/2007,1.28,1.28,1.03,1.28,,
14/12/2007,1.28,1.28,1.03,1.28,3800.0,
17/12/2007,1.28,1.28,1.03,1.28,,
18/12/2007,1.28,1.28,1.03,1.28,,
