Date,Open,High,Low,Close,Volume,Value
03/07/2007,1.96,1.96,1.8,1.96,400.0,
04/07/2007,1.96,1.96,1.8,1.96,1000.0,
05/07/2007,1.96,1.96,1.8,1.96,,
06/07/2007,1.96,1.96,1.8,1.96,,
09/07/2007,1.96,1.96,1.8,1.96,,
10/07/2007,1.96,1.96,1.8,1.96,400.0,
11/07/2007,1.96,1.96,1.8,1.96,,
12/07/2007,1.96,1.96,1.8,1.96,200.0,
13/07/2007,1.96,1.96,1.8,1.96,,
16/07/2007,1.96,1.96,1.8,1.96,,
17/07/2007,1.96,1.96,1.8,1.96,,
18/07/2007,1.96,1.96,1.8,1.96,3100.0,
19/07/2007,1.96,1.96,1.8,1.96,,
20/07/2007,1.96,1.96,1.8,1.96,,
23/07/2007,1.96,1.96,1.8,1.96,,
24/07/2007,1.96,1.97,1.8,1.97,22200.0,
25/07/2007,1.97,1.97,1.8,1.97,,
26/07/2007,1.97,1.97,1.8,1.97,,
27/07/2007,1.97,1.97,1.8,1.97,,
30/07/2007,1.97,1.97,1.8,1.97,900.0,
31/07/2007,1.97,1.97,1.8,1.97,2000.0,
01/08/2007,1.97,1.97,1.8,1.97,200.0,
02/08/2007,1.97,1.97,1.8,1.97,,
03/08/2007,1.97,1.97,1.8,1.97,100.0,
06/08/2007,1.97,1.97,1.8,1.97,500.0,
07/08/2007,1.97,1.97,1.8,1.97,200.0,
08/08/2007,1.97,1.97,1.8,1.97,,
09/08/2007,1.97,1.97,1.8,1.97,,
10/08/2007,1.97,2.05,1.8,2.05,5000.0,
13/08/2007,2.05,2.1,1.8,2.1,2400.0,
14/08/2007,2.1,2.11,1.8,2.11,1000.0,
15/08/2007,2.11,2.11,1.8,2.11,,
16/08/2007,2.11,2.11,1.8,2.11,,
17/08/2007,2.11,2.11,1.8,2.11,1000.0,
20/08/2007,2.11,2.11,1.8,2.11,,
21/08/2007,2.11,2.11,1.8,2.11,,
22/08/2007,2.11,2.11,1.8,2.11,1100.0,
24/08/2007,2.11,2.11,1.8,2.11,800.0,
27/08/2007,2.11,2.11,1.8,2.11,1100.0,
