Date,Open,High,Low,Close,Volume,Value
03/07/2007,0.68,0.68,0.61,0.68,400.0,
04/07/2007,0.68,0.68,0.61,0.68,,
05/07/2007,0.68,0.68,0.61,0.68,,
06/07/2007,0.68,0.68,0.61,0.68,800.0,
09/07/2007,0.68,0.68,0.61,0.68,5900.0,
10/07/2007,0.68,0.68,0.61,0.68,400.0,
11/07/2007,0.68,0.68,0.61,0.68,700.0,
12/07/2007,0.68,0.68,0.61,0.68,,
13/07/2007,0.68,0.68,0.61,0.68,500.0,
16/07/2007,0.68,0.68,0.61,0.68,100.0,
17/07/2007,0.68,0.68,0.61,0.68,1400.0,
18/07/2007,0.68,0.68,0.61,0.68,600.0,
19/07/2007,0.68,0.68,0.61,0.68,900.0,
20/07/2007,0.68,0.68,0.61,0.68,2600.0,
23/07/2007,0.68,0.68,0.61,0.68,100.0,
24/07/2007,0.68,0.69,0.61,0.69,54700.0,
25/07/2007,0.69,0.69,0.61,0.69,100.0,
26/07/2007,0.69,0.69,0.61,0.69,2600.0,
27/07/2007,0.69,0.69,0.61,0.69,1600.0,
30/07/2007,0.69,0.69,0.61,0.69,200.0,
31/07/2007,0.69,0.69,0.61,0.69,600.0,
01/08/2007,0.69,0.69,0.61,0.69,,
02/08/2007,0.69,0.69,0.61,0.69,,
03/08/2007,0.69,0.69,0.61,0.69,14800.0,
06/08/2007,0.69,0.69,0.61,0.69,,
07/08/2007,0.69,0.69,0.61,0.69,600.0,
08/08/2007,0.69,0.69,0.61,0.69,7100.0,
09/08/2007,0.69,0.69,0.61,0.69,11300.0,
10/08/2007,0.69,0.69,0.61,0.69,4600.0,
13/08/2007,0.69,0.69,0.61,0.69,5600.0,
14/08/2007,0.69,0.69,0.61,0.69,4200.0,
15/08/2007,0.69,0.7,0.61,0.7,17700.0,
16/08/2007,0.7,0.7,0.61,0.7,3400.0,
17/08/2007,0.7,0.75,0.61,0.75,1742800.0,
20/08/2007,0.75,0.75,0.61,0.75,11000.0,
21/08/2007,0.75,0.8,0.61,0.8,200200.0,
22/08/2007,0.8,0.8,0.61,0.8,3200.0,
24/08/2007,0.8,0.8,0.61,0.8,4400.0,
27/08/2007,0.8,0.84,0.61,0.84,35700.0,
28/08/2007,0.84,0.9,0.61,0.9,2004100.0,
29/08/2007,0.9,0.95,0.61,0.95,4073200.0,
30/08/2007,0.95,0.95,0.61,0.95,1100.0,
31/08/2007,0.95,0.95,0.61,0.95,7400.0,
03/09/2007,0.95,0.95,0.61,0.95,104200.0,
04/09/2007,0.95,0.95,0.61,0.95,200.0,
05/09/2007,0.95,0.95,0.61,0.95,8900.0,
06/09/2007,0.95,0.95,0.61,0.95,4600.0,
07/09/2007,0.95,0.95,0.61,0.95,14300.0,
10/09/2007,0.95,0.95,0.61,0.95,2800.0,
11/09/2007,0.95,0.95,0.61,0.95,7100.0,
12/09/2007,0.95,0.95,0.61,0.95,900.0,
13/09/2007,0.95,0.95,0.61,0.95,700.0,
14/09/2007,0.95,0.95,0.61,0.95,400.0,
17/09/2007,0.95,0.95,0.61,0.95,3300.0,
18/09/2007,0.95,0.95,0.61,0.95,,
19/09/2007,0.95,0.95,0.61,0.95,700.0,
20/09/2007,0.95,0.95,0.61,0.95,100.0,
21/09/2007,0.95,0.95,0.61,0.95,500.0,
24/09/2007,0.95,0.95,0.61,0.95,5700.0,
25/09/2007,0.95,0.95,0.61,0.95,4800.0,
26/09/2007,0.95,0.95,0.61,0.95,1000.0,
27/09/2007,0.95,0.95,0.61,0.95,100.0,
28/09/2007,0.95,0.95,0.61,0.95,1600.0,
01/10/2007,0.95,0.95,0.61,0.95,100.0,
02/10/2007,0.95,0.95,0.61,0.95,455100.0,
03/10/2007,0.95,0.95,0.61,0.95,30000.0,
04/10/2007,0.95,0.95,0.61,0.9,83600.0,
05/10/2007,0.9,0.95,0.61,0.9,97500.0,
08/10/2007,0.9,0.95,0.61,0.9,23500.0,
09/10/2007,0.9,0.95,0.61,0.9,16600.0,
10/10/2007,0.9,0.95,0.61,0.9,5700.0,
11/10/2007,0.9,0.95,0.61,0.9,1400.0,
12/10/2007,0.9,0.95,0.61,0.9,100.0,
16/10/2007,0.9,0.95,0.61,0.9,500.0,
17/10/2007,0.9,0.95,0.61,0.93,1000000.0,
18/10/2007,0.93,0.95,0.61,0.93,133700.0,
19/10/2007,0.93,0.96,0.61,0.96,2613500.0,
22/10/2007,0.96,0.96,0.61,0.96,328300.0,
23/10/2007,0.96,0.96,0.61,0.96,139300.0,
24/10/2007,0.96,0.96,0.61,0.96,500.0,
25/10/2007,0.96,0.96,0.61,0.96,7600.0,
26/10/2007,0.96,0.96,0.61,0.96,5500.0,
29/10/2007,0.96,0.96,0.61,0.96,,
30/10/2007,0.96,0.96,0.61,0.96,3000.0,
31/10/2007,0.96,0.96,0.61,0.96,51500.0,
01/11/2007,0.96,0.96,0.61,0.96,7900.0,
02/11/2007,0.96,0.96,0.61,0.96,31000.0,
05/11/2007,0.96,0.96,0.61,0.96,5600.0,
06/11/2007,0.96,0.96,0.61,0.96,95600.0,
07/11/2007,0.96,0.96,0.61,0.96,2800.0,
08/11/2007,0.96,0.96,0.61,0.96,19800.0,
12/11/2007,0.96,0.96,0.61,0.96,2600.0,
13/11/2007,0.96,0.96,0.61,0.96,26500.0,
14/11/2007,0.96,0.96,0.61,0.96,403500.0,
15/11/2007,0.96,0.96,0.61,0.96,24500.0,
16/11/2007,0.96,0.97,0.61,0.97,401100.0,
19/11/2007,0.97,0.97,0.61,0.97,1675700.0,
20/11/2007,0.97,0.97,0.61,0.97,7700.0,
21/11/2007,0.97,0.97,0.61,0.97,10300.0,
22/11/2007,0.97,0.97,0.61,0.97,25300.0,
23/11/2007,0.97,0.97,0.61,0.97,900.0,
26/11/2007,0.97,0.97,0.61,0.97,46900.0,
27/11/2007,0.97,0.97,0.61,0.97,7500.0,
28/11/2007,0.97,0.97,0.61,0.97,6100.0,
29/11/2007,0.97,0.97,0.61,0.97,10500.0,
30/11/2007,0.97,0.97,0.61,0.97,,
03/12/2007,0.97,0.97,0.61,0.97,4100.0,
04/12/2007,0.97,0.97,0.61,0.97,2000.0,
05/12/2007,0.97,0.97,0.61,0.97,25000.0,
