Date,Open,High,Low,Close,Volume,Value
03/07/2007,0.96,0.96,0.9,0.96,400.0,
04/07/2007,0.96,0.96,0.9,0.96,600.0,
05/07/2007,0.96,0.96,0.9,0.96,,
06/07/2007,0.96,0.96,0.9,0.96,600.0,
09/07/2007,0.96,0.96,0.9,0.96,,
10/07/2007,0.96,0.96,0.9,0.96,400.0,
11/07/2007,0.96,0.96,0.9,0.96,,
12/07/2007,0.96,0.96,0.9,0.96,200.0,
13/07/2007,0.96,0.96,0.9,0.96,4100.0,
16/07/2007,0.96,0.96,0.9,0.96,,
17/07/2007,0.96,0.96,0.9,0.96,,
18/07/2007,0.96,0.96,0.9,0.96,800.0,
19/07/2007,0.96,0.96,0.9,0.96,400.0,
20/07/2007,0.96,0.96,0.9,0.96,200.0,
23/07/2007,0.96,0.96,0.9,0.96,,
24/07/2007,0.96,0.96,0.9,0.96,,
25/07/2007,0.96,0.96,0.9,0.96,200.0,
26/07/2007,0.96,0.96,0.9,0.96,,
27/07/2007,0.96,0.96,0.9,0.96,800.0,
30/07/2007,0.96,0.96,0.9,0.96,,
31/07/2007,0.96,0.96,0.9,0.96,4100.0,
01/08/2007,0.96,0.96,0.9,0.96,2200.0,
02/08/2007,0.96,0.96,0.9,0.96,,
03/08/2007,0.96,0.96,0.9,0.96,9000.0,
06/08/2007,0.96,0.96,0.9,0.96,,
07/08/2007,0.96,0.96,0.9,0.96,,
08/08/2007,0.96,0.96,0.9,0.96,3400.0,
09/08/2007,0.96,0.97,0.9,0.97,1600.0,
10/08/2007,0.97,0.97,0.9,0.97,2100.0,
13/08/2007,0.97,0.97,0.9,0.97,,
14/08/2007,0.97,0.97,0.9,0.97,2000.0,
15/08/2007,0.97,0.97,0.9,0.97,100.0,
16/08/2007,0.97,0.97,0.9,0.97,600.0,
17/08/2007,0.97,0.97,0.9,0.97,,
20/08/2007,0.97,0.97,0.9,0.97,,
21/08/2007,0.97,0.97,0.9,0.97,,
22/08/2007,0.97,0.97,0.9,0.97,,
24/08/2007,0.97,0.97,0.9,0.97,,
27/08/2007,0.97,0.97,0.9,0.97,300.0,
