Date,Open,High,Low,Close,Volume,Value
15/12/2015,0.08,0.08,0.08,0.08,,
16/12/2015,0.08,0.08,0.08,0.08,2608400.0,
17/12/2015,0.08,0.08,0.08,0.08,38062400.0,
18/12/2015,0.08,0.09,0.08,0.09,3000.0,
21/12/2015,0.08,0.09,0.08,0.09,,
22/12/2015,0.08,0.09,0.08,0.09,,
23/12/2015,0.08,0.09,0.08,0.09,,
24/12/2015,0.08,0.09,0.08,0.09,,
29/12/2015,0.08,0.09,0.08,0.09,,
30/12/2015,0.08,0.09,0.08,0.09,,
31/12/2015,0.08,0.09,0.08,0.09,17500.0,
04/01/2016,0.08,0.09,0.09,0.09,,
05/01/2016,0.09,0.09,0.09,0.09,,
06/01/2016,0.09,0.09,0.09,0.09,,
07/01/2016,0.09,0.09,0.09,0.09,542100.0,
08/01/2016,0.09,0.09,0.09,0.09,17900.0,
11/01/2016,0.09,0.09,0.09,0.09,,
12/01/2016,0.09,0.09,0.09,0.09,37600.0,
13/01/2016,0.09,0.09,0.09,0.09,,
14/01/2016,0.09,0.09,0.09,0.09,21600.0,
15/01/2016,0.09,0.09,0.09,0.09,,
18/01/2016,0.09,0.09,0.09,0.09,,
19/01/2016,0.09,0.09,0.09,0.09,,
20/01/2016,0.09,0.09,0.09,0.09,38800.0,
21/01/2016,0.09,0.09,0.09,0.09,,
22/01/2016,0.09,0.09,0.09,0.09,534100.0,
25/01/2016,0.09,0.09,0.09,0.09,,
26/01/2016,0.09,0.09,0.09,0.09,,
27/01/2016,0.09,0.09,0.09,0.09,,
28/01/2016,0.09,0.09,0.09,0.09,,
29/01/2016,0.09,0.09,0.09,0.09,,
01/02/2016,0.09,0.09,0.09,0.09,,
02/02/2016,0.09,0.09,0.09,0.09,,
03/02/2016,0.09,0.09,0.09,0.09,,
04/02/2016,0.09,0.09,0.09,0.09,5700.0,
05/02/2016,0.09,0.09,0.09,0.09,,
08/02/2016,0.09,0.09,0.09,0.09,,
09/02/2016,0.09,0.09,0.09,0.09,,
10/02/2016,0.09,0.09,0.09,0.09,,
