Date,Open,High,Low,Close,Volume,Value
23/04/2014,3.1,3.1,3.1,3.1,400.0,
24/04/2014,3.1,3.1,3.1,3.5,5500.0,
25/04/2014,3.5,3.1,3.1,3.5,4300.0,
28/04/2014,3.5,3.1,3.1,3.5,,
29/04/2014,3.5,3.1,3.1,3.5,,
30/04/2014,3.5,3.1,3.1,3.5,,
02/05/2014,3.5,3.1,3.1,3.5,,
05/05/2014,3.5,3.1,3.1,3.5,,
06/05/2014,3.5,3.1,3.1,3.5,,
07/05/2014,3.5,3.1,3.1,3.5,,
08/05/2014,3.5,3.1,3.1,3.5,,
09/05/2014,3.5,3.1,3.1,3.5,,
12/05/2014,3.5,3.1,3.1,3.5,,
13/05/2014,3.5,3.1,3.1,3.5,,
14/05/2014,3.5,3.1,3.1,3.5,,
15/05/2014,3.5,3.1,3.1,3.5,,
16/05/2014,3.5,3.1,3.1,3.5,,
19/05/2014,3.5,3.1,3.1,3.5,,
20/05/2014,3.5,3.1,3.1,3.5,,
21/05/2014,3.5,3.1,3.1,3.5,,
22/05/2014,3.5,3.1,3.1,3.5,,
23/05/2014,3.5,3.1,3.1,3.5,,
27/05/2014,3.5,3.1,3.1,3.5,,
28/05/2014,3.5,3.1,3.1,3.5,,
29/05/2014,3.5,3.1,3.1,3.1,16000.0,
30/05/2014,3.1,3.1,3.1,3.1,,
02/06/2014,3.1,3.1,3.1,3.1,,
03/06/2014,3.1,3.1,3.1,3.1,,
04/06/2014,3.1,3.1,3.1,3.1,,
05/06/2014,3.1,3.1,3.1,3.1,,
06/06/2014,3.1,3.1,3.1,3.1,,
09/06/2014,3.1,3.1,3.1,3.1,,
10/06/2014,3.1,3.1,3.1,3.1,,
11/06/2014,3.1,3.1,3.1,3.1,,
12/06/2014,3.1,3.1,3.1,3.1,,
13/06/2014,3.1,3.1,3.1,3.1,,
16/06/2014,3.1,3.1,3.1,3.1,,
17/06/2014,3.1,3.1,3.1,3.1,,
18/06/2014,3.1,3.1,3.1,3.1,,
19/06/2014,3.1,3.1,3.1,3.1,,
20/06/2014,3.1,3.1,3.1,3.1,,
23/06/2014,3.1,3.1,3.1,3.1,,
24/06/2014,3.1,3.1,3.1,3.1,,
25/06/2014,3.1,3.1,3.1,3.1,,
26/06/2014,3.1,3.1,3.1,3.1,,
27/06/2014,3.1,3.1,3.1,3.1,,
30/06/2014,3.1,3.1,3.1,3.1,,
02/07/2014,3.1,3.1,3.1,3.1,,
03/07/2014,3.1,3.1,3.1,3.1,,
04/07/2014,3.1,3.1,3.1,3.1,,
07/07/2014,3.1,3.1,3.1,3.1,,
08/07/2014,3.1,3.1,3.1,3.1,,
09/07/2014,3.1,3.15,3.1,3.15,125600.0,
10/07/2014,3.15,3.3,3.1,3.3,29600.0,
11/07/2014,3.3,3.3,3.1,3.3,,
14/07/2014,3.3,3.3,3.1,3.3,,
15/07/2014,3.3,3.3,3.1,3.3,,
16/07/2014,3.3,3.3,3.1,3.3,,
17/07/2014,3.3,3.3,3.1,3.3,,
18/07/2014,3.3,3.3,3.1,3.3,,
21/07/2014,3.3,3.3,3.1,3.3,,
22/07/2014,3.3,3.3,3.1,3.3,,
23/07/2014,3.3,3.3,3.1,3.3,,
24/07/2014,3.3,3.3,3.1,3.3,,
25/07/2014,3.3,3.3,3.1,3.3,,
29/07/2014,3.3,3.3,3.1,3.3,,
30/07/2014,3.3,3.3,3.1,3.3,40700.0,
31/07/2014,3.3,3.59,3.1,3.59,18700.0,
01/08/2014,3.59,3.59,3.1,3.59,,
04/08/2014,3.59,3.59,3.1,3.59,,
05/08/2014,3.59,3.59,3.1,3.59,,
06/08/2014,3.59,3.59,3.1,3.59,,
07/08/2014,3.59,3.59,3.1,3.59,,
08/08/2014,3.59,3.59,3.1,3.59,,
11/08/2014,3.59,3.59,3.1,3.59,,
12/08/2014,3.59,3.59,3.1,3.59,,
13/08/2014,3.59,3.59,3.1,3.59,,
14/08/2014,3.59,3.59,3.1,3.59,,
15/08/2014,3.59,3.59,3.1,3.59,,
18/08/2014,3.59,3.59,3.1,3.59,,
19/08/2014,3.59,3.59,3.1,3.59,,
20/08/2014,3.59,3.59,3.1,3.59,,
21/08/2014,3.59,3.59,3.1,3.59,,
22/08/2014,3.59,3.59,3.1,3.59,,
25/08/2014,3.59,3.59,3.1,3.59,,
26/08/2014,3.59,3.59,3.1,3.59,,
27/08/2014,3.59,3.59,3.1,3.59,,
28/08/2014,3.59,3.59,3.1,3.59,,
29/08/2014,3.59,3.59,3.1,3.59,,
01/09/2014,3.59,3.59,3.1,3.59,,
02/09/2014,3.59,3.59,3.1,3.59,,
03/09/2014,3.59,3.59,3.1,3.59,,
04/09/2014,3.59,3.59,3.1,3.59,,
