Date,Open,High,Low,Close,Volume,Value
07/07/2015,0.11,0.11,0.11,0.11,10000.0,
08/07/2015,0.11,0.11,0.11,0.11,,
09/07/2015,0.11,0.11,0.11,0.11,,
10/07/2015,0.11,0.11,0.11,0.11,5800.0,
13/07/2015,0.11,0.11,0.11,0.11,,
14/07/2015,0.11,0.11,0.11,0.11,,
15/07/2015,0.11,0.11,0.11,0.11,,
16/07/2015,0.11,0.11,0.11,0.11,4000.0,
17/07/2015,0.11,0.11,0.11,0.11,,
21/07/2015,0.11,0.11,0.11,0.11,,
22/07/2015,0.11,0.11,0.11,0.11,,
23/07/2015,0.11,0.11,0.11,0.11,,
24/07/2015,0.11,0.11,0.11,0.11,,
27/07/2015,0.11,0.11,0.11,0.11,,
28/07/2015,0.11,0.11,0.11,0.11,,
29/07/2015,0.11,0.11,0.11,0.11,,
30/07/2015,0.11,0.11,0.11,0.11,,
31/07/2015,0.11,0.11,0.11,0.11,,
03/08/2015,0.11,0.11,0.11,0.11,3500.0,
04/08/2015,0.11,0.11,0.11,0.11,1000.0,
05/08/2015,0.11,0.11,0.11,0.11,,
06/08/2015,0.11,0.11,0.11,0.11,,
07/08/2015,0.11,0.11,0.11,0.11,,
10/08/2015,0.11,0.11,0.11,0.11,,
11/08/2015,0.11,0.11,0.11,0.11,,
12/08/2015,0.11,0.11,0.11,0.11,5500.0,
13/08/2015,0.11,0.11,0.11,0.11,,
14/08/2015,0.11,0.11,0.11,0.11,,
17/08/2015,0.11,0.11,0.11,0.11,,
18/08/2015,0.11,0.11,0.11,0.11,,
19/08/2015,0.11,0.11,0.11,0.11,,
20/08/2015,0.11,0.11,0.11,0.11,,
21/08/2015,0.11,0.11,0.11,0.11,,
24/08/2015,0.11,0.11,0.11,0.11,,
25/08/2015,0.11,0.11,0.11,0.11,,
26/08/2015,0.11,0.11,0.11,0.11,,
27/08/2015,0.11,0.11,0.11,0.11,,
28/08/2015,0.11,0.11,0.11,0.11,,
31/08/2015,0.11,0.11,0.11,0.11,,
01/09/2015,0.11,0.11,0.11,0.11,1000.0,
02/09/2015,0.11,0.11,0.11,0.11,,
03/09/2015,0.11,0.11,0.11,0.11,,
04/09/2015,0.11,0.11,0.11,0.11,,
07/09/2015,0.11,0.11,0.11,0.11,,
08/09/2015,0.11,0.11,0.11,0.11,,
09/09/2015,0.11,0.11,0.11,0.11,,
10/09/2015,0.11,0.11,0.11,0.11,,
11/09/2015,0.11,0.11,0.11,0.11,,
