Date,Open,High,Low,Close,Volume,Value
05/09/2018,0.75,0.75,0.75,0.75,5007600.0,
06/09/2018,0.75,0.75,0.75,0.75,,
07/09/2018,0.75,0.75,0.75,0.75,,
10/09/2018,0.75,0.75,0.75,0.75,720000.0,
11/09/2018,0.75,0.76,0.75,0.76,565900.0,
12/09/2018,0.76,0.76,0.75,0.76,3000.0,
13/09/2018,0.76,0.77,0.75,0.77,156800.0,
14/09/2018,0.77,0.78,0.75,0.78,266000.0,
17/09/2018,0.78,0.8,0.75,0.8,1311900.0,
18/09/2018,0.8,0.8,0.75,0.8,861900.0,
19/09/2018,0.82,0.8,0.75,0.8,154400.0,
20/09/2018,0.8,0.8,0.75,0.8,,
24/09/2018,0.8,0.8,0.75,0.8,65000.0,
25/09/2018,0.8,0.84,0.75,0.84,1600.0,
26/09/2018,0.84,0.85,0.75,0.85,5500.0,
27/09/2018,0.85,0.85,0.75,0.85,,
28/09/2018,0.85,0.88,0.75,0.88,4600.0,
01/10/2018,0.88,0.88,0.75,0.91,204200.0,
02/10/2018,0.91,0.92,0.75,0.92,115900.0,
03/10/2018,0.92,0.92,0.75,0.9,1643300.0,
04/10/2018,0.9,0.92,0.75,0.9,1137000.0,
05/10/2018,0.9,0.93,0.75,0.93,2000.0,
08/10/2018,0.93,0.93,0.75,0.93,5600.0,
09/10/2018,0.93,0.93,0.75,0.93,210600.0,
10/10/2018,0.93,0.93,0.75,0.92,5200.0,
11/10/2018,0.92,0.93,0.75,0.93,17000.0,
12/10/2018,0.93,0.93,0.75,0.91,2100.0,
15/10/2018,0.91,0.93,0.75,0.9,6900.0,
16/10/2018,0.9,0.93,0.75,0.89,274900.0,
17/10/2018,0.89,0.93,0.75,0.9,35200.0,
18/10/2018,0.9,0.93,0.75,0.9,66300.0,
19/10/2018,0.9,0.93,0.75,0.9,500.0,
22/10/2018,0.9,0.93,0.75,0.9,7000.0,
23/10/2018,0.9,0.93,0.75,0.9,57000.0,
24/10/2018,0.9,0.93,0.75,0.9,5600.0,
24/10/2018,0.9,0.93,0.75,0.91,5800.0,
26/10/2018,0.91,0.93,0.75,0.91,1100.0,
29/10/2018,0.91,0.93,0.75,0.91,,
30/10/2018,0.91,0.93,0.75,0.9,43800.0,
31/10/2018,0.9,0.93,0.75,0.9,5700.0,
01/11/2018,0.9,0.93,0.75,0.9,46300.0,
02/11/2018,0.9,0.93,0.75,0.9,2100.0,
05/11/2018,0.9,0.93,0.75,0.9,1800.0,
06/11/2018,0.9,0.93,0.75,0.88,1198800.0,
07/11/2018,0.88,0.93,0.75,0.88,11800.0,
08/11/2018,0.88,0.93,0.75,0.88,1022300.0,
09/11/2018,0.88,0.93,0.75,0.88,1400.0,
12/11/2018,0.88,0.93,0.75,0.85,51700.0,
13/11/2018,0.85,0.93,0.75,0.87,3700.0,
14/11/2018,0.87,0.93,0.75,0.88,1900.0,
15/11/2018,0.88,0.93,0.75,0.88,4400.0,
16/11/2018,0.88,0.93,0.75,0.84,130800.0,
19/11/2018,0.84,0.93,0.75,0.86,57200.0,49207.0
20/11/2018,0.86,0.93,0.75,0.82,3000.0,2460.0
21/11/2018,0.82,0.93,0.75,0.82,,
22/11/2018,0.82,0.93,0.75,0.8,2140600.0,1712660.0
23/11/2018,0.8,0.93,0.75,0.8,2600.0,2080.0
26/11/2018,0.8,0.93,0.75,0.82,2400.0,1968.0
27/11/2018,0.82,0.93,0.75,0.82,4200.0,3444.0
28/11/2018,0.82,0.93,0.75,0.81,3400.0,2741.0
29/11/2018,0.81,0.93,0.75,0.8,84200.0,67352.0
30/11/2018,0.8,0.93,0.75,0.8,1300.0,1040.0
03/12/2018,0.8,0.93,0.75,0.81,36900.0,29720.0
04/12/2018,0.81,0.93,0.75,0.78,55000.0,43070.0
05/12/2018,0.78,0.93,0.75,0.8,200.0,160.0
06/12/2018,0.8,0.93,0.75,0.78,2000.0,1560.0
10/12/2018,0.78,0.93,0.75,0.79,1800.0,1422.0
11/12/2018,0.79,0.93,0.75,0.79,1900.0,1492.0
12/12/2018,0.79,0.93,0.75,0.79,173300.0,136907.0
13/12/2018,0.79,0.93,0.75,0.78,17400.0,13572.0
14/12/2018,0.78,0.93,0.75,0.78,21500.0,16775.0
17/12/2018,0.78,0.93,0.75,0.78,1685400.0,1314712.0
18/12/2018,0.78,0.93,0.75,0.78,4700.0,3666.0
