Date,Open,High,Low,Close,Volume,Value
03/07/2007,0.26,0.26,0.26,0.26,,
04/07/2007,0.26,0.26,0.26,0.26,,
05/07/2007,0.26,0.26,0.26,0.26,,
06/07/2007,0.26,0.26,0.26,0.26,,
09/07/2007,0.26,0.26,0.26,0.26,,
10/07/2007,0.26,0.26,0.26,0.26,,
11/07/2007,0.26,0.26,0.26,0.26,,
12/07/2007,0.26,0.26,0.26,0.26,,
13/07/2007,0.26,0.26,0.26,0.26,,
16/07/2007,0.26,0.26,0.26,0.26,,
17/07/2007,0.26,0.26,0.26,0.26,,
18/07/2007,0.26,0.26,0.26,0.26,,
19/07/2007,0.26,0.26,0.26,0.26,,
20/07/2007,0.26,0.26,0.26,0.26,,
23/07/2007,0.26,0.26,0.26,0.26,,
24/07/2007,0.26,0.26,0.26,0.26,,
25/07/2007,0.26,0.26,0.26,0.26,,
26/07/2007,0.26,0.26,0.26,0.26,,
27/07/2007,0.26,0.26,0.26,0.26,,
30/07/2007,0.26,0.26,0.26,0.26,,
31/07/2007,0.26,0.26,0.24,0.24,354100.0,
01/08/2007,0.24,0.26,0.24,0.24,,
02/08/2007,0.24,0.26,0.24,0.24,,
03/08/2007,0.24,0.26,0.24,0.24,,
06/08/2007,0.24,0.26,0.24,0.24,,
07/08/2007,0.24,0.26,0.24,0.24,,
08/08/2007,0.24,0.26,0.24,0.24,,
09/08/2007,0.24,0.26,0.24,0.24,,
10/08/2007,0.24,0.26,0.24,0.24,,
13/08/2007,0.24,0.26,0.24,0.24,,
14/08/2007,0.24,0.26,0.24,0.24,,
15/08/2007,0.24,0.26,0.24,0.24,,
16/08/2007,0.24,0.26,0.24,0.24,,
17/08/2007,0.24,0.26,0.24,0.24,,
20/08/2007,0.24,0.26,0.24,0.24,,
21/08/2007,0.24,0.26,0.24,0.24,,
22/08/2007,0.24,0.26,0.24,0.24,,
24/08/2007,0.24,0.26,0.24,0.24,,
27/08/2007,0.24,0.26,0.24,0.24,,
28/08/2007,0.24,0.26,0.24,0.24,,
29/08/2007,0.24,0.26,0.24,0.24,,
30/08/2007,0.24,0.26,0.24,0.24,,
31/08/2007,0.24,0.26,0.24,0.24,,
03/09/2007,0.24,0.26,0.24,0.24,,
04/09/2007,0.24,0.26,0.24,0.24,,
05/09/2007,0.24,0.26,0.24,0.24,6300.0,
06/09/2007,0.24,0.26,0.24,0.24,,
07/09/2007,0.24,0.26,0.24,0.24,,
10/09/2007,0.24,0.26,0.24,0.24,,
11/09/2007,0.24,0.26,0.24,0.24,,
12/09/2007,0.24,0.26,0.24,0.24,,
13/09/2007,0.24,0.26,0.24,0.24,,
14/09/2007,0.24,0.26,0.24,0.24,,
17/09/2007,0.24,0.26,0.24,0.24,,
18/09/2007,0.24,0.26,0.24,0.24,,
19/09/2007,0.24,0.26,0.24,0.24,,
20/09/2007,0.24,0.26,0.24,0.24,,
21/09/2007,0.24,0.26,0.24,0.24,,
24/09/2007,0.24,0.26,0.24,0.24,,
25/09/2007,0.24,0.26,0.24,0.24,,
26/09/2007,0.24,0.26,0.24,0.24,,
27/09/2007,0.24,0.26,0.24,0.24,,
28/09/2007,0.24,0.26,0.24,0.24,,
01/10/2007,0.24,0.26,0.24,0.24,,
02/10/2007,0.24,0.26,0.24,0.24,,
03/10/2007,0.24,0.26,0.24,0.24,,
04/10/2007,0.24,0.26,0.24,0.24,,
05/10/2007,0.24,0.26,0.24,0.24,,
08/10/2007,0.24,0.26,0.24,0.24,,
09/10/2007,0.24,0.26,0.24,0.24,,
10/10/2007,0.24,0.26,0.24,0.24,,
11/10/2007,0.24,0.26,0.24,0.24,,
12/10/2007,0.24,0.26,0.24,0.24,,
16/10/2007,0.24,0.26,0.24,0.24,,
17/10/2007,0.24,0.26,0.24,0.24,,
18/10/2007,0.24,0.26,0.24,0.24,,
19/10/2007,0.24,0.26,0.24,0.24,100.0,
22/10/2007,0.24,0.26,0.24,0.24,,
23/10/2007,0.24,0.26,0.24,0.24,,
24/10/2007,0.24,0.26,0.24,0.24,,
25/10/2007,0.24,0.26,0.24,0.24,,
26/10/2007,0.24,0.26,0.24,0.24,,
29/10/2007,0.24,0.26,0.24,0.24,,
30/10/2007,0.24,0.26,0.24,0.24,,
31/10/2007,0.24,0.26,0.24,0.24,,
01/11/2007,0.24,0.26,0.24,0.24,,
02/11/2007,0.24,0.26,0.24,0.24,,
05/11/2007,0.24,0.26,0.24,0.24,,
06/11/2007,0.24,0.26,0.24,0.24,,
07/11/2007,0.24,0.26,0.24,0.24,,
08/11/2007,0.24,0.26,0.24,0.24,,
12/11/2007,0.24,0.26,0.24,0.24,,
13/11/2007,0.24,0.26,0.24,0.24,100.0,
14/11/2007,0.24,0.26,0.24,0.24,,
15/11/2007,0.24,0.26,0.24,0.24,,
16/11/2007,0.24,0.26,0.24,0.24,,
19/11/2007,0.24,0.26,0.24,0.24,,
20/11/2007,0.24,0.26,0.24,0.24,,
21/11/2007,0.24,0.26,0.24,0.24,,
22/11/2007,0.24,0.26,0.24,0.24,,
23/11/2007,0.24,0.26,0.24,0.24,,
26/11/2007,0.24,0.26,0.24,0.24,,
27/11/2007,0.24,0.26,0.24,0.24,,
28/11/2007,0.24,0.26,0.24,0.24,,
29/11/2007,0.24,0.26,0.24,0.24,200.0,
30/11/2007,0.24,0.26,0.24,0.24,,
03/12/2007,0.24,0.26,0.24,0.24,,
04/12/2007,0.24,0.26,0.24,0.24,,
05/12/2007,0.24,0.26,0.24,0.24,,
06/12/2007,0.24,0.26,0.24,0.24,,
10/12/2007,0.24,0.26,0.24,0.24,,
11/12/2007,0.24,0.26,0.24,0.24,,
12/12/2007,0.24,0.26,0.24,0.24,,
13/12/2007,0.24,0.26,0.24,0.24,,
14/12/2007,0.24,0.26,0.24,0.24,900.0,
17/12/2007,0.24,0.26,0.24,0.24,,
18/12/2007,0.24,0.26,0.24,0.24,,
20/12/2007,0.24,0.26,0.24,0.24,,
21/12/2007,0.24,0.26,0.24,0.24,,
24/12/2007,0.24,0.26,0.24,0.24,,
24/12/2007,0.24,0.26,0.24,0.24,,
27/12/2007,0.24,0.26,0.24,0.24,,
28/12/2007,0.24,0.26,0.24,0.24,,
31/12/2007,0.24,0.26,0.24,0.24,,
02/01/2008,0.24,0.26,0.24,0.24,,
03/01/2008,0.24,0.24,0.24,0.24,,
04/01/2008,0.24,0.24,0.24,0.24,,
07/01/2008,0.24,0.24,0.24,0.24,,
08/01/2008,0.24,0.24,0.24,0.24,200.0,
09/01/2008,0.24,0.24,0.24,0.24,,
10/01/2008,0.24,0.24,0.24,0.24,,
11/01/2008,0.24,0.24,0.24,0.24,,
14/01/2008,0.24,0.24,0.24,0.24,,
15/01/2008,0.24,0.24,0.24,0.24,,
16/01/2008,0.24,0.24,0.24,0.24,,
17/01/2008,0.24,0.24,0.24,0.24,,
18/01/2008,0.24,0.24,0.24,0.24,,
21/01/2008,0.24,0.24,0.24,0.24,,
22/01/2008,0.24,0.24,0.24,0.24,,
23/01/2008,0.24,0.24,0.24,0.24,,
24/01/2008,0.24,0.24,0.24,0.24,,
25/01/2008,0.24,0.24,0.24,0.24,,
28/01/2008,0.24,0.24,0.24,0.24,,
29/01/2008,0.24,0.24,0.24,0.24,,
30/01/2008,0.24,0.24,0.24,0.24,,
31/01/2008,0.24,0.24,0.24,0.24,,
01/02/2008,0.24,0.24,0.24,0.24,,
04/02/2008,0.24,0.24,0.24,0.24,,
05/02/2008,0.24,0.24,0.24,0.24,,
06/02/2008,0.24,0.24,0.24,0.24,,
07/02/2008,0.24,0.24,0.24,0.24,,
08/02/2008,0.24,0.24,0.24,0.24,,
11/02/2008,0.24,0.24,0.24,0.24,,
12/02/2008,0.24,0.24,0.24,0.24,,
13/02/2008,0.24,0.24,0.24,0.24,,
14/02/2008,0.24,0.24,0.24,0.24,,
15/02/2008,0.24,0.24,0.24,0.24,,
18/02/2008,0.24,0.24,0.24,0.24,,
19/02/2008,0.24,0.24,0.24,0.24,,
20/02/2008,0.24,0.24,0.24,0.24,,
21/02/2008,0.24,0.24,0.24,0.24,,
22/02/2008,0.24,0.24,0.24,0.24,,
25/02/2008,0.24,0.24,0.24,0.24,,
26/02/2008,0.24,0.24,0.24,0.24,,
27/02/2008,0.24,0.24,0.24,0.24,,
28/02/2008,0.24,0.24,0.24,0.24,,
29/02/2008,0.24,0.24,0.24,0.24,1500000.0,
03/03/2008,0.24,0.24,0.24,0.24,,
04/03/2008,0.24,0.24,0.24,0.24,,
05/03/2008,0.24,0.24,0.24,0.24,,
07/03/2008,0.24,0.24,0.24,0.24,,
10/03/2008,0.24,0.24,0.24,0.24,,
11/03/2008,0.24,0.24,0.24,0.24,,
12/03/2008,0.24,0.24,0.24,0.24,,
13/03/2008,0.24,0.24,0.24,0.24,,
14/03/2008,0.24,0.24,0.24,0.24,,
17/03/2008,0.24,0.24,0.24,0.24,,
18/03/2008,0.24,0.24,0.24,0.24,,
19/03/2008,0.24,0.24,0.24,0.24,,
20/03/2008,0.24,0.24,0.24,0.24,,
25/03/2008,0.24,0.24,0.24,0.24,,
26/03/2008,0.24,0.24,0.24,0.24,,
27/03/2008,0.24,0.24,0.24,0.24,,
28/03/2008,0.24,0.24,0.24,0.24,,
31/03/2008,0.24,0.24,0.24,0.24,,
01/04/2008,0.24,0.24,0.24,0.24,,
02/04/2008,0.24,0.24,0.24,0.24,,
03/04/2008,0.24,0.24,0.24,0.24,,
04/04/2008,0.24,0.24,0.24,0.24,,
07/04/2008,0.24,0.24,0.24,0.24,,
08/04/2008,0.24,0.24,0.24,0.24,25000.0,
09/04/2008,0.24,0.24,0.24,0.24,,
10/04/2008,0.24,0.24,0.24,0.24,,
11/04/2008,0.24,0.24,0.24,0.24,,
14/04/2008,0.24,0.24,0.24,0.24,,
16/04/2008,0.24,0.24,0.24,0.24,,
17/04/2008,0.24,0.24,0.24,0.24,,
18/04/2008,0.24,0.24,0.24,0.24,,
21/04/2008,0.24,0.24,0.24,0.24,,
22/04/2008,0.24,0.24,0.24,0.24,,
23/04/2008,0.24,0.24,0.24,0.24,,
24/04/2008,0.24,0.24,0.24,0.24,,
