Date,Open,High,Low,Close,Volume,Value
25/04/2018,1.28,1.39,1.2,1.28,,
26/04/2018,1.28,1.39,1.2,1.28,,
27/04/2018,1.28,1.39,1.2,1.28,100.0,
30/04/2018,1.28,1.39,1.2,1.28,,
02/05/2018,1.28,1.39,1.2,1.28,63800.0,
03/05/2018,1.28,1.39,1.2,1.28,,
04/05/2018,1.28,1.39,1.2,1.28,1000.0,
07/05/2018,1.28,1.39,1.2,1.28,2000.0,
08/05/2018,1.28,1.39,1.2,1.28,,
09/05/2018,1.28,1.39,1.2,1.28,37600.0,
10/05/2018,1.28,1.39,1.2,1.28,36200.0,
11/05/2018,1.28,1.39,1.2,1.28,,
14/05/2018,1.28,1.39,1.2,1.28,200.0,
15/05/2018,1.28,1.39,1.2,1.28,,
16/05/2018,1.28,1.39,1.2,1.28,,
17/05/2018,1.28,1.39,1.2,1.28,,
18/05/2018,1.28,1.39,1.2,1.28,800.0,
21/05/2018,1.28,1.39,1.2,1.28,200.0,
22/05/2018,1.28,1.39,1.2,1.3,7500.0,
23/05/2018,1.3,1.39,1.2,1.3,,
24/05/2018,1.3,1.39,1.2,1.3,19000.0,
28/05/2018,1.3,1.39,1.2,1.3,100.0,
29/05/2018,1.3,1.39,1.2,1.3,,
30/05/2018,1.3,1.39,1.2,1.3,14600.0,
31/05/2018,1.3,1.39,1.2,1.3,,
01/06/2018,1.3,1.39,1.2,1.3,1100.0,
04/06/2018,1.3,1.39,1.2,1.3,,
05/06/2018,1.3,1.39,1.2,1.3,,
06/06/2018,1.3,1.39,1.2,1.31,1600.0,
07/06/2018,1.31,1.39,1.2,1.31,,
08/06/2018,1.31,1.39,1.2,1.31,2000.0,
11/06/2018,1.31,1.39,1.2,1.32,300.0,
12/06/2018,1.32,1.39,1.2,1.32,,
13/06/2018,1.32,1.39,1.2,1.32,,
14/06/2018,1.32,1.39,1.2,1.32,,
18/06/2018,1.32,1.39,1.2,1.32,,
19/06/2018,1.32,1.39,1.2,1.32,,
20/06/2018,1.32,1.39,1.2,1.32,,
21/06/2018,1.32,1.39,1.2,1.32,2800.0,
22/06/2018,1.32,1.39,1.2,1.32,,
25/06/2018,1.32,1.39,1.2,1.32,,
26/06/2018,1.32,1.39,1.2,1.32,,
27/06/2018,1.32,1.39,1.2,1.32,,
28/06/2018,1.32,1.39,1.2,1.32,,
29/06/2018,1.32,1.39,1.2,1.32,,
03/07/2018,1.32,1.39,1.2,1.32,11000.0,
04/07/2018,1.32,1.39,1.2,1.36,3300.0,
05/07/2018,1.36,1.39,1.2,1.36,,
06/07/2018,1.36,1.39,1.2,1.36,,
09/07/2018,1.36,1.46,1.2,1.46,2200.0,
10/07/2018,1.46,1.46,1.2,1.46,8800.0,
11/07/2018,1.46,1.5,1.2,1.5,100.0,
12/07/2018,1.5,1.5,1.2,1.5,,
13/07/2018,1.5,1.5,1.2,1.5,,
16/07/2018,1.5,1.5,1.2,1.5,,
17/07/2018,1.5,1.5,1.2,1.5,100.0,
18/07/2018,1.5,1.5,1.2,1.5,,
19/07/2018,1.5,1.5,1.2,1.5,,
20/07/2018,1.5,1.5,1.2,1.5,,
23/07/2018,1.5,1.5,1.2,1.5,,
24/07/2018,1.5,1.5,1.2,1.5,,
25/07/2018,1.5,1.5,1.2,1.48,500.0,
26/07/2018,1.48,1.5,1.2,1.48,,
27/07/2018,1.48,1.5,1.2,1.48,,
30/07/2018,1.48,1.5,1.2,1.48,,
31/07/2018,1.48,1.5,1.2,1.48,,
