Date,Open,High,Low,Close,Volume,Value
12/05/2015,0.73,0.73,0.73,0.73,1100.0,
14/05/2015,0.73,0.73,0.73,0.73,,
15/05/2015,0.73,0.73,0.73,0.73,,
18/05/2015,0.73,0.73,0.73,0.73,,
19/05/2015,0.73,0.73,0.73,0.73,,
20/05/2015,0.73,0.73,0.73,0.73,,
21/05/2015,0.73,0.73,0.73,0.73,,
22/05/2015,0.73,0.73,0.73,0.73,,
26/05/2015,0.73,0.73,0.73,0.73,,
27/05/2015,0.73,0.73,0.73,0.73,,
28/05/2015,0.73,0.73,0.73,0.73,,
29/05/2015,0.73,0.73,0.73,0.73,,
01/06/2015,0.73,0.73,0.73,0.73,,
02/06/2015,0.73,0.73,0.73,0.73,,
03/06/2015,0.73,0.73,0.73,0.73,,
04/06/2015,0.73,0.73,0.73,0.73,,
05/06/2015,0.73,0.73,0.73,0.73,,
08/06/2015,0.73,0.73,0.73,0.73,,
09/06/2015,0.73,0.73,0.73,0.73,,
11/06/2015,0.73,0.73,0.73,0.73,,
12/06/2015,0.73,0.73,0.73,0.73,,
15/06/2015,0.73,0.73,0.73,0.73,,
16/06/2015,0.73,0.73,0.73,0.73,,
17/06/2015,0.73,0.73,0.73,0.73,,
18/06/2015,0.73,0.73,0.73,0.73,,
19/06/2015,0.73,0.73,0.73,0.73,,
22/06/2015,0.73,0.73,0.73,0.73,,
23/06/2015,0.73,0.73,0.73,0.73,,
24/06/2015,0.73,0.73,0.73,0.73,,
25/06/2015,0.73,0.73,0.73,0.73,,
26/06/2015,0.73,0.73,0.73,0.73,,
29/06/2015,0.73,0.73,0.73,0.73,,
30/06/2015,0.73,0.73,0.73,0.73,,
02/07/2015,0.73,0.73,0.73,0.73,,
03/07/2015,0.73,0.73,0.73,0.73,,
06/07/2015,0.73,0.73,0.73,0.73,,
07/07/2015,0.73,0.73,0.73,0.73,1500.0,
08/07/2015,0.73,0.73,0.73,0.73,,
09/07/2015,0.73,0.73,0.73,0.73,,
10/07/2015,0.73,0.73,0.73,0.73,,
13/07/2015,0.73,0.73,0.73,0.73,,
14/07/2015,0.73,0.73,0.73,0.73,,
15/07/2015,0.73,0.73,0.73,0.73,,
16/07/2015,0.73,0.73,0.73,0.73,400.0,
17/07/2015,0.73,0.73,0.73,0.73,,
21/07/2015,0.73,0.73,0.73,0.73,,
22/07/2015,0.73,0.73,0.73,0.73,1300.0,
23/07/2015,0.73,0.73,0.73,0.73,,
24/07/2015,0.73,0.73,0.73,0.73,,
27/07/2015,0.73,0.73,0.73,0.73,,
28/07/2015,0.73,0.73,0.73,0.73,,
29/07/2015,0.73,0.73,0.73,0.73,,
30/07/2015,0.73,0.73,0.73,0.73,,
31/07/2015,0.73,0.73,0.73,0.73,,
03/08/2015,0.73,0.73,0.73,0.73,,
04/08/2015,0.73,0.73,0.73,0.73,,
05/08/2015,0.73,0.73,0.73,0.73,,
06/08/2015,0.73,0.73,0.73,0.73,,
07/08/2015,0.73,0.73,0.73,0.73,,
10/08/2015,0.73,0.73,0.73,0.73,,
11/08/2015,0.73,0.73,0.73,0.73,,
