Date,Open,High,Low,Close,Volume,Value
03/07/2007,18.06,18.06,15.8,18.06,,
04/07/2007,18.06,18.06,15.8,18.06,,
05/07/2007,18.06,18.06,15.8,18.06,,
06/07/2007,18.06,18.06,15.8,18.06,,
09/07/2007,18.06,18.06,15.8,18.06,,
10/07/2007,18.06,18.06,15.8,18.06,400.0,
11/07/2007,18.06,18.06,15.8,18.06,,
12/07/2007,18.06,18.06,15.8,18.06,,
13/07/2007,18.06,18.06,15.8,18.06,200.0,
16/07/2007,18.06,18.06,15.8,18.06,100.0,
17/07/2007,18.06,18.06,15.8,18.06,,
18/07/2007,18.06,18.06,15.8,18.06,,
19/07/2007,18.06,18.06,15.8,18.06,200.0,
20/07/2007,18.06,18.06,15.8,18.06,,
23/07/2007,18.06,18.06,15.8,18.06,100.0,
24/07/2007,18.06,18.07,15.8,18.07,700.0,
25/07/2007,18.07,18.07,15.8,18.07,,
26/07/2007,18.07,18.07,15.8,18.07,,
27/07/2007,18.07,18.08,15.8,18.08,100.0,
30/07/2007,18.08,18.08,15.8,18.08,,
31/07/2007,18.08,18.08,15.8,18.08,,
01/08/2007,18.08,18.09,15.8,18.09,500.0,
02/08/2007,18.09,18.09,15.8,18.09,100.0,
03/08/2007,18.09,18.09,15.8,18.09,800.0,
06/08/2007,18.09,18.09,15.8,18.09,,
07/08/2007,18.09,18.09,15.8,18.09,100.0,
08/08/2007,18.09,18.09,15.8,18.09,,
09/08/2007,18.09,18.09,15.8,18.09,,
10/08/2007,18.09,18.09,15.8,18.09,,
13/08/2007,18.09,19.0,15.8,19.0,26600.0,
14/08/2007,19.0,19.0,15.8,19.0,,
15/08/2007,19.0,19.0,15.8,19.0,,
16/08/2007,19.0,19.0,15.8,19.0,100.0,
17/08/2007,19.0,19.0,15.8,19.0,,
20/08/2007,19.0,20.0,15.8,20.0,23800.0,
21/08/2007,20.0,20.0,15.8,20.0,,
22/08/2007,20.0,20.0,15.8,20.0,400.0,
24/08/2007,20.0,20.0,15.8,20.0,,
27/08/2007,20.0,20.0,15.8,20.0,,
28/08/2007,20.0,20.0,15.8,20.0,100.0,
29/08/2007,20.0,20.0,15.8,20.0,,
30/08/2007,20.0,20.0,15.8,20.0,,
31/08/2007,20.0,20.0,15.8,20.0,100.0,
03/09/2007,20.0,20.0,15.8,20.0,,
04/09/2007,20.0,20.0,15.8,20.0,,
05/09/2007,20.0,20.05,15.8,20.05,2200.0,
06/09/2007,20.05,20.05,15.8,20.05,,
07/09/2007,20.05,20.05,15.8,20.05,,
10/09/2007,20.05,20.05,15.8,20.05,300.0,
11/09/2007,20.05,20.05,15.8,20.05,,
12/09/2007,20.05,20.05,15.8,20.05,,
13/09/2007,20.05,20.05,15.8,20.05,,
14/09/2007,20.05,20.05,15.8,20.05,,
17/09/2007,20.05,21.0,15.8,21.0,500.0,
18/09/2007,21.0,21.0,15.8,21.0,900.0,
19/09/2007,21.0,21.0,15.8,21.0,,
20/09/2007,21.0,21.0,15.8,21.0,,
21/09/2007,21.0,21.0,15.8,21.0,100.0,
24/09/2007,21.0,21.0,15.8,21.0,,
25/09/2007,21.0,21.0,15.8,21.0,,
26/09/2007,21.0,21.0,15.8,21.0,,
27/09/2007,21.0,21.0,15.8,21.0,2700.0,
28/09/2007,21.0,21.0,15.8,21.0,,
01/10/2007,21.0,21.5,15.8,21.5,1500.0,
02/10/2007,21.5,22.5,15.8,22.5,5500.0,
03/10/2007,22.5,22.5,15.8,22.5,,
04/10/2007,22.5,22.5,15.8,22.5,,
05/10/2007,22.5,22.5,15.8,22.5,400.0,
08/10/2007,22.5,22.5,15.8,22.5,,
09/10/2007,22.5,22.5,15.8,22.5,,
10/10/2007,22.5,22.5,15.8,22.5,,
11/10/2007,22.5,22.5,15.8,22.5,,
12/10/2007,22.5,22.5,15.8,22.5,100.0,
16/10/2007,22.5,22.5,15.8,22.5,,
17/10/2007,22.5,22.5,15.8,22.5,,
18/10/2007,22.5,23.0,15.8,23.0,2800.0,
19/10/2007,23.0,23.5,15.8,23.5,2400.0,
22/10/2007,23.5,24.0,15.8,24.0,16800.0,
23/10/2007,24.0,24.0,15.8,24.0,9000.0,
24/10/2007,24.0,24.0,15.8,24.0,,
25/10/2007,24.0,24.0,15.8,24.0,,
26/10/2007,24.0,24.1,15.8,24.1,200.0,
29/10/2007,24.1,24.1,15.8,24.1,,
30/10/2007,24.1,24.1,15.8,24.1,,
31/10/2007,24.1,24.1,15.8,24.1,100.0,
01/11/2007,24.1,24.1,15.8,24.1,,
02/11/2007,24.1,24.1,15.8,24.1,1300.0,
05/11/2007,24.1,24.1,15.8,24.1,200.0,
06/11/2007,24.1,24.1,15.8,24.1,,
07/11/2007,24.1,24.11,15.8,24.11,500.0,
08/11/2007,24.11,24.11,15.8,24.11,,
