Date,Open,High,Low,Close,Volume,Value
25/01/2008,0.33,0.33,0.33,0.33,20000.0,
28/01/2008,0.33,0.33,0.33,0.33,53500.0,
29/01/2008,0.33,0.33,0.33,0.33,,
30/01/2008,0.33,0.33,0.33,0.33,24200.0,
31/01/2008,0.33,0.33,0.33,0.33,,
01/02/2008,0.33,0.33,0.33,0.33,,
04/02/2008,0.33,0.34,0.33,0.34,122000.0,
05/02/2008,0.34,0.35,0.33,0.35,17000.0,
06/02/2008,0.35,0.36,0.33,0.36,10000.0,
07/02/2008,0.36,0.36,0.33,0.36,,
08/02/2008,0.36,0.36,0.33,0.36,3000.0,
11/02/2008,0.36,0.41,0.33,0.41,707000.0,
12/02/2008,0.41,0.43,0.33,0.43,142600.0,
13/02/2008,0.43,0.44,0.33,0.44,211500.0,
14/02/2008,0.44,0.44,0.33,0.44,101100.0,
15/02/2008,0.44,0.44,0.33,0.44,10800.0,
18/02/2008,0.44,0.44,0.33,0.44,29400.0,
19/02/2008,0.44,0.44,0.33,0.44,7900.0,
20/02/2008,0.44,0.44,0.33,0.44,4700.0,
21/02/2008,0.44,0.44,0.33,0.42,39900.0,
22/02/2008,0.42,0.44,0.33,0.42,10214800.0,
25/02/2008,0.42,0.44,0.33,0.42,1600.0,
26/02/2008,0.42,0.44,0.33,0.42,4200.0,
27/02/2008,0.42,0.44,0.33,0.42,5400.0,
28/02/2008,0.42,0.44,0.33,0.42,6400.0,
29/02/2008,0.42,0.44,0.33,0.42,5700.0,
03/03/2008,0.42,0.44,0.33,0.42,2800.0,
04/03/2008,0.42,0.44,0.33,0.42,38000.0,
05/03/2008,0.42,0.44,0.33,0.4,500100.0,
07/03/2008,0.4,0.44,0.33,0.4,1400.0,
10/03/2008,0.4,0.44,0.33,0.4,924900.0,
11/03/2008,0.4,0.44,0.33,0.4,3400.0,
12/03/2008,0.4,0.44,0.33,0.4,2500.0,
13/03/2008,0.4,0.44,0.33,0.4,100.0,
14/03/2008,0.4,0.44,0.33,0.4,2300.0,
17/03/2008,0.4,0.44,0.33,0.4,,
18/03/2008,0.4,0.44,0.33,0.4,400.0,
19/03/2008,0.4,0.44,0.33,0.4,356000.0,
20/03/2008,0.4,0.44,0.33,0.39,9900.0,
25/03/2008,0.4,0.44,0.33,0.38,26200.0,
26/03/2008,0.38,0.44,0.33,0.37,4700.0,
27/03/2008,0.37,0.44,0.33,0.37,42000.0,
28/03/2008,0.37,0.44,0.33,0.37,11500.0,
31/03/2008,0.37,0.44,0.33,0.39,19900.0,
01/04/2008,0.39,0.44,0.33,0.4,17400.0,
02/04/2008,0.4,0.44,0.33,0.4,40900.0,
03/04/2008,0.4,0.44,0.33,0.4,1000.0,
04/04/2008,0.4,0.44,0.33,0.4,50700.0,
07/04/2008,0.4,0.44,0.33,0.4,21900.0,
08/04/2008,0.4,0.44,0.33,0.4,22800.0,
09/04/2008,0.4,0.44,0.33,0.4,23100.0,
10/04/2008,0.4,0.44,0.33,0.4,30600.0,
11/04/2008,0.4,0.44,0.33,0.4,32900.0,
14/04/2008,0.4,0.44,0.33,0.41,100000.0,
16/04/2008,0.41,0.44,0.33,0.41,17300.0,
17/04/2008,0.41,0.44,0.33,0.41,4500.0,
18/04/2008,0.41,0.44,0.33,0.41,11800.0,
21/04/2008,0.41,0.44,0.33,0.41,,
22/04/2008,0.41,0.44,0.33,0.42,5400.0,
23/04/2008,0.42,0.44,0.33,0.42,600.0,
24/04/2008,0.42,0.44,0.33,0.42,3000.0,
25/04/2008,0.42,0.44,0.33,0.42,600.0,
28/04/2008,0.42,0.44,0.33,0.42,1500.0,
29/04/2008,0.42,0.44,0.33,0.42,51400.0,
30/04/2008,0.42,0.44,0.33,0.42,7500.0,
02/05/2008,0.42,0.44,0.33,0.42,2000.0,
05/05/2008,0.42,0.44,0.33,0.43,12600.0,
06/05/2008,0.43,0.44,0.33,0.43,82000.0,
07/05/2008,0.43,0.44,0.33,0.44,419600.0,
08/05/2008,0.44,0.44,0.33,0.44,1200.0,
09/05/2008,0.44,0.44,0.33,0.44,9400.0,
12/05/2008,0.44,0.45,0.33,0.45,98400.0,
13/05/2008,0.45,0.45,0.33,0.45,38900.0,
14/05/2008,0.45,0.46,0.33,0.46,31300.0,
15/05/2008,0.46,0.46,0.33,0.46,321700.0,
16/05/2008,0.46,0.46,0.33,0.46,9900.0,
19/05/2008,0.46,0.47,0.33,0.47,13800.0,
20/05/2008,0.47,0.47,0.33,0.47,16200.0,
21/05/2008,0.47,0.47,0.33,0.47,33700.0,
22/05/2008,0.47,0.47,0.33,0.47,9100.0,
23/05/2008,0.47,0.47,0.33,0.47,15500.0,
27/05/2008,0.47,0.48,0.33,0.48,54300.0,
28/05/2008,0.48,0.5,0.33,0.5,89600.0,
29/05/2008,0.5,0.51,0.33,0.51,23300.0,
30/05/2008,0.51,0.54,0.33,0.54,261200.0,
02/06/2008,0.54,0.56,0.33,0.56,10300.0,
03/06/2008,0.56,0.59,0.33,0.59,269100.0,
04/06/2008,0.59,0.59,0.33,0.59,67000.0,
05/06/2008,0.59,0.61,0.33,0.61,70800.0,
06/06/2008,0.61,0.61,0.33,0.61,47400.0,
09/06/2008,0.61,0.62,0.33,0.62,16800.0,
10/06/2008,0.62,0.62,0.33,0.62,41100.0,
11/06/2008,0.62,0.63,0.33,0.63,18600.0,
12/06/2008,0.63,0.63,0.33,0.63,32100.0,
13/06/2008,0.63,0.63,0.33,0.63,21600.0,
16/06/2008,0.63,0.63,0.33,0.63,27200.0,
17/06/2008,0.63,0.63,0.33,0.63,3900.0,
18/06/2008,0.63,0.63,0.33,0.63,9200.0,
19/06/2008,0.63,0.63,0.33,0.63,6242500.0,
20/06/2008,0.63,0.63,0.33,0.63,61700.0,
23/06/2008,0.63,0.63,0.33,0.63,9300.0,
24/06/2008,0.63,0.63,0.33,0.63,10300.0,
25/06/2008,0.63,0.63,0.33,0.63,9400.0,
26/06/2008,0.63,0.63,0.33,0.63,12700.0,
27/06/2008,0.63,0.63,0.33,0.63,1600.0,
30/06/2008,0.63,0.63,0.33,0.63,9200.0,
02/07/2008,0.63,0.63,0.33,0.63,1257700.0,
03/07/2008,0.63,0.63,0.33,0.63,3200.0,
04/07/2008,0.63,0.63,0.33,0.63,479000.0,
07/07/2008,0.63,0.63,0.33,0.63,7900.0,
08/07/2008,0.63,0.63,0.33,0.63,1900.0,
09/07/2008,0.63,0.63,0.33,0.63,6600.0,
10/07/2008,0.63,0.63,0.33,0.63,10700.0,
11/07/2008,0.63,0.63,0.33,0.63,10400.0,
14/07/2008,0.63,0.63,0.33,0.63,10400.0,
15/07/2008,0.63,0.63,0.33,0.63,800.0,
16/07/2008,0.63,0.63,0.33,0.63,5800.0,
17/07/2008,0.63,0.63,0.33,0.63,10600.0,
18/07/2008,0.63,0.63,0.33,0.63,3500.0,
