Date,Open,High,Low,Close,Volume,Value
03/07/2013,0.86,0.87,0.48,0.86,3200.0,
04/07/2013,0.86,0.87,0.48,0.86,,
05/07/2013,0.86,0.87,0.48,0.86,23100.0,
08/07/2013,0.86,0.87,0.48,0.86,21300.0,
09/07/2013,0.86,0.87,0.48,0.86,6200.0,
10/07/2013,0.86,0.87,0.48,0.86,6300.0,
11/07/2013,0.86,0.87,0.48,0.86,,
12/07/2013,0.86,0.87,0.48,0.86,900.0,
15/07/2013,0.86,0.87,0.48,0.86,3600.0,
16/07/2013,0.86,0.87,0.48,0.86,43000.0,
17/07/2013,0.86,0.87,0.48,0.86,1000.0,
18/07/2013,0.86,0.87,0.48,0.86,,
19/07/2013,0.86,0.87,0.48,0.86,,
22/07/2013,0.86,0.87,0.48,0.86,,
23/07/2013,0.86,0.87,0.48,0.85,1100.0,
24/07/2013,0.85,0.87,0.48,0.86,14100.0,
25/07/2013,0.86,0.87,0.48,0.86,700.0,
26/07/2013,0.86,0.87,0.48,0.86,50000.0,
29/07/2013,0.86,0.87,0.48,0.86,2200.0,
30/07/2013,0.86,0.87,0.48,0.86,400.0,
31/07/2013,0.86,0.87,0.86,0.86,18000.0,
01/08/2013,0.86,0.87,0.86,0.86,,
02/08/2013,0.86,0.87,0.86,0.86,,
05/08/2013,0.86,0.87,0.86,0.86,,
06/08/2013,0.86,0.87,0.86,0.86,,
07/08/2013,0.86,0.87,0.86,0.86,1500.0,
09/08/2013,0.86,0.87,0.86,0.86,23100.0,
12/08/2013,0.86,0.87,0.86,0.86,400.0,
13/08/2013,0.86,0.87,0.86,0.86,3300.0,
14/08/2013,0.86,0.87,0.48,0.86,3100.0,
15/08/2013,0.86,0.87,0.48,0.86,22000.0,
16/08/2013,0.86,0.87,0.48,0.86,1500.0,
19/08/2013,0.86,0.87,0.48,0.86,,
20/08/2013,0.86,0.87,0.48,0.86,2300.0,
21/08/2013,0.86,0.87,0.48,0.86,1700.0,
22/08/2013,0.86,0.87,0.48,0.86,2300.0,
