Date,Open,High,Low,Close,Volume,Value
03/07/2007,1.33,1.33,1.33,1.33,300.0,
04/07/2007,1.33,1.33,1.33,1.33,,
05/07/2007,1.33,1.33,1.33,1.33,,
06/07/2007,1.33,1.33,1.33,1.33,,
09/07/2007,1.33,1.33,1.33,1.33,,
10/07/2007,1.33,1.33,1.33,1.33,,
11/07/2007,1.33,1.33,1.33,1.33,,
12/07/2007,1.33,1.33,1.33,1.33,,
13/07/2007,1.33,1.33,1.33,1.33,,
16/07/2007,1.33,1.33,1.33,1.33,,
17/07/2007,1.33,1.33,1.33,1.33,,
18/07/2007,1.33,1.33,1.33,1.33,,
19/07/2007,1.33,1.33,1.33,1.33,,
20/07/2007,1.33,1.33,1.33,1.33,,
23/07/2007,1.33,1.33,1.33,1.33,,
24/07/2007,1.33,1.33,1.33,1.33,,
25/07/2007,1.33,1.33,1.33,1.33,,
26/07/2007,1.33,1.33,1.33,1.33,,
27/07/2007,1.33,1.33,1.33,1.33,,
30/07/2007,1.33,1.33,1.33,1.33,,
31/07/2007,1.33,1.33,1.33,1.33,,
01/08/2007,1.33,1.33,1.33,1.33,,
02/08/2007,1.33,1.33,1.33,1.33,,
03/08/2007,1.33,1.33,1.33,1.33,,
06/08/2007,1.33,1.33,1.33,1.33,,
07/08/2007,1.33,1.33,1.33,1.33,,
08/08/2007,1.33,1.33,1.33,1.33,,
09/08/2007,1.33,1.33,1.33,1.33,,
10/08/2007,1.33,1.33,1.33,1.33,,
13/08/2007,1.33,1.33,1.33,1.33,,
14/08/2007,1.33,1.33,1.33,1.33,,
15/08/2007,1.33,1.33,1.33,1.33,,
16/08/2007,1.33,1.33,1.33,1.33,,
17/08/2007,1.33,1.33,1.33,1.33,,
20/08/2007,1.33,1.33,1.33,1.33,,
21/08/2007,1.33,1.33,1.33,1.33,,
22/08/2007,1.33,1.33,1.33,1.33,,
24/08/2007,1.33,1.33,1.33,1.33,,
27/08/2007,1.33,1.33,1.33,1.33,,
28/08/2007,1.33,1.33,1.33,1.33,,
29/08/2007,1.33,1.33,1.33,1.33,,
30/08/2007,1.33,1.33,1.33,1.33,,
31/08/2007,1.33,1.33,1.33,1.33,,
03/09/2007,1.33,1.33,1.33,1.33,,
04/09/2007,1.33,1.33,1.33,1.33,,
05/09/2007,1.33,1.33,1.33,1.33,,
06/09/2007,1.33,1.33,1.33,1.33,,
07/09/2007,1.33,1.33,1.33,1.33,,
10/09/2007,1.33,1.33,1.33,1.33,,
11/09/2007,1.33,1.33,1.33,1.33,,
12/09/2007,1.33,1.33,1.33,1.33,,
13/09/2007,1.33,1.33,1.33,1.33,,
14/09/2007,1.33,1.33,1.33,1.33,,
17/09/2007,1.33,1.33,1.33,1.33,,
18/09/2007,1.33,1.33,1.33,1.33,,
19/09/2007,1.33,1.33,1.33,1.33,,
20/09/2007,1.33,1.33,1.33,1.33,,
21/09/2007,1.33,1.33,1.33,1.33,,
24/09/2007,1.33,1.33,1.33,1.33,,
25/09/2007,1.33,1.33,1.33,1.33,,
26/09/2007,1.33,1.33,1.33,1.33,,
27/09/2007,1.33,1.33,1.33,1.33,,
28/09/2007,1.33,1.33,1.33,1.33,,
01/10/2007,1.33,1.33,1.33,1.33,,
02/10/2007,1.33,1.33,1.33,1.33,,
03/10/2007,1.33,1.33,1.33,1.33,,
04/10/2007,1.33,1.33,1.33,1.33,,
05/10/2007,1.33,1.33,1.33,1.33,,
08/10/2007,1.33,1.33,1.33,1.33,,
09/10/2007,1.33,1.33,1.33,1.33,,
10/10/2007,1.33,1.33,1.33,1.33,,
11/10/2007,1.33,1.33,1.33,1.33,,
12/10/2007,1.33,1.33,1.33,1.33,,
16/10/2007,1.33,1.33,1.33,1.33,,
17/10/2007,1.33,1.33,1.33,1.33,,
18/10/2007,1.33,1.33,1.33,1.33,,
19/10/2007,1.33,1.33,1.33,1.33,,
22/10/2007,1.33,1.33,1.33,1.33,,
23/10/2007,1.33,1.33,1.33,1.33,,
24/10/2007,1.33,1.33,1.33,1.33,,
25/10/2007,1.33,1.33,1.33,1.33,,
26/10/2007,1.33,1.33,1.33,1.33,,
29/10/2007,1.33,1.33,1.33,1.33,,
30/10/2007,1.33,1.33,1.33,1.33,,
31/10/2007,1.33,1.33,1.33,1.33,,
01/11/2007,1.33,1.33,1.33,1.33,,
02/11/2007,1.33,1.33,1.33,1.33,,
05/11/2007,1.33,1.33,1.33,1.33,,
06/11/2007,1.33,1.33,1.33,1.33,,
07/11/2007,1.33,1.33,1.33,1.33,,
08/11/2007,1.33,1.33,1.33,1.33,,
12/11/2007,1.33,1.33,1.33,1.33,,
13/11/2007,1.33,1.33,1.33,1.33,,
14/11/2007,1.33,1.33,1.33,1.33,,
15/11/2007,1.33,1.33,1.33,1.33,,
16/11/2007,1.33,1.33,1.33,1.33,,
19/11/2007,1.33,1.33,1.33,1.33,,
20/11/2007,1.33,1.33,1.33,1.33,,
21/11/2007,1.33,1.33,1.33,1.33,,
22/11/2007,1.33,1.33,1.33,1.33,,
23/11/2007,1.33,1.33,1.33,1.33,,
26/11/2007,1.33,1.33,1.33,1.33,,
27/11/2007,1.33,1.33,1.33,1.33,,
