Date,Open,High,Low,Close,Volume,Value
27/07/2011,31.0,31.08,31.0,31.08,200.0,
28/07/2011,31.08,31.08,31.0,31.08,,
29/07/2011,31.08,31.08,31.0,31.08,,
01/08/2011,31.08,31.08,31.0,31.08,,
02/08/2011,31.08,31.08,31.0,31.08,,
03/08/2011,31.08,31.08,31.0,31.08,200.0,
04/08/2011,31.08,31.08,31.0,31.08,,
05/08/2011,31.08,31.1,31.0,31.1,100.0,
08/08/2011,31.1,31.1,31.0,31.1,500.0,
09/08/2011,31.1,31.1,31.0,31.1,,
10/08/2011,31.1,31.1,31.0,31.05,200.0,
11/08/2011,31.05,31.1,31.0,31.05,,
12/08/2011,31.05,31.1,31.0,31.05,,
15/08/2011,31.05,31.1,31.0,31.05,,
16/08/2011,31.05,31.1,31.0,31.05,30.0,
17/08/2011,31.05,31.1,31.0,31.05,,
18/08/2011,31.05,31.1,31.0,31.05,,
19/08/2011,31.05,31.1,31.0,31.05,,
19/08/2011,31.05,31.1,31.0,31.05,,
22/08/2011,31.05,31.1,31.0,31.05,,
23/08/2011,31.05,31.1,31.0,31.05,,
24/08/2011,31.05,31.1,31.0,31.03,560.0,
25/08/2011,31.03,31.1,31.0,31.03,10.0,
26/08/2011,31.03,31.1,31.0,31.03,170.0,
29/08/2011,31.03,31.1,31.0,31.03,,
30/08/2011,31.03,31.1,31.0,31.03,,
01/09/2011,31.03,31.1,31.0,31.03,,
02/09/2011,31.03,31.1,31.0,31.03,30.0,
05/09/2011,31.03,31.1,31.0,31.03,190.0,
06/09/2011,31.03,31.1,31.0,31.02,130.0,
07/09/2011,31.02,31.1,31.0,31.02,,
08/09/2011,31.02,31.1,31.0,31.03,100.0,
09/09/2011,31.03,31.1,31.0,31.03,550.0,
12/09/2011,31.03,31.1,31.0,31.06,100.0,
13/09/2011,31.06,31.1,31.0,31.05,100.0,
14/09/2011,31.05,31.1,31.0,31.21,150.0,
15/09/2011,31.21,31.1,31.0,33.62,2480.0,
16/09/2011,33.62,31.1,31.0,33.62,400.0,
19/09/2011,33.62,31.1,31.0,33.62,,
20/09/2011,33.62,31.1,31.0,33.62,,
22/09/2011,33.62,33.62,31.0,31.06,530.0,
23/09/2011,31.06,33.62,31.0,31.05,490.0,
26/09/2011,31.05,33.62,31.0,31.04,70.0,
27/09/2011,31.04,33.62,31.0,31.04,,
28/09/2011,31.04,33.62,31.0,31.1,340.0,
29/09/2011,31.1,33.62,31.0,31.1,30.0,
30/09/2011,31.1,33.62,31.0,31.1,,
03/10/2011,31.1,33.62,31.0,31.1,20.0,
04/10/2011,31.1,33.62,31.0,31.05,100.0,
05/10/2011,31.05,33.62,31.0,31.05,,
06/10/2011,31.05,33.62,31.0,31.05,,
07/10/2011,31.05,33.62,31.0,31.05,,
10/10/2011,31.05,33.62,31.0,31.0,140.0,
11/10/2011,31.0,33.62,31.0,31.0,180.0,
12/10/2011,31.0,33.62,31.0,31.0,,
13/10/2011,31.0,33.62,31.0,31.0,1720.0,
14/10/2011,31.0,33.62,31.0,31.0,,
17/10/2011,31.0,33.62,31.0,31.0,,
18/10/2011,31.0,33.62,31.0,31.0,,
19/10/2011,31.0,33.62,31.0,31.0,,
20/10/2011,31.0,33.62,31.0,31.0,,
