Date,Open,High,Low,Close,Volume,Value
03/07/2007,5.45,5.45,5.4,5.45,,
04/07/2007,5.45,5.45,5.4,5.45,,
05/07/2007,5.45,5.45,5.4,5.45,,
06/07/2007,5.45,5.45,5.4,5.45,,
09/07/2007,5.45,5.45,5.4,5.45,,
10/07/2007,5.45,5.45,5.4,5.45,,
11/07/2007,5.45,5.45,5.4,5.45,,
12/07/2007,5.45,5.45,5.4,5.45,,
13/07/2007,5.45,5.45,5.4,5.45,,
16/07/2007,5.45,5.45,5.4,5.45,100.0,
17/07/2007,5.45,5.45,5.4,5.45,,
18/07/2007,5.45,5.45,5.4,5.45,,
19/07/2007,5.45,5.45,5.4,5.45,500.0,
20/07/2007,5.45,5.45,5.4,5.45,,
23/07/2007,5.45,5.45,5.4,5.45,,
24/07/2007,5.45,5.45,5.4,5.45,,
25/07/2007,5.45,5.45,5.4,5.45,,
26/07/2007,5.45,5.45,5.4,5.45,,
27/07/2007,5.45,5.45,5.4,5.45,200.0,
30/07/2007,5.45,5.45,5.4,5.45,,
31/07/2007,5.45,5.45,5.4,5.45,,
01/08/2007,5.45,5.45,5.4,5.45,200.0,
02/08/2007,5.45,5.45,5.4,5.45,200.0,
03/08/2007,5.45,5.48,5.4,5.48,500.0,
06/08/2007,5.48,5.48,5.4,5.48,,
07/08/2007,5.48,5.48,5.4,5.48,,
08/08/2007,5.48,5.48,5.4,5.48,,
09/08/2007,5.48,5.48,5.4,5.48,,
10/08/2007,5.48,5.48,5.4,5.48,,
13/08/2007,5.48,5.48,5.4,5.48,,
14/08/2007,5.48,5.48,5.4,5.48,,
15/08/2007,5.48,5.48,5.4,5.48,300.0,
16/08/2007,5.48,5.48,5.4,5.48,100.0,
17/08/2007,5.48,5.48,5.4,5.48,,
20/08/2007,5.48,5.48,5.4,5.48,,
21/08/2007,5.48,5.48,5.4,5.48,,
22/08/2007,5.48,5.48,5.4,5.48,,
24/08/2007,5.48,5.48,5.4,5.48,200.0,
27/08/2007,5.48,5.48,5.4,5.48,,
28/08/2007,5.48,5.48,5.4,5.48,200.0,
29/08/2007,5.48,5.48,5.4,5.48,,
30/08/2007,5.48,5.48,5.4,5.48,,
31/08/2007,5.48,5.48,5.4,5.48,,
03/09/2007,5.48,5.48,5.4,5.48,,
04/09/2007,5.48,5.48,5.4,5.48,500.0,
05/09/2007,5.48,5.49,5.4,5.49,100.0,
06/09/2007,5.49,5.49,5.4,5.49,,
07/09/2007,5.49,5.49,5.4,5.49,,
10/09/2007,5.49,5.49,5.4,5.49,,
11/09/2007,5.49,5.49,5.4,5.49,400.0,
12/09/2007,5.49,5.49,5.4,5.49,,
13/09/2007,5.49,5.49,5.4,5.49,100.0,
14/09/2007,5.49,5.49,5.4,5.49,800.0,
17/09/2007,5.49,5.49,5.4,5.49,,
18/09/2007,5.49,5.49,5.4,5.49,,
19/09/2007,5.49,5.49,5.4,5.49,,
20/09/2007,5.49,5.49,5.4,5.49,,
21/09/2007,5.49,5.49,5.4,5.49,400.0,
24/09/2007,5.49,5.49,5.4,5.49,,
25/09/2007,5.49,5.49,5.4,5.49,,
26/09/2007,5.49,5.49,5.4,5.49,200.0,
27/09/2007,5.49,5.49,5.4,5.49,,
28/09/2007,5.49,5.49,5.4,5.49,,
01/10/2007,5.49,5.49,5.4,5.49,,
02/10/2007,5.49,5.49,5.4,5.49,,
03/10/2007,5.49,5.49,5.4,5.49,,
04/10/2007,5.49,5.49,5.4,5.49,,
05/10/2007,5.49,5.49,5.4,5.49,,
08/10/2007,5.49,5.49,5.4,5.49,,
09/10/2007,5.49,5.49,5.4,5.49,,
10/10/2007,5.49,5.49,5.4,5.49,,
11/10/2007,5.49,5.49,5.4,5.49,,
12/10/2007,5.49,5.49,5.4,5.49,,
16/10/2007,5.49,5.49,5.4,5.49,1000.0,
17/10/2007,5.49,5.49,5.4,5.49,200.0,
18/10/2007,5.49,5.49,5.4,5.49,,
19/10/2007,5.49,5.49,5.4,5.49,,
22/10/2007,5.49,5.49,5.4,5.49,,
23/10/2007,5.49,5.49,5.4,5.49,,
24/10/2007,5.49,5.49,5.4,5.49,,
25/10/2007,5.49,5.49,5.4,5.49,,
26/10/2007,5.49,5.49,5.4,5.49,,
29/10/2007,5.49,5.49,5.4,5.49,,
30/10/2007,5.49,5.49,5.4,5.49,100.0,
31/10/2007,5.49,5.49,5.4,5.49,,
01/11/2007,5.49,5.49,5.4,5.49,,
02/11/2007,5.49,5.49,5.4,5.49,,
05/11/2007,5.49,5.49,5.4,5.49,,
06/11/2007,5.49,5.49,5.4,5.49,,
07/11/2007,5.49,5.49,5.4,5.49,,
08/11/2007,5.49,5.49,5.4,5.49,,
12/11/2007,5.49,5.49,5.4,5.49,,
13/11/2007,5.49,5.49,5.4,5.49,,
14/11/2007,5.49,5.49,5.4,5.49,,
15/11/2007,5.49,5.49,5.4,5.49,,
16/11/2007,5.49,5.49,5.4,5.49,,
19/11/2007,5.49,5.49,5.4,5.49,,
20/11/2007,5.49,5.49,5.4,5.49,100.0,
21/11/2007,5.49,5.49,5.4,5.49,,
22/11/2007,5.49,5.49,5.4,5.49,,
23/11/2007,5.49,5.49,5.4,5.49,,
26/11/2007,5.49,5.49,5.4,5.49,,
27/11/2007,5.49,5.49,5.4,5.49,100.0,
28/11/2007,5.49,5.49,5.4,5.49,,
29/11/2007,5.49,5.49,5.4,5.49,,
30/11/2007,5.49,5.49,5.4,5.49,,
03/12/2007,5.49,5.49,5.4,5.49,,
04/12/2007,5.49,5.49,5.4,5.49,,
05/12/2007,5.49,5.49,5.4,5.49,1100.0,
06/12/2007,5.49,5.49,5.4,5.49,,
10/12/2007,5.49,5.49,5.4,5.49,,
11/12/2007,5.49,5.49,5.4,5.49,,
12/12/2007,5.49,5.49,5.4,5.49,,
13/12/2007,5.49,5.49,5.4,5.49,200.0,
14/12/2007,5.49,5.49,5.4,5.49,,
17/12/2007,5.49,5.49,5.4,5.49,,
18/12/2007,5.49,5.49,5.4,5.49,,
20/12/2007,5.49,5.49,5.4,5.49,,
21/12/2007,5.49,5.49,5.4,5.49,,
24/12/2007,5.49,5.49,5.4,5.49,,
24/12/2007,5.49,5.49,5.4,5.49,,
27/12/2007,5.49,5.49,5.4,5.49,,
28/12/2007,5.49,5.49,5.4,5.49,,
31/12/2007,5.49,5.49,5.4,5.49,,
02/01/2008,5.49,5.49,5.4,5.49,,
03/01/2008,5.49,5.49,5.49,5.49,,
04/01/2008,5.49,5.49,5.49,5.49,,
07/01/2008,5.49,5.49,5.49,5.49,,
08/01/2008,5.49,5.49,5.49,5.49,100.0,
09/01/2008,5.49,5.5,5.49,5.5,1300.0,
10/01/2008,5.5,5.5,5.49,5.5,,
11/01/2008,5.5,5.5,5.49,5.5,,
14/01/2008,5.5,5.5,5.49,5.5,,
15/01/2008,5.5,5.5,5.49,5.5,,
16/01/2008,5.5,5.5,5.49,5.5,,
17/01/2008,5.5,5.5,5.49,5.5,,
18/01/2008,5.5,5.5,5.49,5.5,400.0,
21/01/2008,5.5,5.5,5.49,5.5,,
22/01/2008,5.5,5.5,5.49,5.5,100.0,
23/01/2008,5.5,5.5,5.49,5.5,,
24/01/2008,5.5,5.5,5.49,5.5,,
25/01/2008,5.5,5.5,5.49,5.5,,
28/01/2008,5.5,5.5,5.49,5.5,800.0,
29/01/2008,5.5,5.5,5.49,5.5,,
30/01/2008,5.5,5.5,5.49,5.5,,
31/01/2008,5.5,5.5,5.49,5.5,,
01/02/2008,5.5,5.5,5.49,5.5,,
04/02/2008,5.5,5.5,5.49,5.5,,
05/02/2008,5.5,5.5,5.49,5.5,,
06/02/2008,5.5,5.5,5.49,5.5,,
07/02/2008,5.5,5.5,5.49,5.5,,
08/02/2008,5.5,5.5,5.49,5.5,,
11/02/2008,5.5,5.5,5.49,5.5,,
12/02/2008,5.5,5.5,5.49,5.5,,
13/02/2008,5.5,5.5,5.49,5.5,,
14/02/2008,5.5,5.5,5.49,5.5,,
15/02/2008,5.5,5.5,5.49,5.5,500.0,
18/02/2008,5.5,5.5,5.49,5.5,300.0,
19/02/2008,5.5,5.5,5.49,5.5,,
20/02/2008,5.5,5.5,5.49,5.5,100.0,
21/02/2008,5.5,5.5,5.49,5.5,100.0,
22/02/2008,5.5,5.51,5.49,5.51,100.0,
25/02/2008,5.51,5.51,5.49,5.51,,
26/02/2008,5.51,5.51,5.49,5.51,,
27/02/2008,5.51,5.51,5.49,5.51,,
28/02/2008,5.51,5.51,5.49,5.51,300.0,
29/02/2008,5.51,5.51,5.49,5.51,,
03/03/2008,5.51,5.53,5.49,5.53,100.0,
04/03/2008,5.53,5.53,5.49,5.53,,
05/03/2008,5.53,5.53,5.49,5.53,100.0,
07/03/2008,5.53,5.54,5.49,5.54,1000.0,
10/03/2008,5.54,5.54,5.49,5.54,,
11/03/2008,5.54,5.54,5.49,5.54,,
12/03/2008,5.54,5.54,5.49,5.54,,
13/03/2008,5.54,5.54,5.49,5.54,,
14/03/2008,5.54,5.55,5.49,5.55,1200.0,
17/03/2008,5.55,5.55,5.49,5.55,1000.0,
18/03/2008,5.55,5.55,5.49,5.55,,
19/03/2008,5.55,5.55,5.49,5.55,,
20/03/2008,5.55,5.56,5.49,5.56,300.0,
25/03/2008,5.56,5.56,5.49,5.56,,
26/03/2008,5.56,5.56,5.49,5.56,,
27/03/2008,5.56,5.56,5.49,5.56,100.0,
28/03/2008,5.56,5.57,5.49,5.57,600.0,
31/03/2008,5.57,5.57,5.49,5.57,,
01/04/2008,5.57,5.57,5.49,5.57,,
03/04/2008,5.57,5.57,5.49,5.57,,
14/04/2008,5.57,5.57,5.49,5.57,,
16/04/2008,5.57,5.57,5.49,5.57,,
17/04/2008,5.57,5.57,5.49,5.57,,
18/04/2008,5.57,5.57,5.49,5.57,,
21/04/2008,5.57,5.57,5.49,5.57,,
22/04/2008,5.57,5.57,5.49,5.57,1100.0,
23/04/2008,5.57,5.57,5.49,5.57,200.0,
24/04/2008,5.57,5.57,5.49,5.57,,
25/04/2008,5.57,5.57,5.49,5.57,,
30/04/2008,5.59,5.59,5.49,5.59,,
02/05/2008,5.59,6.0,5.49,6.0,1600.0,
05/05/2008,6.0,6.0,5.49,6.0,,
06/05/2008,6.0,6.0,5.49,6.0,,
07/05/2008,6.0,6.0,5.49,6.0,,
08/05/2008,6.0,6.0,5.49,6.0,,
09/05/2008,6.0,6.0,5.49,6.0,1000.0,
12/05/2008,6.0,6.0,5.49,6.0,,
13/05/2008,6.0,6.0,5.49,6.0,,
14/05/2008,6.0,6.0,5.49,6.0,,
15/05/2008,6.0,6.0,5.49,6.0,1500.0,
16/05/2008,6.0,6.0,5.49,6.0,,
19/05/2008,6.0,6.0,5.49,6.0,,
