Date,Open,High,Low,Close,Volume,Value
03/07/2007,1.9,1.9,1.5,1.9,,
04/07/2007,1.9,1.9,1.5,1.9,1100.0,
05/07/2007,1.9,1.9,1.5,1.9,1500.0,
06/07/2007,1.9,1.9,1.5,1.9,1200.0,
09/07/2007,1.9,1.9,1.5,1.9,,
10/07/2007,1.9,1.9,1.5,1.9,800.0,
11/07/2007,1.9,1.9,1.5,1.9,400.0,
12/07/2007,1.9,1.9,1.5,1.9,100.0,
13/07/2007,1.9,1.9,1.5,1.9,,
16/07/2007,1.9,1.9,1.5,1.9,,
17/07/2007,1.9,1.9,1.5,1.9,100.0,
18/07/2007,1.9,1.9,1.5,1.9,,
19/07/2007,1.9,1.9,1.5,1.9,700.0,
20/07/2007,1.9,1.9,1.5,1.9,500.0,
23/07/2007,1.9,1.9,1.5,1.9,,
24/07/2007,1.9,1.9,1.5,1.9,2700.0,
25/07/2007,1.9,1.9,1.5,1.9,,
26/07/2007,1.9,1.9,1.5,1.9,,
27/07/2007,1.9,1.9,1.5,1.9,5300.0,
30/07/2007,1.9,1.9,1.5,1.9,,
31/07/2007,1.9,1.9,1.5,1.9,,
01/08/2007,1.9,1.91,1.5,1.91,900.0,
02/08/2007,1.91,1.91,1.5,1.91,,
03/08/2007,1.91,1.91,1.5,1.91,,
06/08/2007,1.91,1.91,1.5,1.91,1000.0,
07/08/2007,1.91,1.91,1.5,1.91,800.0,
08/08/2007,1.91,1.91,1.5,1.91,,
09/08/2007,1.91,1.91,1.5,1.91,700.0,
10/08/2007,1.91,2.0,1.5,2.0,5000.0,
13/08/2007,2.0,2.0,1.5,2.0,1000.0,
14/08/2007,2.0,2.0,1.5,2.0,300.0,
15/08/2007,2.0,2.0,1.5,2.0,1000.0,
16/08/2007,2.0,2.0,1.5,2.0,,
17/08/2007,2.0,2.0,1.5,2.0,,
20/08/2007,2.0,2.0,1.5,2.0,,
21/08/2007,2.0,2.0,1.5,2.0,,
22/08/2007,2.0,2.0,1.5,2.0,,
24/08/2007,2.0,2.0,1.5,2.0,2000.0,
27/08/2007,2.0,2.0,1.5,2.0,,
28/08/2007,2.0,2.0,1.5,2.0,,
29/08/2007,2.0,2.0,1.5,2.0,4400.0,
30/08/2007,2.0,2.0,1.5,2.0,1100.0,
31/08/2007,2.0,2.0,1.5,2.0,1000.0,
03/09/2007,2.0,2.0,1.5,2.0,,
04/09/2007,2.0,2.0,1.5,2.0,100.0,
05/09/2007,2.0,2.0,1.5,2.0,800.0,
06/09/2007,2.0,2.0,1.5,2.0,200.0,
07/09/2007,2.0,2.0,1.5,2.0,,
10/09/2007,2.0,2.0,1.5,2.0,600.0,
11/09/2007,2.0,2.0,1.5,2.0,5200.0,
12/09/2007,2.0,2.0,1.5,2.0,,
13/09/2007,2.0,2.0,1.5,2.05,1600.0,
14/09/2007,2.05,2.0,1.5,2.05,,
17/09/2007,2.05,2.0,1.5,2.05,1700.0,
18/09/2007,2.05,2.0,1.5,2.05,,
19/09/2007,2.05,2.0,1.5,2.05,,
20/09/2007,2.05,2.0,1.5,2.05,2100.0,
21/09/2007,2.05,2.0,1.5,2.05,,
24/09/2007,2.05,2.0,1.5,2.05,,
25/09/2007,2.05,2.0,1.5,2.05,,
26/09/2007,2.05,2.0,1.5,2.05,300.0,
27/09/2007,2.05,2.0,1.5,2.05,,
28/09/2007,2.05,2.0,1.5,2.05,,
01/10/2007,2.05,2.0,1.5,2.05,,
02/10/2007,2.05,2.0,1.5,2.05,,
03/10/2007,2.05,2.0,1.5,2.05,4800.0,
04/10/2007,2.05,2.05,1.5,2.05,2200.0,
05/10/2007,2.05,2.05,1.5,2.05,,
08/10/2007,2.05,2.05,1.5,2.05,,
09/10/2007,2.05,2.05,1.5,2.05,,
10/10/2007,2.05,2.1,1.5,2.1,35800.0,
11/10/2007,2.1,2.1,1.5,2.1,2100.0,
12/10/2007,2.1,2.1,1.5,2.1,6400.0,
16/10/2007,2.1,2.1,1.5,2.1,,
17/10/2007,2.1,2.1,1.5,2.1,100.0,
18/10/2007,2.1,2.1,1.5,2.1,,
19/10/2007,2.1,2.1,1.5,2.1,500.0,
22/10/2007,2.1,2.1,1.5,2.1,,
23/10/2007,2.1,2.1,1.5,2.1,,
24/10/2007,2.1,2.1,1.5,2.1,2000.0,
25/10/2007,2.1,2.1,1.5,2.1,500.0,
26/10/2007,2.1,2.1,1.5,2.1,,
29/10/2007,2.1,2.1,1.5,2.1,200.0,
30/10/2007,2.1,2.1,1.5,2.1,,
31/10/2007,2.1,2.1,1.5,2.1,2200.0,
01/11/2007,2.1,2.1,1.5,2.1,500.0,
02/11/2007,2.1,2.1,1.5,2.1,2600.0,
05/11/2007,2.1,2.1,1.5,2.1,,
06/11/2007,2.1,2.1,1.5,2.1,200.0,
07/11/2007,2.1,2.1,1.5,2.1,300.0,
08/11/2007,2.1,2.1,1.5,2.1,,
12/11/2007,2.1,2.1,1.5,2.1,100.0,
13/11/2007,2.1,2.1,1.5,2.1,,
14/11/2007,2.1,2.1,1.5,2.1,,
15/11/2007,2.1,2.1,1.5,2.1,2600.0,
16/11/2007,2.1,2.1,1.5,2.1,,
19/11/2007,2.1,2.1,1.5,2.1,2400.0,
20/11/2007,2.1,2.1,1.5,2.1,36100.0,
21/11/2007,2.1,2.1,1.5,2.1,,
22/11/2007,2.1,2.1,1.5,2.1,1000.0,
23/11/2007,2.1,2.1,1.5,2.1,,
26/11/2007,2.1,2.1,1.5,2.1,900.0,
27/11/2007,2.1,2.1,1.5,2.1,2400.0,
28/11/2007,2.1,2.1,1.5,2.1,600.0,
29/11/2007,2.1,2.1,1.5,2.1,1000.0,
30/11/2007,2.1,2.1,1.5,2.1,,
03/12/2007,2.1,2.1,1.5,2.1,900.0,
04/12/2007,2.1,2.1,1.5,2.1,,
05/12/2007,2.1,2.1,1.5,2.1,1200.0,
06/12/2007,2.1,2.1,1.5,2.1,,
10/12/2007,2.1,2.1,1.5,2.1,200.0,
11/12/2007,2.1,2.1,1.5,2.1,1000.0,
12/12/2007,2.1,2.1,1.5,2.1,200.0,
13/12/2007,2.1,2.1,1.5,2.1,100.0,
14/12/2007,2.1,2.1,1.5,2.1,,
17/12/2007,2.1,2.1,1.5,2.1,600.0,
18/12/2007,2.1,2.1,1.5,2.1,400.0,
20/12/2007,2.1,2.1,1.5,2.1,1000.0,
21/12/2007,2.1,2.1,1.5,2.1,,
24/12/2007,2.1,2.1,1.5,2.1,,
24/12/2007,2.1,2.1,1.5,2.1,,
27/12/2007,2.1,2.1,1.5,2.1,,
28/12/2007,2.1,2.11,1.5,2.11,1000.0,
31/12/2007,2.11,2.11,1.5,2.11,,
02/01/2008,2.11,2.11,1.5,2.11,,
03/01/2008,2.11,2.11,2.11,2.11,,
04/01/2008,2.11,2.11,2.11,2.11,,
07/01/2008,2.11,2.12,2.11,2.12,5100.0,
08/01/2008,2.12,2.12,2.11,2.12,,
09/01/2008,2.12,2.12,2.11,2.12,200.0,
10/01/2008,2.12,2.12,2.11,2.12,100.0,
11/01/2008,2.12,2.12,2.11,2.12,,
14/01/2008,2.12,2.12,2.11,2.12,2000.0,
15/01/2008,2.12,2.12,2.11,2.12,3300.0,
16/01/2008,2.12,2.12,2.11,2.12,1400.0,
17/01/2008,2.12,2.12,2.11,2.12,,
18/01/2008,2.12,2.12,2.11,2.12,,
21/01/2008,2.12,2.12,2.11,2.12,100.0,
22/01/2008,2.12,2.12,2.11,2.12,1500.0,
23/01/2008,2.12,2.12,2.11,2.12,,
24/01/2008,2.12,2.12,2.11,2.12,500.0,
25/01/2008,2.12,2.12,2.11,2.12,,
28/01/2008,2.12,2.12,2.11,2.12,300.0,
29/01/2008,2.12,2.12,2.11,2.12,4300.0,
30/01/2008,2.12,2.12,2.11,2.12,,
31/01/2008,2.12,2.12,2.11,2.12,1300.0,
01/02/2008,2.12,2.12,2.11,2.12,500.0,
04/02/2008,2.12,2.12,2.11,2.12,,
05/02/2008,2.12,2.12,2.11,2.12,,
06/02/2008,2.12,2.12,2.11,2.12,,
07/02/2008,2.12,2.12,2.11,2.12,,
08/02/2008,2.12,2.12,2.11,2.12,,
11/02/2008,2.12,2.12,2.11,2.12,,
12/02/2008,2.12,2.13,2.11,2.13,400.0,
13/02/2008,2.13,2.14,2.11,2.14,1300.0,
14/02/2008,2.14,2.14,2.11,2.14,400.0,
15/02/2008,2.14,2.14,2.11,2.14,1700.0,
18/02/2008,2.14,2.14,2.11,2.14,,
19/02/2008,2.14,2.14,2.11,2.14,,
20/02/2008,2.14,2.14,2.11,2.14,,
21/02/2008,2.14,2.14,2.11,2.14,4000.0,
22/02/2008,2.14,2.14,2.11,2.14,8600.0,
25/02/2008,2.14,2.14,2.11,2.14,,
26/02/2008,2.14,2.14,2.11,2.14,,
27/02/2008,2.14,2.15,2.11,2.15,100.0,
28/02/2008,2.15,2.16,2.11,2.16,2500.0,
29/02/2008,2.16,2.16,2.11,2.16,100.0,
03/03/2008,2.16,2.17,2.11,2.17,600.0,
04/03/2008,2.17,2.17,2.11,2.17,,
05/03/2008,2.17,2.18,2.11,2.18,500.0,
07/03/2008,2.18,2.18,2.11,2.18,,
10/03/2008,2.18,2.18,2.11,2.18,,
11/03/2008,2.18,2.19,2.11,2.19,500.0,
12/03/2008,2.19,2.2,2.11,2.2,200.0,
13/03/2008,2.2,2.2,2.11,2.2,,
14/03/2008,2.2,2.2,2.11,2.2,,
17/03/2008,2.2,2.2,2.11,2.2,,
18/03/2008,2.2,2.2,2.11,2.2,500.0,
19/03/2008,2.2,2.21,2.11,2.21,200.0,
20/03/2008,2.21,2.21,2.11,2.21,100.0,
25/03/2008,2.21,2.21,2.11,2.21,,
26/03/2008,2.21,2.22,2.11,2.22,2900.0,
27/03/2008,2.22,2.22,2.11,2.22,100.0,
28/03/2008,2.22,2.23,2.11,2.23,600.0,
31/03/2008,2.23,2.23,2.11,2.23,300.0,
01/04/2008,2.23,2.23,2.11,2.23,,
02/04/2008,2.23,2.23,2.11,2.23,,
03/04/2008,2.23,2.23,2.11,2.23,,
04/04/2008,2.23,2.23,2.11,2.23,,
07/04/2008,2.23,2.23,2.11,2.23,500.0,
08/04/2008,2.23,2.23,2.11,2.23,,
09/04/2008,2.23,2.4,2.11,2.4,100.0,
10/04/2008,2.24,2.25,2.11,2.25,200.0,
11/04/2008,2.25,2.25,2.11,2.25,100.0,
14/04/2008,2.25,2.25,2.11,2.25,,
16/04/2008,2.25,2.25,2.11,2.25,,
17/04/2008,2.25,2.25,2.11,2.25,1000.0,
18/04/2008,2.25,2.25,2.11,2.25,,
21/04/2008,2.25,2.25,2.11,2.25,,
22/04/2008,2.25,2.26,2.11,2.26,400.0,
23/04/2008,2.26,2.26,2.11,2.26,300.0,
24/04/2008,2.26,2.26,2.11,2.26,,
25/04/2008,2.26,2.26,2.11,2.26,10300.0,
28/04/2008,2.26,2.26,2.11,2.26,,
29/04/2008,2.26,2.26,2.11,2.26,,
30/04/2008,2.26,2.26,2.11,2.26,,
02/05/2008,2.26,2.27,2.11,2.27,1100.0,
05/05/2008,2.27,2.29,2.11,2.29,200.0,
06/05/2008,2.29,2.29,2.11,2.29,,
07/05/2008,2.29,2.31,2.11,2.31,9900.0,
08/05/2008,2.31,2.35,2.11,2.35,1200.0,
09/05/2008,2.35,2.35,2.11,2.35,,
12/05/2008,2.35,2.35,2.11,2.35,,
13/05/2008,2.35,2.36,2.11,2.36,3000.0,
14/05/2008,2.36,2.36,2.11,2.36,,
15/05/2008,2.36,2.37,2.11,2.37,2900.0,
16/05/2008,2.37,2.38,2.11,2.38,1500.0,
19/05/2008,2.38,2.38,2.11,2.38,,
20/05/2008,2.38,2.39,2.11,2.39,300.0,
21/05/2008,2.39,2.4,2.11,2.4,3000.0,
22/05/2008,2.4,2.41,2.11,2.41,500.0,
23/05/2008,2.41,2.43,2.11,2.43,1700.0,
27/05/2008,2.43,2.43,2.11,2.43,,
28/05/2008,2.43,2.44,2.11,2.44,6700.0,
29/05/2008,2.44,2.44,2.11,2.44,,
30/05/2008,2.44,2.46,2.11,2.46,4000.0,
02/06/2008,2.46,2.46,2.11,2.46,,
03/06/2008,2.46,2.46,2.11,2.46,,
04/06/2008,2.46,2.46,2.11,2.46,900.0,
05/06/2008,2.46,2.47,2.11,2.47,500.0,
06/06/2008,2.47,2.47,2.11,2.47,100.0,
09/06/2008,2.47,2.47,2.11,2.47,,
10/06/2008,2.47,2.47,2.11,2.47,,
11/06/2008,2.47,2.47,2.11,2.47,,
12/06/2008,2.47,2.48,2.11,2.48,1900.0,
13/06/2008,2.48,2.48,2.11,2.48,1100.0,
16/06/2008,2.48,2.48,2.11,2.48,,
17/06/2008,2.48,2.49,2.11,2.49,100.0,
18/06/2008,2.49,2.49,2.11,2.49,,
19/06/2008,2.49,2.68,2.11,2.68,2200.0,
20/06/2008,2.68,2.68,2.11,2.68,,
23/06/2008,2.68,2.68,2.11,2.68,,
24/06/2008,2.68,2.68,2.11,2.68,300.0,
25/06/2008,2.68,2.69,2.11,2.69,5100.0,
26/06/2008,2.69,2.69,2.11,2.69,,
27/06/2008,2.69,2.69,2.11,2.69,,
30/06/2008,2.69,2.7,2.11,2.7,1100.0,
02/07/2008,2.7,2.7,2.11,2.7,1100.0,
03/07/2008,2.7,2.7,2.11,2.7,400.0,
04/07/2008,2.7,2.7,2.11,2.7,,
07/07/2008,2.7,2.71,2.11,2.71,300.0,
08/07/2008,2.71,2.71,2.11,2.71,6300.0,
09/07/2008,2.72,2.73,2.11,2.73,400.0,
10/07/2008,2.73,2.73,2.11,2.73,,
11/07/2008,2.73,2.74,2.11,2.74,2200.0,
14/07/2008,2.74,2.74,2.11,2.74,100.0,
15/07/2008,2.74,2.74,2.11,2.74,,
16/07/2008,2.74,2.74,2.11,2.74,100.0,
17/07/2008,2.74,2.8,2.11,2.8,6400.0,
18/07/2008,2.8,2.8,2.11,2.8,100.0,
21/07/2008,2.8,2.8,2.11,2.8,300.0,
22/07/2008,2.8,2.81,2.11,,400.0,
23/07/2008,2.81,2.81,2.11,2.81,,
24/07/2008,2.81,2.83,2.11,2.83,1500.0,
25/07/2008,2.83,2.85,2.11,2.85,500.0,
28/07/2008,2.85,2.85,2.11,2.85,,
29/07/2008,2.85,2.87,2.11,2.87,2300.0,
30/07/2008,2.87,2.88,2.11,2.88,800.0,
31/07/2008,2.88,2.88,2.11,2.88,,
01/08/2008,2.88,2.88,2.11,2.88,24500.0,
04/08/2008,2.88,2.89,2.11,2.89,300.0,
05/08/2008,2.89,2.89,2.11,2.89,,
06/08/2008,2.89,2.89,2.11,2.89,1000.0,
07/08/2008,2.89,2.89,2.11,2.89,,
08/08/2008,2.89,2.94,2.11,2.94,3700.0,
11/08/2008,2.94,2.95,2.11,2.95,1000.0,
12/08/2008,2.95,2.96,2.11,2.96,100.0,
13/08/2008,2.96,2.97,2.11,2.97,500.0,
14/08/2008,2.97,3.0,2.11,3.0,10100.0,
15/08/2008,3.0,3.0,2.11,3.0,11600.0,
18/08/2008,3.0,3.0,2.11,3.0,1900.0,
19/08/2008,3.0,3.0,2.11,3.0,,
20/08/2008,3.0,3.01,2.11,3.01,900.0,
21/08/2008,3.01,3.01,2.11,3.01,,
22/08/2008,3.01,3.05,2.11,3.05,1100.0,
23/08/2008,2.0,2.0,1.5,2.0,,
25/08/2008,3.05,3.5,2.11,3.5,5000.0,
26/08/2008,3.5,3.5,2.11,3.5,,
27/08/2008,3.5,3.51,2.11,3.51,2000.0,
28/08/2008,3.51,3.51,2.11,3.51,700.0,
29/08/2008,3.51,3.51,2.11,3.51,,
01/09/2008,3.51,3.51,2.11,3.51,100.0,
02/09/2008,3.51,3.55,2.11,3.55,200.0,
03/09/2008,3.55,4.0,2.11,4.0,10000.0,
04/09/2008,4.0,3.55,2.11,4.0,100.0,
05/09/2008,4.0,4.01,2.11,4.01,500.0,
08/09/2008,4.01,4.01,2.11,4.01,100.0,
09/09/2008,4.01,4.02,2.11,4.02,1000.0,
10/09/2008,4.02,4.03,2.11,4.03,500.0,
11/09/2008,4.03,4.1,2.11,4.1,1900.0,
12/09/2008,4.1,4.1,2.11,4.1,,
15/09/2008,4.1,4.11,2.11,4.11,1000.0,
16/09/2008,4.11,4.12,2.11,4.12,1200.0,
17/09/2008,4.12,4.16,2.11,4.16,2100.0,
18/09/2008,4.16,4.17,2.11,4.17,1000.0,
19/09/2008,4.17,4.19,2.11,4.19,1700.0,
22/09/2008,4.19,4.3,2.11,4.3,15900.0,
23/09/2008,4.3,4.3,2.11,4.3,,
24/09/2008,4.3,4.3,2.11,4.3,500.0,
25/09/2008,4.3,4.3,2.11,4.3,,
26/09/2008,4.3,4.3,2.11,4.3,500.0,
29/09/2008,4.3,4.5,2.11,4.5,11400.0,
01/10/2008,4.5,4.5,2.11,4.55,10600.0,
02/10/2008,4.55,4.55,2.11,4.55,500.0,
03/10/2008,4.55,4.6,2.11,4.6,10600.0,
06/10/2008,4.6,4.6,2.11,4.6,1000.0,
07/10/2008,4.6,4.6,2.11,4.6,1000.0,
08/10/2008,4.6,4.6,2.11,4.6,200.0,
09/10/2008,4.6,4.6,2.11,4.6,1300.0,
10/10/2008,4.6,4.6,2.11,4.6,,
13/10/2008,4.6,4.6,2.11,4.6,600.0,
14/10/2008,4.6,4.6,2.11,4.6,2400.0,
15/10/2008,4.6,4.6,2.11,4.6,,
17/10/2008,4.6,4.6,2.11,4.6,,
17/10/2008,4.6,4.6,2.11,4.6,,
17/10/2008,4.6,4.6,2.11,4.6,,
20/10/2008,4.6,4.6,2.11,4.6,1200.0,
21/10/2008,4.6,4.6,2.11,4.6,,
22/10/2008,4.6,4.6,2.11,4.58,100.0,
23/10/2008,4.58,4.6,2.11,4.58,,
24/10/2008,4.58,4.6,2.11,4.58,100.0,
27/10/2008,4.58,4.6,2.11,4.58,,
28/10/2008,4.58,4.6,2.11,4.58,100.0,
29/10/2008,4.58,4.6,2.11,4.58,,
30/10/2008,4.58,4.6,2.11,4.58,,
31/10/2008,4.58,4.6,2.11,4.58,,
03/11/2008,4.58,4.6,2.11,4.58,6500.0,
04/11/2008,4.58,4.6,2.11,4.58,900.0,
05/11/2008,4.58,4.6,2.11,4.58,,
06/11/2008,4.58,4.6,2.11,4.58,,
07/11/2008,4.58,4.6,2.11,4.45,19100.0,
10/11/2008,4.45,4.6,2.11,4.4,2000.0,
11/11/2008,4.4,4.6,2.11,4.4,15600.0,
